Year,EnergyCarrier,EmissionType,DomEmissionFactor,ImpEmissionFactor,Remarks
2024,COKING_COAL,GHG,2257.68051,2760.9,"Note that all coking coal in PIER is assumed to be imported. Even though the domestic emission factor is not used, it is provided since both domestic and imported fuel emission factors are expected in Rumi"
2024,THERMAL_COAL,GHG,1871.873679,1982.18603,
2024,MS,GHG,3080.7549,3080.7549,
2024,HSD,GHG,3196.749,3196.749,
2024,ATF,GHG,3080.7549,3080.7549,
2024,LPG,GHG,2987.20785,2987.20785,
2024,PP_OTHER,GHG,3141.283793,3141.283793,
2024,NATGAS,GHG,3025.024549,2048.51616,
2024,BIOGAS,GHG,2001.5626,1246.1226,Density of biogas is assumed to be same as natural gas
2024,BIOMASS,GHG,1656.436688,1656.436688,
2024,CRUDE,GHG,54.23219241,0,"As only fugitive emissions are applicable to crude, emissions for imported crude is assumed as 0 for the ModelGeography"
2024,PETCOKE,GHG,3176.6475,3176.6475,
2024,BIOMASS_WASTE,GHG,1292.306701,1292.306701,
