EnergyCarrier,Year,UnmetDemandValue
ELECTRICITY,2021,100
ELECTRICITY,2022,100
ELECTRICITY,2023,100
ELECTRICITY,2024,100
ELECTRICITY,2025,100
ELECTRICITY,2026,100
ELECTRICITY,2027,100
ELECTRICITY,2028,100
ELECTRICITY,2029,100
ELECTRICITY,2030,100
ELECTRICITY,2031,100
ELECTRICITY,2032,100
ELECTRICITY,2033,100
ELECTRICITY,2034,100
ELECTRICITY,2035,100
ELECTRICITY,2036,100
ELECTRICITY,2037,100
ELECTRICITY,2038,100
ELECTRICITY,2039,100
ELECTRICITY,2040,100
ELECTRICITY,2041,100
COKING_COAL,2021,500000
COKING_COAL,2022,500000
COKING_COAL,2023,500000
COKING_COAL,2024,500000
COKING_COAL,2025,500000
COKING_COAL,2026,500000
COKING_COAL,2027,500000
COKING_COAL,2028,500000
COKING_COAL,2029,500000
COKING_COAL,2030,500000
COKING_COAL,2031,500000
COKING_COAL,2032,500000
COKING_COAL,2033,500000
COKING_COAL,2034,500000
COKING_COAL,2035,500000
COKING_COAL,2036,500000
COKING_COAL,2037,500000
COKING_COAL,2038,500000
COKING_COAL,2039,500000
COKING_COAL,2040,500000
COKING_COAL,2041,500000
THERMAL_COAL,2021,500000
THERMAL_COAL,2022,500000
THERMAL_COAL,2023,500000
THERMAL_COAL,2024,500000
THERMAL_COAL,2025,500000
THERMAL_COAL,2026,500000
THERMAL_COAL,2027,500000
THERMAL_COAL,2028,500000
THERMAL_COAL,2029,500000
THERMAL_COAL,2030,500000
THERMAL_COAL,2031,500000
THERMAL_COAL,2032,500000
THERMAL_COAL,2033,500000
THERMAL_COAL,2034,500000
THERMAL_COAL,2035,500000
THERMAL_COAL,2036,500000
THERMAL_COAL,2037,500000
THERMAL_COAL,2038,500000
THERMAL_COAL,2039,500000
THERMAL_COAL,2040,500000
THERMAL_COAL,2041,500000
NATGAS,2021,500000
NATGAS,2022,500000
NATGAS,2023,500000
NATGAS,2024,500000
NATGAS,2025,500000
NATGAS,2026,500000
NATGAS,2027,500000
NATGAS,2028,500000
NATGAS,2029,500000
NATGAS,2030,500000
NATGAS,2031,500000
NATGAS,2032,500000
NATGAS,2033,500000
NATGAS,2034,500000
NATGAS,2035,500000
NATGAS,2036,500000
NATGAS,2037,500000
NATGAS,2038,500000
NATGAS,2039,500000
NATGAS,2040,500000
NATGAS,2041,500000
BIOGAS,2021,500000
BIOGAS,2022,500000
BIOGAS,2023,500000
BIOGAS,2024,500000
BIOGAS,2025,500000
BIOGAS,2026,500000
BIOGAS,2027,500000
BIOGAS,2028,500000
BIOGAS,2029,500000
BIOGAS,2030,500000
BIOGAS,2031,500000
BIOGAS,2032,500000
BIOGAS,2033,500000
BIOGAS,2034,500000
BIOGAS,2035,500000
BIOGAS,2036,500000
BIOGAS,2037,500000
BIOGAS,2038,500000
BIOGAS,2039,500000
BIOGAS,2040,500000
BIOGAS,2041,500000
BIOMASS,2021,500000
BIOMASS,2022,500000
BIOMASS,2023,500000
BIOMASS,2024,500000
BIOMASS,2025,500000
BIOMASS,2026,500000
BIOMASS,2027,500000
BIOMASS,2028,500000
BIOMASS,2029,500000
BIOMASS,2030,500000
BIOMASS,2031,500000
BIOMASS,2032,500000
BIOMASS,2033,500000
BIOMASS,2034,500000
BIOMASS,2035,500000
BIOMASS,2036,500000
BIOMASS,2037,500000
BIOMASS,2038,500000
BIOMASS,2039,500000
BIOMASS,2040,500000
BIOMASS,2041,500000
CRUDE,2021,500000
CRUDE,2022,500000
CRUDE,2023,500000
CRUDE,2024,500000
CRUDE,2025,500000
CRUDE,2026,500000
CRUDE,2027,500000
CRUDE,2028,500000
CRUDE,2029,500000
CRUDE,2030,500000
CRUDE,2031,500000
CRUDE,2032,500000
CRUDE,2033,500000
CRUDE,2034,500000
CRUDE,2035,500000
CRUDE,2036,500000
CRUDE,2037,500000
CRUDE,2038,500000
CRUDE,2039,500000
CRUDE,2040,500000
CRUDE,2041,500000
MS,2021,500000
MS,2022,500000
MS,2023,500000
MS,2024,500000
MS,2025,500000
MS,2026,500000
MS,2027,500000
MS,2028,500000
MS,2029,500000
MS,2030,500000
MS,2031,500000
MS,2032,500000
MS,2033,500000
MS,2034,500000
MS,2035,500000
MS,2036,500000
MS,2037,500000
MS,2038,500000
MS,2039,500000
MS,2040,500000
MS,2041,500000
HSD,2021,500000
HSD,2022,500000
HSD,2023,500000
HSD,2024,500000
HSD,2025,500000
HSD,2026,500000
HSD,2027,500000
HSD,2028,500000
HSD,2029,500000
HSD,2030,500000
HSD,2031,500000
HSD,2032,500000
HSD,2033,500000
HSD,2034,500000
HSD,2035,500000
HSD,2036,500000
HSD,2037,500000
HSD,2038,500000
HSD,2039,500000
HSD,2040,500000
HSD,2041,500000
ATF,2021,500000
ATF,2022,500000
ATF,2023,500000
ATF,2024,500000
ATF,2025,500000
ATF,2026,500000
ATF,2027,500000
ATF,2028,500000
ATF,2029,500000
ATF,2030,500000
ATF,2031,500000
ATF,2032,500000
ATF,2033,500000
ATF,2034,500000
ATF,2035,500000
ATF,2036,500000
ATF,2037,500000
ATF,2038,500000
ATF,2039,500000
ATF,2040,500000
ATF,2041,500000
LPG,2021,500000
LPG,2022,500000
LPG,2023,500000
LPG,2024,500000
LPG,2025,500000
LPG,2026,500000
LPG,2027,500000
LPG,2028,500000
LPG,2029,500000
LPG,2030,500000
LPG,2031,500000
LPG,2032,500000
LPG,2033,500000
LPG,2034,500000
LPG,2035,500000
LPG,2036,500000
LPG,2037,500000
LPG,2038,500000
LPG,2039,500000
LPG,2040,500000
LPG,2041,500000
PP_OTHER,2021,500000
PP_OTHER,2022,500000
PP_OTHER,2023,500000
PP_OTHER,2024,500000
PP_OTHER,2025,500000
PP_OTHER,2026,500000
PP_OTHER,2027,500000
PP_OTHER,2028,500000
PP_OTHER,2029,500000
PP_OTHER,2030,500000
PP_OTHER,2031,500000
PP_OTHER,2032,500000
PP_OTHER,2033,500000
PP_OTHER,2034,500000
PP_OTHER,2035,500000
PP_OTHER,2036,500000
PP_OTHER,2037,500000
PP_OTHER,2038,500000
PP_OTHER,2039,500000
PP_OTHER,2040,500000
PP_OTHER,2041,500000
BIOMASS_WASTE,2021,500000
BIOMASS_WASTE,2022,500000
BIOMASS_WASTE,2023,500000
BIOMASS_WASTE,2024,500000
BIOMASS_WASTE,2025,500000
BIOMASS_WASTE,2026,500000
BIOMASS_WASTE,2027,500000
BIOMASS_WASTE,2028,500000
BIOMASS_WASTE,2029,500000
BIOMASS_WASTE,2030,500000
BIOMASS_WASTE,2031,500000
BIOMASS_WASTE,2032,500000
BIOMASS_WASTE,2033,500000
BIOMASS_WASTE,2034,500000
BIOMASS_WASTE,2035,500000
BIOMASS_WASTE,2036,500000
BIOMASS_WASTE,2037,500000
BIOMASS_WASTE,2038,500000
BIOMASS_WASTE,2039,500000
BIOMASS_WASTE,2040,500000
