ModelGeography,SubGeography1,SubGeography2,Year,PPC+OPC+PSC+CC+LC3
INDIA,NR,JK,2022,0.385152679
INDIA,NR,HP,2022,6.053297831
INDIA,NR,JK,2023,0.407034343
INDIA,NR,JK,2024,0.428968338
INDIA,NR,JK,2025,0.457240647
INDIA,NR,JK,2026,0.488094576
INDIA,NR,JK,2027,0.520138356
INDIA,NR,JK,2028,0.553686422
INDIA,NR,JK,2029,0.589104118
INDIA,NR,JK,2030,0.626478141
INDIA,NR,JK,2031,0.665896432
INDIA,NR,JK,2032,0.70655929
INDIA,NR,JK,2033,0.747471309
INDIA,NR,JK,2034,0.788385513
INDIA,NR,JK,2035,0.829036043
INDIA,NR,JK,2036,0.869823304
INDIA,NR,JK,2037,0.912116898
INDIA,NR,JK,2038,0.955918004
INDIA,NR,JK,2039,1.001215632
INDIA,NR,JK,2040,1.047983763
INDIA,NR,JK,2041,1.096177907
INDIA,NR,HP,2023,6.397203604
INDIA,NR,HP,2024,6.741931837
INDIA,NR,HP,2025,7.186276942
INDIA,NR,HP,2026,7.671196382
INDIA,NR,HP,2027,8.174816257
INDIA,NR,HP,2028,8.702078429
INDIA,NR,HP,2029,9.258724845
INDIA,NR,HP,2030,9.846118117
INDIA,NR,HP,2031,10.46564038
INDIA,NR,HP,2032,11.10472301
INDIA,NR,HP,2033,11.74772163
INDIA,NR,HP,2034,12.39075456
INDIA,NR,HP,2035,13.02964346
INDIA,NR,HP,2036,13.67068128
INDIA,NR,HP,2037,14.33539357
INDIA,NR,HP,2038,15.02379886
INDIA,NR,HP,2039,15.73572442
INDIA,NR,HP,2040,16.47076129
INDIA,NR,HP,2041,17.22821029
INDIA,NR,PB,2022,2.82950241
INDIA,NR,PB,2023,2.99025482
INDIA,NR,PB,2024,3.151391674
INDIA,NR,PB,2025,3.359092597
INDIA,NR,PB,2026,3.585759244
INDIA,NR,PB,2027,3.821167064
INDIA,NR,PB,2028,4.067626041
INDIA,NR,PB,2029,4.32782014
INDIA,NR,PB,2030,4.60238629
INDIA,NR,PB,2031,4.891970544
INDIA,NR,PB,2032,5.190697929
INDIA,NR,PB,2033,5.491255773
INDIA,NR,PB,2034,5.791829657
INDIA,NR,PB,2035,6.090466486
INDIA,NR,PB,2036,6.390107793
INDIA,NR,PB,2037,6.70081529
INDIA,NR,PB,2038,7.022597642
INDIA,NR,PB,2039,7.355374113
INDIA,NR,PB,2040,7.698953542
INDIA,NR,PB,2041,8.053009106
INDIA,NR,UK,2022,1.569408256
