EnergyService,EnergyCarrier,ModelGeography,Year,EnergyDemand
GH2_OTHER_USES,GREEN_H2,INDIA,2024,8.342814617
GH2_OTHER_USES,GREEN_H2,INDIA,2025,15.5411658
GH2_OTHER_USES,GREEN_H2,INDIA,2026,28.95040169
GH2_OTHER_USES,GREEN_H2,INDIA,2027,53.92940071
GH2_OTHER_USES,GREEN_H2,INDIA,2028,100.4607913
GH2_OTHER_USES,GREEN_H2,INDIA,2029,187.1404178
GH2_OTHER_USES,GREEN_H2,INDIA,2030,348.609
GH2_OTHER_USES,GREEN_H2,INDIA,2031,391.8846
GH2_OTHER_USES,GREEN_H2,INDIA,2032,435.1602
GH2_OTHER_USES,GREEN_H2,INDIA,2033,478.4358
GH2_OTHER_USES,GREEN_H2,INDIA,2034,521.7114
GH2_OTHER_USES,GREEN_H2,INDIA,2035,564.987
GH2_OTHER_USES,GREEN_H2,INDIA,2036,608.2626
GH2_OTHER_USES,GREEN_H2,INDIA,2037,651.5382
GH2_OTHER_USES,GREEN_H2,INDIA,2038,694.8138
GH2_OTHER_USES,GREEN_H2,INDIA,2039,738.0894
GH2_OTHER_USES,GREEN_H2,INDIA,2040,781.365
GH2_OTHER_USES,GREEN_H2,INDIA,2041,824.6406
