EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,LPG,INDIA,,,2023,,,,130.4691035
OTHER_ALL,HSD,INDIA,,,2023,,,,216.1032801
OTHER_ALL,PP_OTHER,INDIA,,,2023,,,,95.53540723
OTHER_ALL,NATGAS,INDIA,,,2023,,,,329.4944747
OTHER_ALL,BIOMASS,INDIA,,,2023,,,,302.7358128
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H00,0.770829536
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H01,0.849381785
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H02,0.823265621
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H03,0.801233524
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H04,0.833478317
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H05,0.829040945
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H06,0.766823649
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H07,0.595154543
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H08,0.790457641
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H09,0.995690055
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H10,1.046109242
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H11,1.064349484
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H12,1.064158378
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H13,1.034853285
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H14,1.037520565
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H15,1.096128267
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H16,0.974939823
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H17,0.950835493
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H18,0.935628967
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H19,0.859061049
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H20,0.822545874
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S01Apr,ALLDAYS,H21,0.674433768
