ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,EfficiencyLevelName,EfficiencySplitShare
LIGHT_ELEC,RURAL,INDIA,SR,AP,2024,INCAND,0.024462131
LIGHT_ELEC,RURAL,INDIA,SR,AP,2024,LED,0.975537869
AC,RURAL,INDIA,SR,AP,2024,3STARAC,0.458634344
FR_DIRECTCOOL,RURAL,INDIA,SR,AP,2024,2STARDC,0.196249115
AC,RURAL,INDIA,SR,AP,2024,4STARAC,0.35
FR_DIRECTCOOL,RURAL,INDIA,SR,AP,2024,3STARDC,0.6
AC,RURAL,INDIA,SR,AP,2024,5STARAC,0.191365656
FR_DIRECTCOOL,RURAL,INDIA,SR,AP,2024,4STARDC,0.203750885
FR_FROSTFREE,RURAL,INDIA,SR,AP,2024,2STARFF,0.195036017
FR_FROSTFREE,RURAL,INDIA,SR,AP,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,SR,AP,2024,4STARFF,0.204963983
LIGHT_ELEC,RURAL,INDIA,ER,BR,2024,INCAND,0.023913802
LIGHT_ELEC,RURAL,INDIA,ER,BR,2024,LED,0.976086198
AC,RURAL,INDIA,ER,BR,2024,3STARAC,0.455915698
AC,RURAL,INDIA,ER,BR,2024,4STARAC,0.35
LIGHT_ELEC,RURAL,INDIA,NER,AS,2024,INCAND,0.024872765
LIGHT_ELEC,RURAL,INDIA,NER,AS,2024,LED,0.975127235
AC,RURAL,INDIA,NER,AS,2024,3STARAC,0.458171102
FR_DIRECTCOOL,RURAL,INDIA,NER,AS,2024,2STARDC,0.196048925
AC,RURAL,INDIA,NER,AS,2024,4STARAC,0.35
FR_DIRECTCOOL,RURAL,INDIA,NER,AS,2024,3STARDC,0.6
AC,RURAL,INDIA,NER,AS,2024,5STARAC,0.191828898
FR_DIRECTCOOL,RURAL,INDIA,NER,AS,2024,4STARDC,0.203951075
FR_FROSTFREE,RURAL,INDIA,NER,AS,2024,2STARFF,0.194794046
FR_FROSTFREE,RURAL,INDIA,NER,AS,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NER,AS,2024,4STARFF,0.205205954
AC,RURAL,INDIA,ER,BR,2024,5STARAC,0.194084302
FR_DIRECTCOOL,RURAL,INDIA,ER,BR,2024,2STARDC,0.196251725
FR_DIRECTCOOL,RURAL,INDIA,ER,BR,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,ER,BR,2024,4STARDC,0.203748275
FR_FROSTFREE,RURAL,INDIA,ER,BR,2024,2STARFF,0.195035417
FR_FROSTFREE,RURAL,INDIA,ER,BR,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,ER,BR,2024,4STARFF,0.204964583
