ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2024,0.56189604
INDIA,ER,BR,RURAL,2025,0.532549357
INDIA,ER,BR,RURAL,2026,0.501434426
INDIA,ER,BR,RURAL,2027,0.468586106
INDIA,ER,BR,RURAL,2028,0.439535673
INDIA,ER,BR,RURAL,2029,0.408786928
INDIA,ER,BR,RURAL,2030,0.376237953
INDIA,ER,BR,RURAL,2031,0.341780574
INDIA,ER,BR,RURAL,2032,0.304500661
INDIA,ER,BR,RURAL,2033,0.264401354
INDIA,ER,BR,RURAL,2034,0.221896608
INDIA,ER,BR,RURAL,2035,0.185850553
INDIA,ER,BR,RURAL,2036,0.148055334
INDIA,ER,BR,RURAL,2037,0.108424292
INDIA,ER,BR,RURAL,2038,0.067302688
INDIA,ER,BR,RURAL,2039,0.029669221
INDIA,ER,BR,RURAL,2040,0
INDIA,ER,BR,RURAL,2041,0
INDIA,ER,BR,URBAN,2024,0.125695651
INDIA,ER,BR,URBAN,2025,0.091715621
INDIA,ER,BR,URBAN,2026,0.061022415
INDIA,ER,BR,URBAN,2027,0.029614911
INDIA,ER,BR,URBAN,2028,0
INDIA,ER,BR,URBAN,2029,0
INDIA,ER,BR,URBAN,2030,0
INDIA,ER,BR,URBAN,2031,0
INDIA,ER,BR,URBAN,2032,0
INDIA,ER,BR,URBAN,2033,0
INDIA,ER,BR,URBAN,2034,0
INDIA,ER,BR,URBAN,2035,0
INDIA,ER,BR,URBAN,2036,0
INDIA,ER,BR,URBAN,2037,0
INDIA,ER,BR,URBAN,2038,0
INDIA,ER,BR,URBAN,2039,0
INDIA,ER,BR,URBAN,2040,0
INDIA,ER,BR,URBAN,2041,0
INDIA,ER,JH,RURAL,2024,0.758306442
INDIA,ER,JH,RURAL,2025,0.742087644
INDIA,ER,JH,RURAL,2026,0.726241181
INDIA,ER,JH,RURAL,2027,0.709491032
INDIA,ER,JH,RURAL,2028,0.691724319
INDIA,ER,JH,RURAL,2029,0.672824772
INDIA,ER,JH,RURAL,2030,0.652728796
INDIA,ER,JH,RURAL,2031,0.631337556
INDIA,ER,JH,RURAL,2032,0.608167712
INDIA,ER,JH,RURAL,2033,0.58320872
INDIA,ER,JH,RURAL,2034,0.556605446
INDIA,ER,JH,RURAL,2035,0.528260701
INDIA,ER,JH,RURAL,2036,0.498058615
INDIA,ER,JH,RURAL,2037,0.471239367
INDIA,ER,JH,RURAL,2038,0.443191584
INDIA,ER,JH,RURAL,2039,0.413667609
INDIA,ER,JH,RURAL,2040,0.382590372
INDIA,ER,JH,RURAL,2041,0.349878879
INDIA,ER,JH,URBAN,2024,0.236847574
INDIA,ER,JH,URBAN,2025,0.204605656
INDIA,ER,JH,URBAN,2026,0.1712737
INDIA,ER,JH,URBAN,2027,0.13668934
INDIA,ER,JH,URBAN,2028,0.100678543
INDIA,ER,JH,URBAN,2029,0.063073578
INDIA,ER,JH,URBAN,2030,0.028728832
INDIA,ER,JH,URBAN,2031,0
INDIA,ER,JH,URBAN,2032,0
INDIA,ER,JH,URBAN,2033,0
INDIA,ER,JH,URBAN,2034,0
INDIA,ER,JH,URBAN,2035,0
INDIA,ER,JH,URBAN,2036,0
INDIA,ER,JH,URBAN,2037,0
INDIA,ER,JH,URBAN,2038,0
INDIA,ER,JH,URBAN,2039,0
INDIA,ER,JH,URBAN,2040,0
INDIA,ER,JH,URBAN,2041,0
INDIA,ER,OD,RURAL,2024,0.658368396
INDIA,ER,OD,RURAL,2025,0.633761981
INDIA,ER,OD,RURAL,2026,0.607615205
INDIA,ER,OD,RURAL,2027,0.579685589
INDIA,ER,OD,RURAL,2028,0.549763766
INDIA,ER,OD,RURAL,2029,0.517714039
INDIA,ER,OD,RURAL,2030,0.483357723
INDIA,ER,OD,RURAL,2031,0.452690157
INDIA,ER,OD,RURAL,2032,0.419663948
INDIA,ER,OD,RURAL,2033,0.384243574
INDIA,ER,OD,RURAL,2034,0.346671867
INDIA,ER,OD,RURAL,2035,0.306772977
INDIA,ER,OD,RURAL,2036,0.264465495
INDIA,ER,OD,RURAL,2037,0.219554317
INDIA,ER,OD,RURAL,2038,0.18158278
INDIA,ER,OD,RURAL,2039,0.141784341
INDIA,ER,OD,RURAL,2040,0.100072222
INDIA,ER,OD,RURAL,2041,0.056355611
INDIA,ER,OD,URBAN,2024,0.172293388
INDIA,ER,OD,URBAN,2025,0.137985675
INDIA,ER,OD,URBAN,2026,0.102570104
INDIA,ER,OD,URBAN,2027,0.065809862
INDIA,ER,OD,URBAN,2028,0.032322407
INDIA,ER,OD,URBAN,2029,0
INDIA,ER,OD,URBAN,2030,0
INDIA,ER,OD,URBAN,2031,0
INDIA,ER,OD,URBAN,2032,0
INDIA,ER,OD,URBAN,2033,0
INDIA,ER,OD,URBAN,2034,0
INDIA,ER,OD,URBAN,2035,0
INDIA,ER,OD,URBAN,2036,0
INDIA,ER,OD,URBAN,2037,0
INDIA,ER,OD,URBAN,2038,0
INDIA,ER,OD,URBAN,2039,0
INDIA,ER,OD,URBAN,2040,0
INDIA,ER,OD,URBAN,2041,0
INDIA,ER,SK,RURAL,2024,0.191857269
INDIA,ER,SK,RURAL,2025,0.158358916
INDIA,ER,SK,RURAL,2026,0.122744273
INDIA,ER,SK,RURAL,2027,0.08633007
INDIA,ER,SK,RURAL,2028,0.052576016
INDIA,ER,SK,RURAL,2029,0.018522105
INDIA,ER,SK,RURAL,2030,0
INDIA,ER,SK,RURAL,2031,0
INDIA,ER,SK,RURAL,2032,0
INDIA,ER,SK,RURAL,2033,0
INDIA,ER,SK,RURAL,2034,0
INDIA,ER,SK,RURAL,2035,0
INDIA,ER,SK,RURAL,2036,0
INDIA,ER,SK,RURAL,2037,0
INDIA,ER,SK,RURAL,2038,0
INDIA,ER,SK,RURAL,2039,0
INDIA,ER,SK,RURAL,2040,0
INDIA,ER,SK,RURAL,2041,0
INDIA,ER,SK,URBAN,2024,0
INDIA,ER,SK,URBAN,2025,0
INDIA,ER,SK,URBAN,2026,0
INDIA,ER,SK,URBAN,2027,0
INDIA,ER,SK,URBAN,2028,0
INDIA,ER,SK,URBAN,2029,0
INDIA,ER,SK,URBAN,2030,0
INDIA,ER,SK,URBAN,2031,0
INDIA,ER,SK,URBAN,2032,0
