ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,SR,AP,2014,LGV,LGV_E,0
INDIA,SR,AP,2014,LGV,LGV_HSD,0.9968926387683927
INDIA,SR,AP,2014,LGV,LGV_NATGAS,0.00027651712850787903
INDIA,SR,AP,2014,LGV,LGV_MS,0.0028308441030994113
INDIA,SR,AP,2015,LGV,LGV_E,0
INDIA,SR,AP,2015,LGV,LGV_HSD,0.9968020709024505
INDIA,SR,AP,2015,LGV,LGV_NATGAS,0.00027039986732379845
INDIA,SR,AP,2015,LGV,LGV_MS,0.002927529230225658
INDIA,SR,AP,2016,LGV,LGV_E,0
INDIA,SR,AP,2016,LGV,LGV_HSD,0.9966321984406514
INDIA,SR,AP,2016,LGV,LGV_NATGAS,0.0002596405671453084
INDIA,SR,AP,2016,LGV,LGV_MS,0.003108160992203257
INDIA,SR,AP,2017,LGV,LGV_E,0
INDIA,SR,AP,2017,LGV,LGV_HSD,0.9963819589721172
INDIA,SR,AP,2017,LGV,LGV_NATGAS,0.0002341774128079433
INDIA,SR,AP,2017,LGV,LGV_MS,0.0033838636150747806
INDIA,SR,AP,2018,LGV,LGV_E,0
INDIA,SR,AP,2018,LGV,LGV_HSD,0.9959694084398383
INDIA,SR,AP,2018,LGV,LGV_NATGAS,0.00020467847766446112
INDIA,SR,AP,2018,LGV,LGV_MS,0.003825913082497235
INDIA,SR,AP,2019,LGV,LGV_E,0
INDIA,SR,AP,2019,LGV,LGV_HSD,0.9958053558732918
INDIA,SR,AP,2019,LGV,LGV_NATGAS,0.0001935381941701556
INDIA,SR,AP,2019,LGV,LGV_MS,0.004001105932538115
INDIA,SR,AP,2020,LGV,LGV_E,1.608641622797669e-05
INDIA,SR,AP,2020,LGV,LGV_HSD,0.9953791769385137
INDIA,SR,AP,2020,LGV,LGV_NATGAS,0.0003579227610724814
INDIA,SR,AP,2020,LGV,LGV_MS,0.004246813884185846
INDIA,SR,AP,2021,LGV,LGV_E,8.942834959980814e-05
INDIA,SR,AP,2021,LGV,LGV_HSD,0.9562736019706757
INDIA,SR,AP,2021,LGV,LGV_NATGAS,0.0005325051726170393
INDIA,SR,AP,2021,LGV,LGV_MS,0.043104464507107525
INDIA,SR,AP,2022,LGV,LGV_E,0.0007394039652104168
INDIA,SR,AP,2022,LGV,LGV_HSD,0.9410857959245056
INDIA,SR,AP,2022,LGV,LGV_NATGAS,0.003158132190390255
INDIA,SR,AP,2022,LGV,LGV_MS,0.05501666791989373
INDIA,SR,AP,2023,LGV,LGV_E,0.002424854975836384
INDIA,SR,AP,2023,LGV,LGV_HSD,0.9331232641690519
INDIA,SR,AP,2023,LGV,LGV_NATGAS,0.0045312088602756945
INDIA,SR,AP,2023,LGV,LGV_MS,0.059920671994836035
INDIA,SR,AP,2024,LGV,LGV_E,0.0038935978127393384
INDIA,SR,AP,2024,LGV,LGV_HSD,0.9218285362211563
INDIA,SR,AP,2024,LGV,LGV_NATGAS,0.006392346299156673
INDIA,SR,AP,2024,LGV,LGV_MS,0.06788551966694763
INDIA,SR,AP,2025,LGV,LGV_E,0.006243287932768525
INDIA,SR,AP,2025,LGV,LGV_HSD,0.9089886299711913
INDIA,SR,AP,2025,LGV,LGV_NATGAS,0.008501951826534612
INDIA,SR,AP,2025,LGV,LGV_MS,0.07626613026950547
INDIA,SR,AP,2026,LGV,LGV_E,0.009574856037926268
INDIA,SR,AP,2026,LGV,LGV_HSD,0.8952320778879344
INDIA,SR,AP,2026,LGV,LGV_NATGAS,0.010626478844571845
INDIA,SR,AP,2026,LGV,LGV_MS,0.08456658722956756
INDIA,SR,AP,2027,LGV,LGV_E,0.014719826042250495
INDIA,SR,AP,2027,LGV,LGV_HSD,0.8788532610756893
INDIA,SR,AP,2027,LGV,LGV_NATGAS,0.012945692986485404
INDIA,SR,AP,2027,LGV,LGV_MS,0.09348121989557479
INDIA,SR,AP,2028,LGV,LGV_E,0.024302434006681913
INDIA,SR,AP,2028,LGV,LGV_HSD,0.8547080739108437
INDIA,SR,AP,2028,LGV,LGV_NATGAS,0.01596885675697148
INDIA,SR,AP,2028,LGV,LGV_MS,0.10502063532550292
INDIA,SR,AP,2029,LGV,LGV_E,0.03819651494070099
INDIA,SR,AP,2029,LGV,LGV_HSD,0.8261197243755384
INDIA,SR,AP,2029,LGV,LGV_NATGAS,0.0189533227323925
INDIA,SR,AP,2029,LGV,LGV_MS,0.11673043795136819
INDIA,SR,AP,2030,LGV,LGV_E,0.055249861926483526
INDIA,SR,AP,2030,LGV,LGV_HSD,0.7974512651625176
INDIA,SR,AP,2030,LGV,LGV_NATGAS,0.021224456399451797
INDIA,SR,AP,2030,LGV,LGV_MS,0.12607441651154705
INDIA,SR,AP,2031,LGV,LGV_E,0.07596094565353169
INDIA,SR,AP,2031,LGV,LGV_HSD,0.8033138974964439
INDIA,SR,AP,2031,LGV,LGV_NATGAS,0.023532540587588198
INDIA,SR,AP,2031,LGV,LGV_MS,0.09719261626243618
INDIA,SR,AP,2032,LGV,LGV_E,0.09572558323448004
INDIA,SR,AP,2032,LGV,LGV_HSD,0.7861565836298933
INDIA,SR,AP,2032,LGV,LGV_NATGAS,0.02302491103202847
INDIA,SR,AP,2032,LGV,LGV_MS,0.09509292210359827
INDIA,SR,AP,2033,LGV,LGV_E,0.11940338857370167
INDIA,SR,AP,2033,LGV,LGV_HSD,0.7567518508934882
INDIA,SR,AP,2033,LGV,LGV_NATGAS,0.023894581140003632
INDIA,SR,AP,2033,LGV,LGV_MS,0.09995017939280652
INDIA,SR,AP,2034,LGV,LGV_E,0.13663808945193254
INDIA,SR,AP,2034,LGV,LGV_HSD,0.7419387502531446
INDIA,SR,AP,2034,LGV,LGV_NATGAS,0.02342806567508982
INDIA,SR,AP,2034,LGV,LGV_MS,0.09799509461983304
INDIA,SR,AP,2035,LGV,LGV_E,0.15786029358594258
INDIA,SR,AP,2035,LGV,LGV_HSD,0.723703810832309
INDIA,SR,AP,2035,LGV,LGV_NATGAS,0.02285053149179261
INDIA,SR,AP,2035,LGV,LGV_MS,0.0955853640899559
INDIA,SR,AP,2036,LGV,LGV_E,0.18058925116718522
INDIA,SR,AP,2036,LGV,LGV_HSD,0.7041734875044559
INDIA,SR,AP,2036,LGV,LGV_NATGAS,0.022232758710195435
INDIA,SR,AP,2036,LGV,LGV_MS,0.09300450261816344
INDIA,SR,AP,2037,LGV,LGV_E,0.20499170147849508
INDIA,SR,AP,2037,LGV,LGV_HSD,0.6831985582768227
INDIA,SR,AP,2037,LGV,LGV_NATGAS,0.0215728431297849
INDIA,SR,AP,2037,LGV,LGV_MS,0.09023689711489725
INDIA,SR,AP,2038,LGV,LGV_E,0.2347266881028939
INDIA,SR,AP,2038,LGV,LGV_HSD,0.6576482302428382
INDIA,SR,AP,2038,LGV,LGV_NATGAS,0.020763966843610673
INDIA,SR,AP,2038,LGV,LGV_MS,0.08686111481065723
INDIA,SR,AP,2039,LGV,LGV_E,0.2634860313490281
INDIA,SR,AP,2039,LGV,LGV_HSD,0.6329328703422653
INDIA,SR,AP,2039,LGV,LGV_NATGAS,0.019984701868557483
INDIA,SR,AP,2039,LGV,LGV_MS,0.0835963964401491
INDIA,SR,AP,2040,LGV,LGV_E,0.2868594539469288
INDIA,SR,AP,2040,LGV,LGV_HSD,0.6128468035528025
INDIA,SR,AP,2040,LGV,LGV_NATGAS,0.019350396160137603
INDIA,SR,AP,2040,LGV,LGV_MS,0.08094334634013116
INDIA,SR,AP,2041,LGV,LGV_E,0.3107162523709138
INDIA,SR,AP,2041,LGV,LGV_HSD,0.5923446599511634
INDIA,SR,AP,2041,LGV,LGV_NATGAS,0.018703103185506973
INDIA,SR,AP,2041,LGV,LGV_MS,0.07823598449241585
INDIA,NER,AS,2014,LGV,LGV_E,0
INDIA,NER,AS,2014,LGV,LGV_HSD,0.9985279348439198
INDIA,NER,AS,2014,LGV,LGV_NATGAS,0.00016509141937347805
INDIA,NER,AS,2014,LGV,LGV_MS,0.0013069737367067014
INDIA,NER,AS,2015,LGV,LGV_E,5.096125670459033e-05
INDIA,NER,AS,2015,LGV,LGV_HSD,0.9984711622988622
INDIA,NER,AS,2015,LGV,LGV_NATGAS,0.0001656240842899186
INDIA,NER,AS,2015,LGV,LGV_MS,0.0013122523601432011
INDIA,NER,AS,2016,LGV,LGV_E,0.00030096772699912027
INDIA,NER,AS,2016,LGV,LGV_HSD,0.9982983747742742
INDIA,NER,AS,2016,LGV,LGV_NATGAS,0.00016205954530721858
INDIA,NER,AS,2016,LGV,LGV_MS,0.0012385979534194564
INDIA,NER,AS,2017,LGV,LGV_E,0.002209424833525976
INDIA,NER,AS,2017,LGV,LGV_HSD,0.9965222016509313
INDIA,NER,AS,2017,LGV,LGV_NATGAS,0.00014320346143223918
INDIA,NER,AS,2017,LGV,LGV_MS,0.0011251700541104507
INDIA,NER,AS,2018,LGV,LGV_E,0.003360342772239595
INDIA,NER,AS,2018,LGV,LGV_HSD,0.9955512171524334
INDIA,NER,AS,2018,LGV,LGV_NATGAS,0.00011229937285119469
INDIA,NER,AS,2018,LGV,LGV_MS,0.0009761407024757693
INDIA,NER,AS,2019,LGV,LGV_E,0.0027071865390355474
INDIA,NER,AS,2019,LGV,LGV_HSD,0.9963973594518989
INDIA,NER,AS,2019,LGV,LGV_NATGAS,8.329804735493992e-05
INDIA,NER,AS,2019,LGV,LGV_MS,0.0008121559617106642
INDIA,NER,AS,2020,LGV,LGV_E,0.002334546499377454
INDIA,NER,AS,2020,LGV,LGV_HSD,0.9959833828177378
INDIA,NER,AS,2020,LGV,LGV_NATGAS,7.183219998084475e-05
INDIA,NER,AS,2020,LGV,LGV_MS,0.0016102384829039364
INDIA,NER,AS,2021,LGV,LGV_E,0.0021270213520220337
INDIA,NER,AS,2021,LGV,LGV_HSD,0.9818821412014944
INDIA,NER,AS,2021,LGV,LGV_NATGAS,7.090071173406779e-05
INDIA,NER,AS,2021,LGV,LGV_MS,0.01591993673474953
INDIA,NER,AS,2022,LGV,LGV_E,0.0019873713868833486
INDIA,NER,AS,2022,LGV,LGV_HSD,0.9584664536741214
INDIA,NER,AS,2022,LGV,LGV_NATGAS,7.546979950189933e-05
INDIA,NER,AS,2022,LGV,LGV_MS,0.03947070513949335
INDIA,NER,AS,2023,LGV,LGV_E,0.001803373528826858
INDIA,NER,AS,2023,LGV,LGV_HSD,0.9256865474662376
INDIA,NER,AS,2023,LGV,LGV_NATGAS,9.039466309909063e-05
INDIA,NER,AS,2023,LGV,LGV_MS,0.07241968434183646
INDIA,NER,AS,2024,LGV,LGV_E,0.0016792713670000813
INDIA,NER,AS,2024,LGV,LGV_HSD,0.8996462551841913
INDIA,NER,AS,2024,LGV,LGV_NATGAS,9.35187444092055e-05
INDIA,NER,AS,2024,LGV,LGV_MS,0.09858095470439945
INDIA,NER,AS,2025,LGV,LGV_E,0.0016584121266696684
INDIA,NER,AS,2025,LGV,LGV_HSD,0.879652558907399
INDIA,NER,AS,2025,LGV,LGV_NATGAS,9.380159087498125e-05
INDIA,NER,AS,2025,LGV,LGV_MS,0.11859522737505628
INDIA,NER,AS,2026,LGV,LGV_E,0.0017899593478780719
INDIA,NER,AS,2026,LGV,LGV_HSD,0.8615999212277222
INDIA,NER,AS,2026,LGV,LGV_NATGAS,9.846534723101377e-05
INDIA,NER,AS,2026,LGV,LGV_MS,0.1365116540771687
INDIA,NER,AS,2027,LGV,LGV_E,0.0019165055715079505
INDIA,NER,AS,2027,LGV,LGV_HSD,0.8435918508586011
INDIA,NER,AS,2027,LGV,LGV_NATGAS,0.0001064725317504417
INDIA,NER,AS,2027,LGV,LGV_MS,0.15438517103814045
INDIA,NER,AS,2028,LGV,LGV_E,0.003852009406879176
INDIA,NER,AS,2028,LGV,LGV_HSD,0.8214497102288733
INDIA,NER,AS,2028,LGV,LGV_NATGAS,0.00011394604654696001
INDIA,NER,AS,2028,LGV,LGV_MS,0.17458433431770057
INDIA,NER,AS,2029,LGV,LGV_E,0.011957603759141424
INDIA,NER,AS,2029,LGV,LGV_HSD,0.7894318020217791
INDIA,NER,AS,2029,LGV,LGV_NATGAS,0.0001270797970354099
INDIA,NER,AS,2029,LGV,LGV_MS,0.19848351442204412
INDIA,NER,AS,2030,LGV,LGV_E,0.030405680220329332
INDIA,NER,AS,2030,LGV,LGV_HSD,0.7554181725215855
INDIA,NER,AS,2030,LGV,LGV_NATGAS,0.00013363857157798101
INDIA,NER,AS,2030,LGV,LGV_MS,0.21404250868650715
INDIA,NER,AS,2031,LGV,LGV_E,0.04739031105383399
INDIA,NER,AS,2031,LGV,LGV_HSD,0.735217899473069
INDIA,NER,AS,2031,LGV,LGV_NATGAS,0.00013389457475919896
INDIA,NER,AS,2031,LGV,LGV_MS,0.21725789489833774
INDIA,NER,AS,2032,LGV,LGV_E,0.0654565810125294
INDIA,NER,AS,2032,LGV,LGV_HSD,0.7213722874850681
INDIA,NER,AS,2032,LGV,LGV_NATGAS,0.00013123992264879662
INDIA,NER,AS,2032,LGV,LGV_MS,0.2130398915797537
INDIA,NER,AS,2033,LGV,LGV_E,0.08897215393002994
INDIA,NER,AS,2033,LGV,LGV_HSD,0.7075802618991287
INDIA,NER,AS,2033,LGV,LGV_NATGAS,0.0001234402806209046
INDIA,NER,AS,2033,LGV,LGV_MS,0.20332414389022044
INDIA,NER,AS,2034,LGV,LGV_E,0.11843736264821646
INDIA,NER,AS,2034,LGV,LGV_HSD,0.6846946284032377
INDIA,NER,AS,2034,LGV,LGV_NATGAS,0.00011852378624235152
INDIA,NER,AS,2034,LGV,LGV_MS,0.1967494851623035
INDIA,NER,AS,2035,LGV,LGV_E,0.14633793600515904
INDIA,NER,AS,2035,LGV,LGV_HSD,0.6630242019611934
INDIA,NER,AS,2035,LGV,LGV_NATGAS,0.00011617320713919921
INDIA,NER,AS,2035,LGV,LGV_MS,0.19052168882650836
INDIA,NER,AS,2036,LGV,LGV_E,0.17438723732644937
INDIA,NER,AS,2036,LGV,LGV_HSD,0.6412387515053007
INDIA,NER,AS,2036,LGV,LGV_NATGAS,0.00011154591252524011
INDIA,NER,AS,2036,LGV,LGV_MS,0.1842624652557247
INDIA,NER,AS,2037,LGV,LGV_E,0.20386488424144925
INDIA,NER,AS,2037,LGV,LGV_HSD,0.6183443204868154
INDIA,NER,AS,2037,LGV,LGV_NATGAS,0.00010710288871791285
INDIA,NER,AS,2037,LGV,LGV_MS,0.17768369238301743
INDIA,NER,AS,2038,LGV,LGV_E,0.23671358684360197
INDIA,NER,AS,2038,LGV,LGV_HSD,0.5928312237792324
INDIA,NER,AS,2038,LGV,LGV_NATGAS,0.0001028368273369669
INDIA,NER,AS,2038,LGV,LGV_MS,0.17035235254982864
INDIA,NER,AS,2039,LGV,LGV_E,0.2728201511335013
INDIA,NER,AS,2039,LGV,LGV_HSD,0.5647879093198992
INDIA,NER,AS,2039,LGV,LGV_NATGAS,9.874055415617129e-05
INDIA,NER,AS,2039,LGV,LGV_MS,0.16229319899244332
INDIA,NER,AS,2040,LGV,LGV_E,0.2971310048061668
INDIA,NER,AS,2040,LGV,LGV_HSD,0.5459062449210195
INDIA,NER,AS,2040,LGV,LGV_NATGAS,9.480763723889203e-05
INDIA,NER,AS,2040,LGV,LGV_MS,0.1568679426355749
INDIA,NER,AS,2041,LGV,LGV_E,0.31743507524936043
INDIA,NER,AS,2041,LGV,LGV_HSD,0.530135970884879
INDIA,NER,AS,2041,LGV,LGV_NATGAS,9.288897723662724e-05
INDIA,NER,AS,2041,LGV,LGV_MS,0.15233606488852394
INDIA,ER,BR,2014,LGV,LGV_E,8.079502302658157e-05
INDIA,ER,BR,2014,LGV,LGV_HSD,0.9952654116506423
INDIA,ER,BR,2014,LGV,LGV_NATGAS,1.6159004605316314e-05
INDIA,ER,BR,2014,LGV,LGV_MS,0.004637634321725781
INDIA,ER,BR,2015,LGV,LGV_E,5.950660523318088e-05
INDIA,ER,BR,2015,LGV,LGV_HSD,0.995613513099954
INDIA,ER,BR,2015,LGV,LGV_NATGAS,3.4003774418960504e-05
INDIA,ER,BR,2015,LGV,LGV_MS,0.004292976520393764
INDIA,ER,BR,2016,LGV,LGV_E,5.3321642069590664e-05
INDIA,ER,BR,2016,LGV,LGV_HSD,0.9954084141551186
INDIA,ER,BR,2016,LGV,LGV_NATGAS,3.554776137972711e-05
INDIA,ER,BR,2016,LGV,LGV_MS,0.0045027164414321
INDIA,ER,BR,2017,LGV,LGV_E,4.508139445769337e-05
INDIA,ER,BR,2017,LGV,LGV_HSD,0.9943287605772222
