ModelGeography,Year,RAIL+BUS+IPT4W+AIR
INDIA,2014,992385146000.0001
INDIA,2015,847099312000
INDIA,2016,999447510000
INDIA,2017,1006125787000
INDIA,2018,1030115737000.0001
INDIA,2019,1012574693000
INDIA,2020,915462187000.0001
INDIA,2021,201052098000
INDIA,2022,520623885000
INDIA,2023,638245848377.2998
INDIA,2024,1033174985575.6553
INDIA,2025,1084833734854.438
INDIA,2026,1136363337260.024
INDIA,2027,1187641732853.8826
INDIA,2028,1238554449389.1626
INDIA,2029,1288994966388.8018
INDIA,2030,1338864953065.0571
INDIA,2031,1390664361993.4858
INDIA,2032,1444467840682.044
INDIA,2033,1500352924679.6218
INDIA,2034,1558400149311.5952
INDIA,2035,1618693165738.3186
INDIA,2036,1681318861503.8108
INDIA,2037,1746367485748.3533
INDIA,2038,1813932779265.4473
INDIA,2039,1884112109590.5474
INDIA,2040,1957006611316.2512
INDIA,2041,2032721331836.1506
