Year,ModelGeography,SubGeography1,GDP
2020,INDIA,ER,23738390.47
2021,INDIA,ER,21574529.28
2022,INDIA,ER,23326940.94
2023,INDIA,ER,24628388.83
2024,INDIA,ER,25972207.66
2025,INDIA,ER,27355270.59
2026,INDIA,ER,28791258.46
2027,INDIA,ER,30275178.16
2028,INDIA,ER,31833078.64
2029,INDIA,ER,33468499.91
2030,INDIA,ER,35185142.66
2031,INDIA,ER,36986875.11
2020,INDIA,NER,5384212.504
2021,INDIA,NER,4957274.804
2022,INDIA,NER,5431071.616
2023,INDIA,NER,5811467.238
2024,INDIA,NER,6212657.498
2025,INDIA,NER,6634769.09
2026,INDIA,NER,7082067.686
2027,INDIA,NER,7554401.887
2028,INDIA,NER,8059467.036
2029,INDIA,NER,8599628.342
2030,INDIA,NER,9177431
2031,INDIA,NER,9795614.735
2020,INDIA,NR,52308265.32
2021,INDIA,NR,48035436.21
2022,INDIA,NR,52479339.19
2023,INDIA,NR,55986787.3
2024,INDIA,NR,59660409.39
2025,INDIA,NR,63497270.05
2026,INDIA,NR,67533652.8
2027,INDIA,NR,71763026.69
2028,INDIA,NR,76252842.52
2029,INDIA,NR,81018821.35
2030,INDIA,NR,86077610.37
2031,INDIA,NR,91446835.84
2020,INDIA,SR,57575301.12
2021,INDIA,SR,53151524.57
2022,INDIA,SR,58374303.23
2023,INDIA,SR,62602178.89
2024,INDIA,SR,67058182.18
2025,INDIA,SR,71741962.32
2026,INDIA,SR,76697640.92
2027,INDIA,SR,81921314.32
2028,INDIA,SR,87493813.65
2029,INDIA,SR,93437893.24
2030,INDIA,SR,99777750.38
2031,INDIA,SR,106539113.7
2020,INDIA,WR,57496667.88
2021,INDIA,WR,53133354.07
2022,INDIA,WR,58421415.26
2023,INDIA,WR,62732541.01
2024,INDIA,WR,67291911.45
2025,INDIA,WR,72101941.77
2026,INDIA,WR,77210018.19
2027,INDIA,WR,82615618.59
2028,INDIA,WR,88404053.36
2029,INDIA,WR,94602746.76
2030,INDIA,WR,101241105.6
2031,INDIA,WR,108350663.1
