DemandSector,EnergyService,EnergyCarrier,ConsumerGranularity,GeographicGranularity,TimeGranularity
D_RES,RES_LIGHT,ELECTRICITY,CONSUMERTYPE2,SUBGEOGRAPHY2,DAYSLICE
D_RES,RES_COOL,ELECTRICITY,CONSUMERTYPE2,SUBGEOGRAPHY2,DAYSLICE
D_RES,RES_REF,ELECTRICITY,CONSUMERTYPE2,SUBGEOGRAPHY2,DAYSLICE
D_RES,RES_COOK,LPG,CONSUMERTYPE2,SUBGEOGRAPHY2,YEAR
D_RES,RES_COOK,NATGAS,CONSUMERTYPE2,SUBGEOGRAPHY2,YEAR
D_RES,RES_COOK,BIOMASS,CONSUMERTYPE2,SUBGEOGRAPHY2,YEAR
D_RES,RES_COOK,BIOGAS,CONSUMERTYPE2,SUBGEOGRAPHY2,YEAR
D_RES,RES_COOK,ELECTRICITY,CONSUMERTYPE2,SUBGEOGRAPHY2,DAYSLICE
D_RES,RES_OTHER,ELECTRICITY,CONSUMERTYPE2,SUBGEOGRAPHY2,DAYSLICE
D_IND,IND_ALL,STEAM_COAL,CONSUMERALL,SUBGEOGRAPHY1,YEAR
D_IND,IND_ALL,COKING_COAL,CONSUMERALL,SUBGEOGRAPHY1,YEAR
D_IND,IND_ALL,NATGAS,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_IND,IND_ALL,BIOMASS,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_IND,IND_ALL,HSD,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_IND,IND_ALL,LPG,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_IND,IND_ALL,PP_OTHER,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_IND,IND_ALL,ELECTRICITY,CONSUMERALL,SUBGEOGRAPHY2,DAYSLICE
D_AGRI,AGRI_ALL,HSD,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_AGRI,AGRI_ALL,LPG,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_AGRI,AGRI_ALL,PP_OTHER,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_AGRI,AGRI_ALL,ELECTRICITY,CONSUMERALL,SUBGEOGRAPHY2,DAYSLICE
D_TRANS,TRANS_FUEL,NATGAS,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,TRANS_FUEL,MS,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,TRANS_FUEL,HSD,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,TRANS_FUEL,ATF,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,TRANS_FUEL,LPG,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,TRANS_FUEL,PP_OTHER,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_TRANS,TRANS_ELEC,ELECTRICITY,CONSUMERALL,SUBGEOGRAPHY2,DAYSLICE
D_OTHER,OTHER_ALL,BIOMASS,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_OTHER,OTHER_ALL,NATGAS,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_OTHER,OTHER_ALL,HSD,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_OTHER,OTHER_ALL,LPG,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_OTHER,OTHER_ALL,PP_OTHER,CONSUMERALL,MODELGEOGRAPHY,YEAR
D_OTHER,OTHER_ALL,ELECTRICITY,CONSUMERALL,SUBGEOGRAPHY2,DAYSLICE
