EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,LPG,ALL,INDIA,,,2020,,,,127.5642179
OTHER_ALL,HSD,ALL,INDIA,,,2020,,,,215.0576716
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2020,,,,83.93964595
OTHER_ALL,NATGAS,ALL,INDIA,,,2020,,,,226.1977094
OTHER_ALL,BIOMASS,ALL,INDIA,,,2020,,,,294.1978085
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,SUMMER,ALLDAYS,NIGHT,5.79076945
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,SUMMER,ALLDAYS,EARLY,3.47446167
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,SUMMER,ALLDAYS,MORN,4.125923233
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,SUMMER,ALLDAYS,MID,4.343077087
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,SUMMER,ALLDAYS,AFTERNOON,4.343077087
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,SUMMER,ALLDAYS,EVENING,5.573615595
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,MONSOON,ALLDAYS,NIGHT,5.79076945
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,MONSOON,ALLDAYS,EARLY,3.47446167
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,MONSOON,ALLDAYS,MORN,4.125923233
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,MONSOON,ALLDAYS,MID,4.343077087
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,MONSOON,ALLDAYS,AFTERNOON,4.343077087
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,MONSOON,ALLDAYS,EVENING,5.573615595
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,AUTUMN,ALLDAYS,NIGHT,5.79076945
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,AUTUMN,ALLDAYS,EARLY,3.47446167
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,AUTUMN,ALLDAYS,MORN,4.125923233
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,AUTUMN,ALLDAYS,MID,4.343077087
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,AUTUMN,ALLDAYS,AFTERNOON,4.343077087
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,AUTUMN,ALLDAYS,EVENING,5.573615595
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,WINTER,ALLDAYS,NIGHT,5.79076945
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2020,WINTER,ALLDAYS,EARLY,3.47446167
