ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NR,JK,2021,0
RURAL,Q2,INDIA,NR,JK,2021,0
RURAL,Q3,INDIA,NR,JK,2021,0
RURAL,Q4,INDIA,NR,JK,2021,0
RURAL,Q5,INDIA,NR,JK,2021,0
RURAL,Q1,INDIA,NR,JK,2022,0
RURAL,Q2,INDIA,NR,JK,2022,0
RURAL,Q3,INDIA,NR,JK,2022,0
RURAL,Q4,INDIA,NR,JK,2022,0
RURAL,Q5,INDIA,NR,JK,2022,0
RURAL,Q1,INDIA,NR,JK,2023,0
RURAL,Q2,INDIA,NR,JK,2023,0
RURAL,Q3,INDIA,NR,JK,2023,0
RURAL,Q4,INDIA,NR,JK,2023,0
RURAL,Q5,INDIA,NR,JK,2023,0
RURAL,Q1,INDIA,NR,JK,2024,0
RURAL,Q2,INDIA,NR,JK,2024,0
RURAL,Q3,INDIA,NR,JK,2024,0
RURAL,Q4,INDIA,NR,JK,2024,0
RURAL,Q5,INDIA,NR,JK,2024,0
RURAL,Q1,INDIA,NR,JK,2025,0
RURAL,Q2,INDIA,NR,JK,2025,0
RURAL,Q3,INDIA,NR,JK,2025,0
RURAL,Q4,INDIA,NR,JK,2025,0
RURAL,Q5,INDIA,NR,JK,2025,0
RURAL,Q1,INDIA,NR,JK,2026,0
RURAL,Q2,INDIA,NR,JK,2026,0
RURAL,Q3,INDIA,NR,JK,2026,0
RURAL,Q4,INDIA,NR,JK,2026,0
RURAL,Q5,INDIA,NR,JK,2026,0
RURAL,Q1,INDIA,NR,JK,2027,0
RURAL,Q2,INDIA,NR,JK,2027,0
RURAL,Q3,INDIA,NR,JK,2027,0
RURAL,Q4,INDIA,NR,JK,2027,0
RURAL,Q5,INDIA,NR,JK,2027,0
RURAL,Q1,INDIA,NR,JK,2028,0
RURAL,Q2,INDIA,NR,JK,2028,0
RURAL,Q3,INDIA,NR,JK,2028,0
RURAL,Q4,INDIA,NR,JK,2028,0
RURAL,Q5,INDIA,NR,JK,2028,0
RURAL,Q1,INDIA,NR,JK,2029,0
RURAL,Q2,INDIA,NR,JK,2029,0
RURAL,Q3,INDIA,NR,JK,2029,0
RURAL,Q4,INDIA,NR,JK,2029,0
RURAL,Q5,INDIA,NR,JK,2029,0
RURAL,Q1,INDIA,NR,JK,2030,0
RURAL,Q2,INDIA,NR,JK,2030,0
RURAL,Q3,INDIA,NR,JK,2030,0
RURAL,Q4,INDIA,NR,JK,2030,0
RURAL,Q5,INDIA,NR,JK,2030,0
RURAL,Q1,INDIA,NR,JK,2031,0
RURAL,Q2,INDIA,NR,JK,2031,0
RURAL,Q3,INDIA,NR,JK,2031,0
RURAL,Q4,INDIA,NR,JK,2031,0
RURAL,Q5,INDIA,NR,JK,2031,0
RURAL,Q1,INDIA,NR,HP,2021,0.000755202
RURAL,Q2,INDIA,NR,HP,2021,0.001187318
RURAL,Q3,INDIA,NR,HP,2021,0.001392147
RURAL,Q4,INDIA,NR,HP,2021,0.001514857
RURAL,Q5,INDIA,NR,HP,2021,0.002392834
URBAN,Q1,INDIA,NR,HP,2021,0.007173115
URBAN,Q2,INDIA,NR,HP,2021,0.007832152
URBAN,Q3,INDIA,NR,HP,2021,0.008099544
URBAN,Q4,INDIA,NR,HP,2021,0.008188509
URBAN,Q5,INDIA,NR,HP,2021,0.008261321
RURAL,Q1,INDIA,NR,HP,2022,0.000988258
RURAL,Q2,INDIA,NR,HP,2022,0.001546238
RURAL,Q3,INDIA,NR,HP,2022,0.00182902
RURAL,Q4,INDIA,NR,HP,2022,0.00197916
RURAL,Q5,INDIA,NR,HP,2022,0.002959524
URBAN,Q1,INDIA,NR,HP,2022,0.008561923
URBAN,Q2,INDIA,NR,HP,2022,0.00922552
URBAN,Q3,INDIA,NR,HP,2022,0.009509338
URBAN,Q4,INDIA,NR,HP,2022,0.009599291
URBAN,Q5,INDIA,NR,HP,2022,0.009670051
RURAL,Q1,INDIA,NR,HP,2023,0.001270047
RURAL,Q2,INDIA,NR,HP,2023,0.001976485
RURAL,Q3,INDIA,NR,HP,2023,0.002346712
RURAL,Q4,INDIA,NR,HP,2023,0.002524026
RURAL,Q5,INDIA,NR,HP,2023,0.003637431
URBAN,Q1,INDIA,NR,HP,2023,0.010166458
URBAN,Q2,INDIA,NR,HP,2023,0.01085693
URBAN,Q3,INDIA,NR,HP,2023,0.011167631
URBAN,Q4,INDIA,NR,HP,2023,0.011262489
URBAN,Q5,INDIA,NR,HP,2023,0.011334967
RURAL,Q1,INDIA,NR,HP,2024,0.001634692
RURAL,Q2,INDIA,NR,HP,2024,0.002526958
RURAL,Q3,INDIA,NR,HP,2024,0.003004963
RURAL,Q4,INDIA,NR,HP,2024,0.003208824
RURAL,Q5,INDIA,NR,HP,2024,0.004470767
URBAN,Q1,INDIA,NR,HP,2024,0.012062195
URBAN,Q2,INDIA,NR,HP,2024,0.01277632
URBAN,Q3,INDIA,NR,HP,2024,0.013117997
URBAN,Q4,INDIA,NR,HP,2024,0.013218302
URBAN,Q5,INDIA,NR,HP,2024,0.013292898
RURAL,Q1,INDIA,NR,HP,2025,0.002105563
RURAL,Q2,INDIA,NR,HP,2025,0.003229123
RURAL,Q3,INDIA,NR,HP,2025,0.003838628
RURAL,Q4,INDIA,NR,HP,2025,0.004066262
RURAL,Q5,INDIA,NR,HP,2025,0.005493816
URBAN,Q1,INDIA,NR,HP,2025,0.01429687
URBAN,Q2,INDIA,NR,HP,2025,0.015030007
URBAN,Q3,INDIA,NR,HP,2025,0.015407589
URBAN,Q4,INDIA,NR,HP,2025,0.015513974
URBAN,Q5,INDIA,NR,HP,2025,0.01559099
RURAL,Q1,INDIA,NR,HP,2026,0.002714016
RURAL,Q2,INDIA,NR,HP,2026,0.004124372
RURAL,Q3,INDIA,NR,HP,2026,0.004892972
RURAL,Q4,INDIA,NR,HP,2026,0.005138637
RURAL,Q5,INDIA,NR,HP,2026,0.006749755
URBAN,Q1,INDIA,NR,HP,2026,0.01692798
URBAN,Q2,INDIA,NR,HP,2026,0.01767341
URBAN,Q3,INDIA,NR,HP,2026,0.018092016
URBAN,Q4,INDIA,NR,HP,2026,0.018205232
URBAN,Q5,INDIA,NR,HP,2026,0.018284923
RURAL,Q1,INDIA,NR,HP,2027,0.003491692
RURAL,Q2,INDIA,NR,HP,2027,0.00525274
RURAL,Q3,INDIA,NR,HP,2027,0.006209885
RURAL,Q4,INDIA,NR,HP,2027,0.006463461
RURAL,Q5,INDIA,NR,HP,2027,0.008274576
URBAN,Q1,INDIA,NR,HP,2027,0.020036092
URBAN,Q2,INDIA,NR,HP,2027,0.020786067
URBAN,Q3,INDIA,NR,HP,2027,0.021252302
URBAN,Q4,INDIA,NR,HP,2027,0.021373106
URBAN,Q5,INDIA,NR,HP,2027,0.021456079
RURAL,Q1,INDIA,NR,HP,2028,0.004494905
RURAL,Q2,INDIA,NR,HP,2028,0.006686413
RURAL,Q3,INDIA,NR,HP,2028,0.007867251
RURAL,Q4,INDIA,NR,HP,2028,0.008113279
RURAL,Q5,INDIA,NR,HP,2028,0.010143228
URBAN,Q1,INDIA,NR,HP,2028,0.023688121
URBAN,Q2,INDIA,NR,HP,2028,0.024430085
URBAN,Q3,INDIA,NR,HP,2028,0.024950946
URBAN,Q4,INDIA,NR,HP,2028,0.025079775
URBAN,Q5,INDIA,NR,HP,2028,0.025166249
RURAL,Q1,INDIA,NR,HP,2029,0.005786999
RURAL,Q2,INDIA,NR,HP,2029,0.008504515
RURAL,Q3,INDIA,NR,HP,2029,0.009947608
RURAL,Q4,INDIA,NR,HP,2029,0.010163147
RURAL,Q5,INDIA,NR,HP,2029,0.012431823
URBAN,Q1,INDIA,NR,HP,2029,0.027972356
URBAN,Q2,INDIA,NR,HP,2029,0.028691096
URBAN,Q3,INDIA,NR,HP,2029,0.029274186
URBAN,Q4,INDIA,NR,HP,2029,0.029411905
URBAN,Q5,INDIA,NR,HP,2029,0.029502339
RURAL,Q1,INDIA,NR,HP,2030,0.007448311
RURAL,Q2,INDIA,NR,HP,2030,0.010804701
RURAL,Q3,INDIA,NR,HP,2030,0.012551517
RURAL,Q4,INDIA,NR,HP,2030,0.012704534
RURAL,Q5,INDIA,NR,HP,2030,0.015232024
URBAN,Q1,INDIA,NR,HP,2030,0.032989371
URBAN,Q2,INDIA,NR,HP,2030,0.033665867
URBAN,Q3,INDIA,NR,HP,2030,0.034320205
URBAN,Q4,INDIA,NR,HP,2030,0.034467691
URBAN,Q5,INDIA,NR,HP,2030,0.034562206
RURAL,Q1,INDIA,NR,HP,2031,0.009579297
RURAL,Q2,INDIA,NR,HP,2031,0.0137068
RURAL,Q3,INDIA,NR,HP,2031,0.01580139
RURAL,Q4,INDIA,NR,HP,2031,0.015847427
RURAL,Q5,INDIA,NR,HP,2031,0.018655046
URBAN,Q1,INDIA,NR,HP,2031,0.038853786
URBAN,Q2,INDIA,NR,HP,2031,0.039464505
URBAN,Q3,INDIA,NR,HP,2031,0.040200447
URBAN,Q4,INDIA,NR,HP,2031,0.040358902
URBAN,Q5,INDIA,NR,HP,2031,0.040457784
RURAL,Q1,INDIA,NR,PB,2021,0.000481621
RURAL,Q2,INDIA,NR,PB,2021,0.000712626
RURAL,Q3,INDIA,NR,PB,2021,0.000758778
RURAL,Q4,INDIA,NR,PB,2021,0.000801214
RURAL,Q5,INDIA,NR,PB,2021,0.000909609
URBAN,Q1,INDIA,NR,PB,2021,0.003217922
URBAN,Q2,INDIA,NR,PB,2021,0.003601312
URBAN,Q3,INDIA,NR,PB,2021,0.00371061
URBAN,Q4,INDIA,NR,PB,2021,0.003772292
URBAN,Q5,INDIA,NR,PB,2021,0.003832898
RURAL,Q1,INDIA,NR,PB,2022,0.000691139
RURAL,Q2,INDIA,NR,PB,2022,0.00101458
RURAL,Q3,INDIA,NR,PB,2022,0.001074009
RURAL,Q4,INDIA,NR,PB,2022,0.00112379
RURAL,Q5,INDIA,NR,PB,2022,0.001235586
URBAN,Q1,INDIA,NR,PB,2022,0.0040782
URBAN,Q2,INDIA,NR,PB,2022,0.004469717
URBAN,Q3,INDIA,NR,PB,2022,0.004578572
URBAN,Q4,INDIA,NR,PB,2022,0.00463957
URBAN,Q5,INDIA,NR,PB,2022,0.004701086
RURAL,Q1,INDIA,NR,PB,2023,0.000971706
RURAL,Q2,INDIA,NR,PB,2023,0.001414807
RURAL,Q3,INDIA,NR,PB,2023,0.00148949
RURAL,Q4,INDIA,NR,PB,2023,0.001546598
RURAL,Q5,INDIA,NR,PB,2023,0.001665814
URBAN,Q1,INDIA,NR,PB,2023,0.005111136
URBAN,Q2,INDIA,NR,PB,2023,0.005533009
URBAN,Q3,INDIA,NR,PB,2023,0.005647518
URBAN,Q4,INDIA,NR,PB,2023,0.005711629
URBAN,Q5,INDIA,NR,PB,2023,0.005777418
RURAL,Q1,INDIA,NR,PB,2024,0.001366969
RURAL,Q2,INDIA,NR,PB,2024,0.00197047
RURAL,Q3,INDIA,NR,PB,2024,0.002061708
RURAL,Q4,INDIA,NR,PB,2024,0.00212308
RURAL,Q5,INDIA,NR,PB,2024,0.002244322
URBAN,Q1,INDIA,NR,PB,2024,0.006399042
URBAN,Q2,INDIA,NR,PB,2024,0.006854337
URBAN,Q3,INDIA,NR,PB,2024,0.006974016
URBAN,Q4,INDIA,NR,PB,2024,0.007041154
URBAN,Q5,INDIA,NR,PB,2024,0.007111495
RURAL,Q1,INDIA,NR,PB,2025,0.001922365
RURAL,Q2,INDIA,NR,PB,2025,0.002739279
RURAL,Q3,INDIA,NR,PB,2025,0.002847248
RURAL,Q4,INDIA,NR,PB,2025,0.002907108
RURAL,Q5,INDIA,NR,PB,2025,0.003021616
URBAN,Q1,INDIA,NR,PB,2025,0.008002021
URBAN,Q2,INDIA,NR,PB,2025,0.008494298
URBAN,Q3,INDIA,NR,PB,2025,0.008618486
URBAN,Q4,INDIA,NR,PB,2025,0.008688473
URBAN,Q5,INDIA,NR,PB,2025,0.008763371
RURAL,Q1,INDIA,NR,PB,2026,0.002702082
RURAL,Q2,INDIA,NR,PB,2026,0.003801108
RURAL,Q3,INDIA,NR,PB,2026,0.003924
RURAL,Q4,INDIA,NR,PB,2026,0.003971971
RURAL,Q5,INDIA,NR,PB,2026,0.004065693
URBAN,Q1,INDIA,NR,PB,2026,0.010005443
URBAN,Q2,INDIA,NR,PB,2026,0.010538471
URBAN,Q3,INDIA,NR,PB,2026,0.010665856
URBAN,Q4,INDIA,NR,PB,2026,0.01073837
URBAN,Q5,INDIA,NR,PB,2026,0.010817702
RURAL,Q1,INDIA,NR,PB,2027,0.003788104
RURAL,Q2,INDIA,NR,PB,2027,0.005255623
RURAL,Q3,INDIA,NR,PB,2027,0.005388505
RURAL,Q4,INDIA,NR,PB,2027,0.005408084
RURAL,Q5,INDIA,NR,PB,2027,0.005459909
URBAN,Q1,INDIA,NR,PB,2027,0.012502969
URBAN,Q2,INDIA,NR,PB,2027,0.01308138
URBAN,Q3,INDIA,NR,PB,2027,0.013210005
URBAN,Q4,INDIA,NR,PB,2027,0.013284346
URBAN,Q5,INDIA,NR,PB,2027,0.013367778
RURAL,Q1,INDIA,NR,PB,2028,0.005305622
RURAL,Q2,INDIA,NR,PB,2028,0.007253269
RURAL,Q3,INDIA,NR,PB,2028,0.007313459
RURAL,Q4,INDIA,NR,PB,2028,0.007313459
RURAL,Q5,INDIA,NR,PB,2028,0.007313459
URBAN,Q1,INDIA,NR,PB,2028,0.01560927
URBAN,Q2,INDIA,NR,PB,2028,0.016236694
URBAN,Q3,INDIA,NR,PB,2028,0.016363105
URBAN,Q4,INDIA,NR,PB,2028,0.01643829
URBAN,Q5,INDIA,NR,PB,2028,0.016524216
RURAL,Q1,INDIA,NR,PB,2029,0.007420156
RURAL,Q2,INDIA,NR,PB,2029,0.009755276
RURAL,Q3,INDIA,NR,PB,2029,0.009755276
RURAL,Q4,INDIA,NR,PB,2029,0.009755276
RURAL,Q5,INDIA,NR,PB,2029,0.009755276
URBAN,Q1,INDIA,NR,PB,2029,0.019465499
URBAN,Q2,INDIA,NR,PB,2029,0.020145772
URBAN,Q3,INDIA,NR,PB,2029,0.020265448
URBAN,Q4,INDIA,NR,PB,2029,0.020339581
URBAN,Q5,INDIA,NR,PB,2029,0.020422497
RURAL,Q1,INDIA,NR,PB,2030,0.010355644
RURAL,Q2,INDIA,NR,PB,2030,0.013011565
RURAL,Q3,INDIA,NR,PB,2030,0.013011565
RURAL,Q4,INDIA,NR,PB,2030,0.013011565
RURAL,Q5,INDIA,NR,PB,2030,0.013011565
URBAN,Q1,INDIA,NR,PB,2030,0.02424018
URBAN,Q2,INDIA,NR,PB,2030,0.02497743
URBAN,Q3,INDIA,NR,PB,2030,0.025084157
URBAN,Q4,INDIA,NR,PB,2030,0.025155056
URBAN,Q5,INDIA,NR,PB,2030,0.025231001
RURAL,Q1,INDIA,NR,PB,2031,0.014413787
RURAL,Q2,INDIA,NR,PB,2031,0.017348033
RURAL,Q3,INDIA,NR,PB,2031,0.017348033
RURAL,Q4,INDIA,NR,PB,2031,0.017348033
RURAL,Q5,INDIA,NR,PB,2031,0.017348033
URBAN,Q1,INDIA,NR,PB,2031,0.030135566
URBAN,Q2,INDIA,NR,PB,2031,0.030934525
URBAN,Q3,INDIA,NR,PB,2031,0.031019872
URBAN,Q4,INDIA,NR,PB,2031,0.03108435
URBAN,Q5,INDIA,NR,PB,2031,0.031148516
RURAL,Q1,INDIA,NR,UK,2021,0.000526009
