ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,ER,JH,2021,0.11212251
RURAL,Q2,INDIA,ER,JH,2021,0.135494163
RURAL,Q3,INDIA,ER,JH,2021,0.159272022
RURAL,Q4,INDIA,ER,JH,2021,0.226830862
RURAL,Q5,INDIA,ER,JH,2021,0.329699822
URBAN,Q1,INDIA,ER,JH,2021,0.472008483
URBAN,Q2,INDIA,ER,JH,2021,0.524062684
URBAN,Q3,INDIA,ER,JH,2021,0.736874263
URBAN,Q4,INDIA,ER,JH,2021,0.823429042
URBAN,Q5,INDIA,ER,JH,2021,0.890709644
RURAL,Q1,INDIA,ER,JH,2022,0.114247202
RURAL,Q2,INDIA,ER,JH,2022,0.139189191
RURAL,Q3,INDIA,ER,JH,2022,0.165003902
RURAL,Q4,INDIA,ER,JH,2022,0.235902622
RURAL,Q5,INDIA,ER,JH,2022,0.356625816
URBAN,Q1,INDIA,ER,JH,2022,0.505068405
URBAN,Q2,INDIA,ER,JH,2022,0.561420328
URBAN,Q3,INDIA,ER,JH,2022,0.763809774
URBAN,Q4,INDIA,ER,JH,2022,0.838385302
URBAN,Q5,INDIA,ER,JH,2022,0.89463775
RURAL,Q1,INDIA,ER,JH,2023,0.115905813
RURAL,Q2,INDIA,ER,JH,2023,0.142076172
RURAL,Q3,INDIA,ER,JH,2023,0.169457295
RURAL,Q4,INDIA,ER,JH,2023,0.242906984
RURAL,Q5,INDIA,ER,JH,2023,0.377023873
URBAN,Q1,INDIA,ER,JH,2023,0.528979469
URBAN,Q2,INDIA,ER,JH,2023,0.586564399
URBAN,Q3,INDIA,ER,JH,2023,0.781107545
URBAN,Q4,INDIA,ER,JH,2023,0.847726186
URBAN,Q5,INDIA,ER,JH,2023,0.897063378
RURAL,Q1,INDIA,ER,JH,2024,0.117674192
RURAL,Q2,INDIA,ER,JH,2024,0.145158975
RURAL,Q3,INDIA,ER,JH,2024,0.174212614
RURAL,Q4,INDIA,ER,JH,2024,0.250351818
RURAL,Q5,INDIA,ER,JH,2024,0.398291045
URBAN,Q1,INDIA,ER,JH,2024,0.553063395
URBAN,Q2,INDIA,ER,JH,2024,0.61046728
URBAN,Q3,INDIA,ER,JH,2024,0.796947814
URBAN,Q4,INDIA,ER,JH,2024,0.85609302
URBAN,Q5,INDIA,ER,JH,2024,0.899208124
RURAL,Q1,INDIA,ER,JH,2025,0.119558653
RURAL,Q2,INDIA,ER,JH,2025,0.148445041
RURAL,Q3,INDIA,ER,JH,2025,0.179278379
RURAL,Q4,INDIA,ER,JH,2025,0.258229208
RURAL,Q5,INDIA,ER,JH,2025,0.420312835
URBAN,Q1,INDIA,ER,JH,2025,0.577142337
URBAN,Q2,INDIA,ER,JH,2025,0.633040406
URBAN,Q3,INDIA,ER,JH,2025,0.811402715
URBAN,Q4,INDIA,ER,JH,2025,0.86357889
URBAN,Q5,INDIA,ER,JH,2025,0.901096376
RURAL,Q1,INDIA,ER,JH,2026,0.121592847
RURAL,Q2,INDIA,ER,JH,2026,0.151988575
RURAL,Q3,INDIA,ER,JH,2026,0.184719378
RURAL,Q4,INDIA,ER,JH,2026,0.266635815
RURAL,Q5,INDIA,ER,JH,2026,0.443187397
URBAN,Q1,INDIA,ER,JH,2026,0.601336481
URBAN,Q2,INDIA,ER,JH,2026,0.654493352
URBAN,Q3,INDIA,ER,JH,2026,0.824692875
URBAN,Q4,INDIA,ER,JH,2026,0.87034548
URBAN,Q5,INDIA,ER,JH,2026,0.902781025
RURAL,Q1,INDIA,ER,JH,2027,0.123776124
RURAL,Q2,INDIA,ER,JH,2027,0.155791132
RURAL,Q3,INDIA,ER,JH,2027,0.190539492
RURAL,Q4,INDIA,ER,JH,2027,0.275571592
RURAL,Q5,INDIA,ER,JH,2027,0.46674721
URBAN,Q1,INDIA,ER,JH,2027,0.62540876
URBAN,Q2,INDIA,ER,JH,2027,0.674728391
URBAN,Q3,INDIA,ER,JH,2027,0.836871035
URBAN,Q4,INDIA,ER,JH,2027,0.876436228
URBAN,Q5,INDIA,ER,JH,2027,0.90427619
