ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NR,JK,2021,0.088478322
RURAL,Q2,INDIA,NR,JK,2021,0.134389771
RURAL,Q3,INDIA,NR,JK,2021,0.169376983
RURAL,Q4,INDIA,NR,JK,2021,0.215351414
RURAL,Q5,INDIA,NR,JK,2021,0.378966955
URBAN,Q1,INDIA,NR,JK,2021,0.161133699
URBAN,Q2,INDIA,NR,JK,2021,0.232322582
URBAN,Q3,INDIA,NR,JK,2021,0.294585964
URBAN,Q4,INDIA,NR,JK,2021,0.374119305
URBAN,Q5,INDIA,NR,JK,2021,0.490955205
RURAL,Q1,INDIA,NR,JK,2022,0.096307857
RURAL,Q2,INDIA,NR,JK,2022,0.145547729
RURAL,Q3,INDIA,NR,JK,2022,0.182740744
RURAL,Q4,INDIA,NR,JK,2022,0.231184836
RURAL,Q5,INDIA,NR,JK,2022,0.404126887
URBAN,Q1,INDIA,NR,JK,2022,0.172715177
URBAN,Q2,INDIA,NR,JK,2022,0.246317614
URBAN,Q3,INDIA,NR,JK,2022,0.309394298
URBAN,Q4,INDIA,NR,JK,2022,0.389329486
URBAN,Q5,INDIA,NR,JK,2022,0.504375356
RURAL,Q1,INDIA,NR,JK,2023,0.100061706
RURAL,Q2,INDIA,NR,JK,2023,0.150681222
RURAL,Q3,INDIA,NR,JK,2023,0.188677495
RURAL,Q4,INDIA,NR,JK,2023,0.237862592
RURAL,Q5,INDIA,NR,JK,2023,0.413628633
URBAN,Q1,INDIA,NR,JK,2023,0.176011811
URBAN,Q2,INDIA,NR,JK,2023,0.249139741
URBAN,Q3,INDIA,NR,JK,2023,0.310944018
URBAN,Q4,INDIA,NR,JK,2023,0.388836681
URBAN,Q5,INDIA,NR,JK,2023,0.499352859
RURAL,Q1,INDIA,NR,JK,2024,0.103446816
RURAL,Q2,INDIA,NR,JK,2024,0.155212148
RURAL,Q3,INDIA,NR,JK,2024,0.193821735
RURAL,Q4,INDIA,NR,JK,2024,0.243489585
RURAL,Q5,INDIA,NR,JK,2024,0.420984928
URBAN,Q1,INDIA,NR,JK,2024,0.178673784
URBAN,Q2,INDIA,NR,JK,2024,0.251026269
URBAN,Q3,INDIA,NR,JK,2024,0.311341067
URBAN,Q4,INDIA,NR,JK,2024,0.386935864
URBAN,Q5,INDIA,NR,JK,2024,0.492661602
RURAL,Q1,INDIA,NR,JK,2025,0.106340251
RURAL,Q2,INDIA,NR,JK,2025,0.158964509
RURAL,Q3,INDIA,NR,JK,2025,0.197962478
RURAL,Q4,INDIA,NR,JK,2025,0.24781612
RURAL,Q5,INDIA,NR,JK,2025,0.42582056
URBAN,Q1,INDIA,NR,JK,2025,0.180627481
URBAN,Q2,INDIA,NR,JK,2025,0.251903937
URBAN,Q3,INDIA,NR,JK,2025,0.310525002
URBAN,Q4,INDIA,NR,JK,2025,0.38359113
URBAN,Q5,INDIA,NR,JK,2025,0.484326781
RURAL,Q1,INDIA,NR,JK,2026,0.108674197
RURAL,Q2,INDIA,NR,JK,2026,0.161839435
RURAL,Q3,INDIA,NR,JK,2026,0.200979763
RURAL,Q4,INDIA,NR,JK,2026,0.250698111
RURAL,Q5,INDIA,NR,JK,2026,0.427919456
URBAN,Q1,INDIA,NR,JK,2026,0.181897896
URBAN,Q2,INDIA,NR,JK,2026,0.251813328
URBAN,Q3,INDIA,NR,JK,2026,0.308550309
URBAN,Q4,INDIA,NR,JK,2026,0.37887618
URBAN,Q5,INDIA,NR,JK,2026,0.474451092
RURAL,Q1,INDIA,NR,JK,2027,0.110273298
RURAL,Q2,INDIA,NR,JK,2027,0.163589231
RURAL,Q3,INDIA,NR,JK,2027,0.202579136
RURAL,Q4,INDIA,NR,JK,2027,0.251790067
RURAL,Q5,INDIA,NR,JK,2027,0.426776888
URBAN,Q1,INDIA,NR,JK,2027,0.182394346
URBAN,Q2,INDIA,NR,JK,2027,0.250662711
URBAN,Q3,INDIA,NR,JK,2027,0.305336889
URBAN,Q4,INDIA,NR,JK,2027,0.372732861
URBAN,Q5,INDIA,NR,JK,2027,0.463027939
RURAL,Q1,INDIA,NR,JK,2028,0.111059742
RURAL,Q2,INDIA,NR,JK,2028,0.164100066
RURAL,Q3,INDIA,NR,JK,2028,0.202621871
RURAL,Q4,INDIA,NR,JK,2028,0.250923908
RURAL,Q5,INDIA,NR,JK,2028,0.422136319
URBAN,Q1,INDIA,NR,JK,2028,0.182184275
URBAN,Q2,INDIA,NR,JK,2028,0.248536892
URBAN,Q3,INDIA,NR,JK,2028,0.300978719
URBAN,Q4,INDIA,NR,JK,2028,0.36526443
URBAN,Q5,INDIA,NR,JK,2028,0.450161658
RURAL,Q1,INDIA,NR,JK,2029,0.110818981
RURAL,Q2,INDIA,NR,JK,2029,0.163070437
RURAL,Q3,INDIA,NR,JK,2029,0.200750507
RURAL,Q4,INDIA,NR,JK,2029,0.247680942
RURAL,Q5,INDIA,NR,JK,2029,0.413390828
URBAN,Q1,INDIA,NR,JK,2029,0.181198556
URBAN,Q2,INDIA,NR,JK,2029,0.245366734
URBAN,Q3,INDIA,NR,JK,2029,0.295415463
URBAN,Q4,INDIA,NR,JK,2029,0.356426353
URBAN,Q5,INDIA,NR,JK,2029,0.43584152
RURAL,Q1,INDIA,NR,JK,2030,0.109293081
RURAL,Q2,INDIA,NR,JK,2030,0.160141573
RURAL,Q3,INDIA,NR,JK,2030,0.196542526
RURAL,Q4,INDIA,NR,JK,2030,0.241569948
RURAL,Q5,INDIA,NR,JK,2030,0.399844131
URBAN,Q1,INDIA,NR,JK,2030,0.179365444
URBAN,Q2,INDIA,NR,JK,2030,0.24108225
URBAN,Q3,INDIA,NR,JK,2030,0.288586902
URBAN,Q4,INDIA,NR,JK,2030,0.346174753
URBAN,Q5,INDIA,NR,JK,2030,0.420055431
RURAL,Q1,INDIA,NR,JK,2031,0.106172536
RURAL,Q2,INDIA,NR,JK,2031,0.154887225
RURAL,Q3,INDIA,NR,JK,2031,0.189499157
RURAL,Q4,INDIA,NR,JK,2031,0.232015123
RURAL,Q5,INDIA,NR,JK,2031,0.380696658
URBAN,Q1,INDIA,NR,JK,2031,0.176610696
URBAN,Q2,INDIA,NR,JK,2031,0.235612724
URBAN,Q3,INDIA,NR,JK,2031,0.280432925
URBAN,Q4,INDIA,NR,JK,2031,0.334466198
URBAN,Q5,INDIA,NR,JK,2031,0.402789545
RURAL,Q1,INDIA,NR,HP,2021,0.014985733
RURAL,Q2,INDIA,NR,HP,2021,0.022533082
RURAL,Q3,INDIA,NR,HP,2021,0.032376935
RURAL,Q4,INDIA,NR,HP,2021,0.046594893
RURAL,Q5,INDIA,NR,HP,2021,0.096573354
URBAN,Q1,INDIA,NR,HP,2021,0.04906374
URBAN,Q2,INDIA,NR,HP,2021,0.108963244
URBAN,Q3,INDIA,NR,HP,2021,0.155500652
URBAN,Q4,INDIA,NR,HP,2021,0.213107604
URBAN,Q5,INDIA,NR,HP,2021,0.425566661
RURAL,Q1,INDIA,NR,HP,2022,0.016018475
RURAL,Q2,INDIA,NR,HP,2022,0.023972487
RURAL,Q3,INDIA,NR,HP,2022,0.034537592
RURAL,Q4,INDIA,NR,HP,2022,0.049544915
RURAL,Q5,INDIA,NR,HP,2022,0.100917206
URBAN,Q1,INDIA,NR,HP,2022,0.05105132
