ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,EfficiencyLevelName,Year,SplitShare
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2021,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2022,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2023,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2024,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2025,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2026,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2027,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2028,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2029,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2030,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2031,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2021,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2022,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2023,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2024,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2025,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2026,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2027,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2028,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2029,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2030,0.106671554
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2031,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2021,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2022,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2023,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2024,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2025,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2026,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2027,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2028,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2029,0.106671554
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2030,0.106671554
