ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NR,JK,2021,0.138999715
RURAL,Q2,INDIA,NR,JK,2021,0.218764627
RURAL,Q3,INDIA,NR,JK,2021,0.278672711
RURAL,Q4,INDIA,NR,JK,2021,0.354836584
RURAL,Q5,INDIA,NR,JK,2021,0.592425055
URBAN,Q1,INDIA,NR,JK,2021,0.421214766
URBAN,Q2,INDIA,NR,JK,2021,0.573553432
URBAN,Q3,INDIA,NR,JK,2021,0.683270689
URBAN,Q4,INDIA,NR,JK,2021,0.795841712
URBAN,Q5,INDIA,NR,JK,2021,0.916003811
RURAL,Q1,INDIA,NR,JK,2022,0.152597748
RURAL,Q2,INDIA,NR,JK,2022,0.238008816
RURAL,Q3,INDIA,NR,JK,2022,0.301155368
RURAL,Q4,INDIA,NR,JK,2022,0.380224967
RURAL,Q5,INDIA,NR,JK,2022,0.623905963
URBAN,Q1,INDIA,NR,JK,2022,0.448054155
URBAN,Q2,INDIA,NR,JK,2022,0.600036415
URBAN,Q3,INDIA,NR,JK,2022,0.706427598
URBAN,Q4,INDIA,NR,JK,2022,0.8142861
URBAN,Q5,INDIA,NR,JK,2022,0.926901757
RURAL,Q1,INDIA,NR,JK,2023,0.162313317
RURAL,Q2,INDIA,NR,JK,2023,0.251548093
RURAL,Q3,INDIA,NR,JK,2023,0.316793368
RURAL,Q4,INDIA,NR,JK,2023,0.397632635
RURAL,Q5,INDIA,NR,JK,2023,0.644505482
URBAN,Q1,INDIA,NR,JK,2023,0.466231157
URBAN,Q2,INDIA,NR,JK,2023,0.617481327
URBAN,Q3,INDIA,NR,JK,2023,0.721386782
URBAN,Q4,INDIA,NR,JK,2023,0.825925339
URBAN,Q5,INDIA,NR,JK,2023,0.933488993
RURAL,Q1,INDIA,NR,JK,2024,0.172258677
RURAL,Q2,INDIA,NR,JK,2024,0.265229924
RURAL,Q3,INDIA,NR,JK,2024,0.33244765
RURAL,Q4,INDIA,NR,JK,2024,0.414855942
RURAL,Q5,INDIA,NR,JK,2024,0.664087447
URBAN,Q1,INDIA,NR,JK,2024,0.484038151
URBAN,Q2,INDIA,NR,JK,2024,0.634201378
URBAN,Q3,INDIA,NR,JK,2024,0.735510478
URBAN,Q4,INDIA,NR,JK,2024,0.836710615
URBAN,Q5,INDIA,NR,JK,2024,0.939377301
RURAL,Q1,INDIA,NR,JK,2025,0.182387299
RURAL,Q2,INDIA,NR,JK,2025,0.278982683
RURAL,Q3,INDIA,NR,JK,2025,0.34803489
RURAL,Q4,INDIA,NR,JK,2025,0.431807682
RURAL,Q5,INDIA,NR,JK,2025,0.682607335
URBAN,Q1,INDIA,NR,JK,2025,0.501394496
URBAN,Q2,INDIA,NR,JK,2025,0.650157291
URBAN,Q3,INDIA,NR,JK,2025,0.748797698
URBAN,Q4,INDIA,NR,JK,2025,0.846677298
URBAN,Q5,INDIA,NR,JK,2025,0.944633984
RURAL,Q1,INDIA,NR,JK,2026,0.192789899
RURAL,Q2,INDIA,NR,JK,2026,0.29292086
RURAL,Q3,INDIA,NR,JK,2026,0.363682829
RURAL,Q4,INDIA,NR,JK,2026,0.448630314
RURAL,Q5,INDIA,NR,JK,2026,0.700269155
URBAN,Q1,INDIA,NR,JK,2026,0.518454442
URBAN,Q2,INDIA,NR,JK,2026,0.665522756
URBAN,Q3,INDIA,NR,JK,2026,0.76142057
URBAN,Q4,INDIA,NR,JK,2026,0.85598466
URBAN,Q5,INDIA,NR,JK,2026,0.949381837
RURAL,Q1,INDIA,NR,JK,2027,0.203402168
RURAL,Q2,INDIA,NR,JK,2027,0.306949008
RURAL,Q3,INDIA,NR,JK,2027,0.379282016
RURAL,Q4,INDIA,NR,JK,2027,0.465209276
RURAL,Q5,INDIA,NR,JK,2027,0.716998664
URBAN,Q1,INDIA,NR,JK,2027,0.535109499
URBAN,Q2,INDIA,NR,JK,2027,0.680228516
URBAN,Q3,INDIA,NR,JK,2027,0.773345969
URBAN,Q4,INDIA,NR,JK,2027,0.864634124
URBAN,Q5,INDIA,NR,JK,2027,0.953654061
RURAL,Q1,INDIA,NR,JK,2028,0.214408222
RURAL,Q2,INDIA,NR,JK,2028,0.321298101
RURAL,Q3,INDIA,NR,JK,2028,0.395084881
RURAL,Q4,INDIA,NR,JK,2028,0.481813316
RURAL,Q5,INDIA,NR,JK,2028,0.733100876
URBAN,Q1,INDIA,NR,JK,2028,0.551634958
URBAN,Q2,INDIA,NR,JK,2028,0.694540115
URBAN,Q3,INDIA,NR,JK,2028,0.784808439
URBAN,Q4,INDIA,NR,JK,2028,0.872816334
URBAN,Q5,INDIA,NR,JK,2028,0.957570136
RURAL,Q1,INDIA,NR,JK,2029,0.225804273
RURAL,Q2,INDIA,NR,JK,2029,0.335945947
RURAL,Q3,INDIA,NR,JK,2029,0.411059268
RURAL,Q4,INDIA,NR,JK,2029,0.498405137
RURAL,Q5,INDIA,NR,JK,2029,0.748560414
URBAN,Q1,INDIA,NR,JK,2029,0.567995665
URBAN,Q2,INDIA,NR,JK,2029,0.70844233
URBAN,Q3,INDIA,NR,JK,2029,0.795810144
URBAN,Q4,INDIA,NR,JK,2029,0.880548531
URBAN,Q5,INDIA,NR,JK,2029,0.961158005
RURAL,Q1,INDIA,NR,JK,2030,0.237584609
RURAL,Q2,INDIA,NR,JK,2030,0.35086826
RURAL,Q3,INDIA,NR,JK,2030,0.427171761
RURAL,Q4,INDIA,NR,JK,2030,0.514947779
RURAL,Q5,INDIA,NR,JK,2030,0.763367451
URBAN,Q1,INDIA,NR,JK,2030,0.584158113
URBAN,Q2,INDIA,NR,JK,2030,0.721922762
URBAN,Q3,INDIA,NR,JK,2030,0.806355207
URBAN,Q4,INDIA,NR,JK,2030,0.887848438
URBAN,Q5,INDIA,NR,JK,2030,0.964443789
RURAL,Q1,INDIA,NR,JK,2031,0.249741523
RURAL,Q2,INDIA,NR,JK,2031,0.366038795
RURAL,Q3,INDIA,NR,JK,2031,0.443387967
RURAL,Q4,INDIA,NR,JK,2031,0.531404944
RURAL,Q5,INDIA,NR,JK,2031,0.777517335
URBAN,Q1,INDIA,NR,JK,2031,0.600090691
URBAN,Q2,INDIA,NR,JK,2031,0.734971756
URBAN,Q3,INDIA,NR,JK,2031,0.816449504
URBAN,Q4,INDIA,NR,JK,2031,0.894734076
URBAN,Q5,INDIA,NR,JK,2031,0.96745184
RURAL,Q1,INDIA,NR,HP,2021,0.262535511
RURAL,Q2,INDIA,NR,HP,2021,0.365760752
RURAL,Q3,INDIA,NR,HP,2021,0.470785549
RURAL,Q4,INDIA,NR,HP,2021,0.580580016
RURAL,Q5,INDIA,NR,HP,2021,0.776656923
URBAN,Q1,INDIA,NR,HP,2021,0.6685399
URBAN,Q2,INDIA,NR,HP,2021,0.84957776
URBAN,Q3,INDIA,NR,HP,2021,0.903221104
URBAN,Q4,INDIA,NR,HP,2021,0.938298402
URBAN,Q5,INDIA,NR,HP,2021,0.984430072
RURAL,Q1,INDIA,NR,HP,2022,0.284341921
RURAL,Q2,INDIA,NR,HP,2022,0.390513867
RURAL,Q3,INDIA,NR,HP,2022,0.498238377
RURAL,Q4,INDIA,NR,HP,2022,0.606663422
RURAL,Q5,INDIA,NR,HP,2022,0.792391416
URBAN,Q1,INDIA,NR,HP,2022,0.688611295
URBAN,Q2,INDIA,NR,HP,2022,0.864378003
URBAN,Q3,INDIA,NR,HP,2022,0.913792646
URBAN,Q4,INDIA,NR,HP,2022,0.946085372
URBAN,Q5,INDIA,NR,HP,2022,0.987219388
RURAL,Q1,INDIA,NR,HP,2023,0.300948515
