EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,Year,Elasticity
TRANS_FUEL,LPG,ALL,INDIA,,2021,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2022,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2023,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2024,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2025,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2026,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2027,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2028,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2029,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2030,-0.452113732
TRANS_FUEL,LPG,ALL,INDIA,,2031,-0.452113732
TRANS_FUEL,MS,ALL,INDIA,,2021,1.374152462
TRANS_FUEL,MS,ALL,INDIA,,2022,1.326057126
TRANS_FUEL,MS,ALL,INDIA,,2023,1.279645127
TRANS_FUEL,MS,ALL,INDIA,,2024,1.234857547
TRANS_FUEL,MS,ALL,INDIA,,2025,1.191637533
TRANS_FUEL,MS,ALL,INDIA,,2026,1.149930219
TRANS_FUEL,MS,ALL,INDIA,,2027,1.109682662
TRANS_FUEL,MS,ALL,INDIA,,2028,1.070843768
TRANS_FUEL,MS,ALL,INDIA,,2029,1.033364237
TRANS_FUEL,MS,ALL,INDIA,,2030,0.997196488
TRANS_FUEL,MS,ALL,INDIA,,2031,0.962294611
TRANS_FUEL,HSD,ALL,INDIA,,2021,0.408885883
TRANS_FUEL,HSD,ALL,INDIA,,2022,0.404797024
TRANS_FUEL,HSD,ALL,INDIA,,2023,0.400749054
TRANS_FUEL,HSD,ALL,INDIA,,2024,0.396741563
TRANS_FUEL,HSD,ALL,INDIA,,2025,0.392774148
TRANS_FUEL,HSD,ALL,INDIA,,2026,0.388846406
TRANS_FUEL,HSD,ALL,INDIA,,2027,0.384957942
TRANS_FUEL,HSD,ALL,INDIA,,2028,0.381108363
TRANS_FUEL,HSD,ALL,INDIA,,2029,0.377297279
TRANS_FUEL,HSD,ALL,INDIA,,2030,0.373524306
TRANS_FUEL,HSD,ALL,INDIA,,2031,0.369789063
TRANS_FUEL,ATF,ALL,INDIA,,2021,0.898324486
TRANS_FUEL,ATF,ALL,INDIA,,2022,0.889341241
TRANS_FUEL,ATF,ALL,INDIA,,2023,0.880447829
TRANS_FUEL,ATF,ALL,INDIA,,2024,0.871643351
TRANS_FUEL,ATF,ALL,INDIA,,2025,0.862926917
TRANS_FUEL,ATF,ALL,INDIA,,2026,0.854297648
TRANS_FUEL,ATF,ALL,INDIA,,2027,0.845754671
TRANS_FUEL,ATF,ALL,INDIA,,2028,0.837297125
TRANS_FUEL,ATF,ALL,INDIA,,2029,0.828924153
TRANS_FUEL,ATF,ALL,INDIA,,2030,0.820634912
TRANS_FUEL,ATF,ALL,INDIA,,2031,0.812428563
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2021,2.375287211
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2022,2.209017106
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2023,2.054385908
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2024,1.910578895
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2025,1.776838372
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2026,1.652459686
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2027,1.536787508
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2028,1.429212383
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2029,1.329167516
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2030,1.23612579
TRANS_FUEL,PP_OTHER,ALL,INDIA,,2031,1.149596984
TRANS_FUEL,NATGAS,ALL,INDIA,,2021,1.000449655
TRANS_FUEL,NATGAS,ALL,INDIA,,2022,0.980440661
TRANS_FUEL,NATGAS,ALL,INDIA,,2023,0.960831848
TRANS_FUEL,NATGAS,ALL,INDIA,,2024,0.941615211
TRANS_FUEL,NATGAS,ALL,INDIA,,2025,0.922782907
TRANS_FUEL,NATGAS,ALL,INDIA,,2026,0.904327249
TRANS_FUEL,NATGAS,ALL,INDIA,,2027,0.886240704
TRANS_FUEL,NATGAS,ALL,INDIA,,2028,0.86851589
TRANS_FUEL,NATGAS,ALL,INDIA,,2029,0.851145572
TRANS_FUEL,NATGAS,ALL,INDIA,,2030,0.834122661
TRANS_FUEL,NATGAS,ALL,INDIA,,2031,0.817440207
