EnergyConvTech,GeographicGranularity,TimeGranularity,Comment
EG_COAL,SUBGEOGRAPHY1,YEAR,
EG_CCGT,SUBGEOGRAPHY1,YEAR,
EG_OCGT,SUBGEOGRAPHY1,YEAR,
EG_PHWR,SUBGEOGRAPHY1,YEAR,
EG_LH,SUBGEOGRAPHY1,SEASON,Since we want CUF to change by season
EG_SH,SUBGEOGRAPHY1,SEASON,Since we want CUF to change by season
EG_BIOMASS,SUBGEOGRAPHY1,SEASON,Since we want CUF to change by season
EG_SOLARPV,SUBGEOGRAPHY1,DAYSLICE,Since we want CUF to change by DaySlice. 
EG_WIND,SUBGEOGRAPHY1,DAYSLICE,Since we want CUF to change by DaySlice. 
RF_MS,MODELGEOGRAPHY,YEAR,
RF_HSD,MODELGEOGRAPHY,YEAR,
RF_ATF,MODELGEOGRAPHY,YEAR,
RF_LPG,MODELGEOGRAPHY,YEAR,
RF_OTHERPP,MODELGEOGRAPHY,YEAR,
