EnergyStorTech,Year,LifetimeYears,LifetimeCycles
FOURHR_BATTERY,2021,10,3650
FOURHR_BATTERY,2022,10,3723
FOURHR_BATTERY,2023,10,3797
FOURHR_BATTERY,2024,10,3873
FOURHR_BATTERY,2025,10,3951
FOURHR_BATTERY,2026,10,4030
FOURHR_BATTERY,2027,10,4110
FOURHR_BATTERY,2028,10,4193
FOURHR_BATTERY,2029,10,4277
FOURHR_BATTERY,2030,10,4362
FOURHR_BATTERY,2031,10,4449
SIXHR_BATTERY,2021,10,3650
SIXHR_BATTERY,2022,10,3723
SIXHR_BATTERY,2023,10,3797
SIXHR_BATTERY,2024,10,3873
SIXHR_BATTERY,2025,10,3951
SIXHR_BATTERY,2026,10,4030
SIXHR_BATTERY,2027,10,4110
SIXHR_BATTERY,2028,10,4193
SIXHR_BATTERY,2029,10,4277
SIXHR_BATTERY,2030,10,4362
SIXHR_BATTERY,2031,10,4449
PUMPED_STOR,2021,40,50000
PUMPED_STOR,2022,40,50000
PUMPED_STOR,2023,40,50000
PUMPED_STOR,2024,40,50000
PUMPED_STOR,2025,40,50000
PUMPED_STOR,2026,40,50000
PUMPED_STOR,2027,40,50000
PUMPED_STOR,2028,40,50000
PUMPED_STOR,2029,40,50000
PUMPED_STOR,2030,40,50000
PUMPED_STOR,2031,40,50000
