EnergyConvTech,InstYear,EmissionType,DomEmissionFactor,ImpEmissionFactor
EG_COAL,2020,GHG,1942.097623,2039.840774
RF_MS,2020,GHG,1.987830801,1.987830801
RF_HSD,2020,GHG,1.987830801,1.987830801
RF_ATF,2020,GHG,1.987830801,1.987830801
RF_LPG,2020,GHG,1.987830801,1.987830801
RF_OTHERPP,2020,GHG,1.987830801,1.987830801
EG_COAL,2021,GHG,1942.097623,2039.840774
RF_MS,2021,GHG,1.987830801,1.987830801
RF_HSD,2021,GHG,1.987830801,1.987830801
RF_ATF,2021,GHG,1.987830801,1.987830801
RF_LPG,2021,GHG,1.987830801,1.987830801
RF_OTHERPP,2021,GHG,1.987830801,1.987830801
EG_COAL,2022,GHG,1942.097623,2039.840774
RF_MS,2022,GHG,1.987830801,1.987830801
RF_HSD,2022,GHG,1.987830801,1.987830801
RF_ATF,2022,GHG,1.987830801,1.987830801
RF_LPG,2022,GHG,1.987830801,1.987830801
RF_OTHERPP,2022,GHG,1.987830801,1.987830801
EG_COAL,2023,GHG,1942.097623,2039.840774
RF_MS,2023,GHG,1.987830801,1.987830801
RF_HSD,2023,GHG,1.987830801,1.987830801
RF_ATF,2023,GHG,1.987830801,1.987830801
RF_LPG,2023,GHG,1.987830801,1.987830801
RF_OTHERPP,2023,GHG,1.987830801,1.987830801
EG_COAL,2024,GHG,1942.097623,2039.840774
RF_MS,2024,GHG,1.987830801,1.987830801
RF_HSD,2024,GHG,1.987830801,1.987830801
RF_ATF,2024,GHG,1.987830801,1.987830801
RF_LPG,2024,GHG,1.987830801,1.987830801
RF_OTHERPP,2024,GHG,1.987830801,1.987830801
EG_COAL,2025,GHG,1942.097623,2039.840774
RF_MS,2025,GHG,1.987830801,1.987830801
RF_HSD,2025,GHG,1.987830801,1.987830801
RF_ATF,2025,GHG,1.987830801,1.987830801
RF_LPG,2025,GHG,1.987830801,1.987830801
RF_OTHERPP,2025,GHG,1.987830801,1.987830801
EG_COAL,2026,GHG,1942.097623,2039.840774
RF_MS,2026,GHG,1.987830801,1.987830801
RF_HSD,2026,GHG,1.987830801,1.987830801
RF_ATF,2026,GHG,1.987830801,1.987830801
RF_LPG,2026,GHG,1.987830801,1.987830801
RF_OTHERPP,2026,GHG,1.987830801,1.987830801
EG_COAL,2027,GHG,1942.097623,2039.840774
RF_MS,2027,GHG,1.987830801,1.987830801
RF_HSD,2027,GHG,1.987830801,1.987830801
RF_ATF,2027,GHG,1.987830801,1.987830801
RF_LPG,2027,GHG,1.987830801,1.987830801
RF_OTHERPP,2027,GHG,1.987830801,1.987830801
EG_COAL,2028,GHG,1942.097623,2039.840774
RF_MS,2028,GHG,1.987830801,1.987830801
RF_HSD,2028,GHG,1.987830801,1.987830801
RF_ATF,2028,GHG,1.987830801,1.987830801
RF_LPG,2028,GHG,1.987830801,1.987830801
RF_OTHERPP,2028,GHG,1.987830801,1.987830801
EG_COAL,2029,GHG,1942.097623,2039.840774
RF_MS,2029,GHG,1.987830801,1.987830801
RF_HSD,2029,GHG,1.987830801,1.987830801
RF_ATF,2029,GHG,1.987830801,1.987830801
RF_LPG,2029,GHG,1.987830801,1.987830801
RF_OTHERPP,2029,GHG,1.987830801,1.987830801
EG_COAL,2030,GHG,1942.097623,2039.840774
RF_MS,2030,GHG,1.987830801,1.987830801
RF_HSD,2030,GHG,1.987830801,1.987830801
RF_ATF,2030,GHG,1.987830801,1.987830801
RF_LPG,2030,GHG,1.987830801,1.987830801
RF_OTHERPP,2030,GHG,1.987830801,1.987830801
EG_COAL,2031,GHG,1942.097623,2039.840774
RF_MS,2031,GHG,1.987830801,1.987830801
RF_HSD,2031,GHG,1.987830801,1.987830801
RF_ATF,2031,GHG,1.987830801,1.987830801
RF_LPG,2031,GHG,1.987830801,1.987830801
RF_OTHERPP,2031,GHG,1.987830801,1.987830801
