Year,ModelGeography,SubGeography1,SubGeography2,PPC+OPC+PSC+CC+LC3
2022,INDIA,NR,JK,0.385152679
2022,INDIA,NR,HP,6.053297831
2023,INDIA,NR,JK,0.407034335
2024,INDIA,NR,JK,0.428968338
2025,INDIA,NR,JK,0.464731909
2026,INDIA,NR,JK,0.503979391
2027,INDIA,NR,JK,0.545067426
2028,INDIA,NR,JK,0.58811241
2029,INDIA,NR,JK,0.633458933
2030,INDIA,NR,JK,0.681161792
2031,INDIA,NR,JK,0.731260535
2032,INDIA,NR,JK,0.782150235
2033,INDIA,NR,JK,0.832537844
2034,INDIA,NR,JK,0.88227544
2035,INDIA,NR,JK,0.930795931
2036,INDIA,NR,JK,0.978336526
2037,INDIA,NR,JK,1.026283563
2038,INDIA,NR,JK,1.074745761
2039,INDIA,NR,JK,1.122881413
2040,INDIA,NR,JK,1.170054938
2041,INDIA,NR,JK,1.215446673
2023,INDIA,NR,HP,6.397203472
2024,INDIA,NR,HP,6.741931837
2025,INDIA,NR,HP,7.304014254
2026,INDIA,NR,HP,7.920851964
2027,INDIA,NR,HP,8.566616955
2028,INDIA,NR,HP,9.243138559
2029,INDIA,NR,HP,9.955832576
2030,INDIA,NR,HP,10.70556021
2031,INDIA,NR,HP,11.49294307
2032,INDIA,NR,HP,12.29275707
2033,INDIA,NR,HP,13.08467992
2034,INDIA,NR,HP,13.86638675
2035,INDIA,NR,HP,14.62896482
2036,INDIA,NR,HP,15.37614223
2037,INDIA,NR,HP,16.12970753
2038,INDIA,NR,HP,16.89136941
2039,INDIA,NR,HP,17.64789911
2040,INDIA,NR,HP,18.38930742
2041,INDIA,NR,HP,19.10271201
2022,INDIA,NR,PB,2.82950241
2023,INDIA,NR,PB,2.990254759
2024,INDIA,NR,PB,3.151391674
2025,INDIA,NR,PB,3.414126731
2026,INDIA,NR,PB,3.70245614
2027,INDIA,NR,PB,4.004307074
2028,INDIA,NR,PB,4.320534618
2029,INDIA,NR,PB,4.65367029
2030,INDIA,NR,PB,5.004116643
2031,INDIA,NR,PB,5.372164234
2032,INDIA,NR,PB,5.746022539
2033,INDIA,NR,PB,6.116192266
2034,INDIA,NR,PB,6.481586705
2035,INDIA,NR,PB,6.838039753
2036,INDIA,NR,PB,7.187294055
2037,INDIA,NR,PB,7.539534251
2038,INDIA,NR,PB,7.89555905
2039,INDIA,NR,PB,8.249184903
2040,INDIA,NR,PB,8.59574254
2041,INDIA,NR,PB,8.929210356
2022,INDIA,NR,UK,1.569408256
2023,INDIA,NR,UK,1.658570952
2024,INDIA,NR,UK,1.747946951
2025,INDIA,NR,UK,1.893675249
2026,INDIA,NR,UK,2.053599677
2027,INDIA,NR,UK,2.221023937
2028,INDIA,NR,UK,2.39642231
2029,INDIA,NR,UK,2.581198923
2030,INDIA,NR,UK,2.775577058
2031,INDIA,NR,UK,2.979717873
2032,INDIA,NR,UK,3.187081651
2033,INDIA,NR,UK,3.392399528
2034,INDIA,NR,UK,3.595068749
2035,INDIA,NR,UK,3.792778549
2036,INDIA,NR,UK,3.986495501
2037,INDIA,NR,UK,4.181868607
2038,INDIA,NR,UK,4.379340875
2039,INDIA,NR,UK,4.575482547
2040,INDIA,NR,UK,4.767703771
2041,INDIA,NR,UK,4.952664611
2022,INDIA,NR,HR,3.222192392
2023,INDIA,NR,HR,3.405254612
2024,INDIA,NR,HR,3.588754771
2025,INDIA,NR,HR,3.887953281
2026,INDIA,NR,HR,4.216298231
2027,INDIA,NR,HR,4.560041278
2028,INDIA,NR,HR,4.920156182
2029,INDIA,NR,HR,5.299525792
2030,INDIA,NR,HR,5.698608532
2031,INDIA,NR,HR,6.117735281
2032,INDIA,NR,HR,6.543479179
2033,INDIA,NR,HR,6.965022584
2034,INDIA,NR,HR,7.381127966
2035,INDIA,NR,HR,7.787051034
2036,INDIA,NR,HR,8.184776283
2037,INDIA,NR,HR,8.585901823
2038,INDIA,NR,HR,8.991337208
2039,INDIA,NR,HR,9.394040711
2040,INDIA,NR,HR,9.788695042
2041,INDIA,NR,HR,10.16844289
2022,INDIA,NR,DL,0
2023,INDIA,NR,DL,0
2024,INDIA,NR,DL,0
2025,INDIA,NR,DL,0
2026,INDIA,NR,DL,0
2027,INDIA,NR,DL,0
2028,INDIA,NR,DL,0
2029,INDIA,NR,DL,0
2030,INDIA,NR,DL,0
2031,INDIA,NR,DL,0
2032,INDIA,NR,DL,0
2033,INDIA,NR,DL,0
2034,INDIA,NR,DL,0
2035,INDIA,NR,DL,0
2036,INDIA,NR,DL,0
2037,INDIA,NR,DL,0
2038,INDIA,NR,DL,0
2039,INDIA,NR,DL,0
2040,INDIA,NR,DL,0
2041,INDIA,NR,DL,0
2022,INDIA,NR,RJ,32.84152191
2023,INDIA,NR,RJ,34.7073453
2024,INDIA,NR,RJ,36.57763228
2025,INDIA,NR,RJ,39.6271505
2026,INDIA,NR,RJ,42.97373772
2027,INDIA,NR,RJ,46.47726682
2028,INDIA,NR,RJ,50.14766264
2029,INDIA,NR,RJ,54.01430804
2030,INDIA,NR,RJ,58.08187538
2031,INDIA,NR,RJ,62.3537371
2032,INDIA,NR,RJ,66.69304271
2033,INDIA,NR,RJ,70.98953568
2034,INDIA,NR,RJ,75.23060275
2035,INDIA,NR,RJ,79.3678887
2036,INDIA,NR,RJ,83.42162011
2037,INDIA,NR,RJ,87.51000826
2038,INDIA,NR,RJ,91.64232361
2039,INDIA,NR,RJ,95.74679482
2040,INDIA,NR,RJ,99.76922654
2041,INDIA,NR,RJ,103.6397271
2022,INDIA,NR,UP,11.89711251
2023,INDIA,NR,UP,12.57302244
2024,INDIA,NR,UP,13.25054935
2025,INDIA,NR,UP,14.3552625
2026,INDIA,NR,UP,15.56759136
2027,INDIA,NR,UP,16.83677371
2028,INDIA,NR,UP,18.1664049
2029,INDIA,NR,UP,19.56712913
2030,INDIA,NR,UP,21.04063899
2031,INDIA,NR,UP,22.58815617
2032,INDIA,NR,UP,24.16010546
2033,INDIA,NR,UP,25.71654552
2034,INDIA,NR,UP,27.25290709
2035,INDIA,NR,UP,28.75167309
2036,INDIA,NR,UP,30.22017077
2037,INDIA,NR,UP,31.70122314
2038,INDIA,NR,UP,33.19818849
2039,INDIA,NR,UP,34.68506709
2040,INDIA,NR,UP,36.14222619
2041,INDIA,NR,UP,37.54434697
2022,INDIA,WR,GA,0
2023,INDIA,WR,GA,0
2024,INDIA,WR,GA,0
2025,INDIA,WR,GA,0
2026,INDIA,WR,GA,0
2027,INDIA,WR,GA,0
2028,INDIA,WR,GA,0
2029,INDIA,WR,GA,0
2030,INDIA,WR,GA,0
2031,INDIA,WR,GA,0
2032,INDIA,WR,GA,0
2033,INDIA,WR,GA,0
2034,INDIA,WR,GA,0
2035,INDIA,WR,GA,0
2036,INDIA,WR,GA,0
2037,INDIA,WR,GA,0
2038,INDIA,WR,GA,0
2039,INDIA,WR,GA,0
2040,INDIA,WR,GA,0
2041,INDIA,WR,GA,0
2022,INDIA,WR,MH,16.20878776
2023,INDIA,WR,MH,17.12965664
2024,INDIA,WR,MH,18.0527285
2025,INDIA,WR,MH,19.55780471
2026,INDIA,WR,MH,21.20949802
2027,INDIA,WR,MH,22.9386493
2028,INDIA,WR,MH,24.75015691
2029,INDIA,WR,MH,26.65852263
2030,INDIA,WR,MH,28.66605249
2031,INDIA,WR,MH,30.77441093
2032,INDIA,WR,MH,32.916056
2033,INDIA,WR,MH,35.03657109
2034,INDIA,WR,MH,37.12973097
2035,INDIA,WR,MH,39.17167014
2036,INDIA,WR,MH,41.17237133
2037,INDIA,WR,MH,43.1901772
2038,INDIA,WR,MH,45.22966315
2039,INDIA,WR,MH,47.25540675
2040,INDIA,WR,MH,49.24066012
2041,INDIA,WR,MH,51.15092852
2022,INDIA,WR,GJ,17.20440839
2023,INDIA,WR,GJ,18.1818414
2024,INDIA,WR,GJ,19.16161271
2025,INDIA,WR,GJ,20.75913785
2026,INDIA,WR,GJ,22.512286
2027,INDIA,WR,GJ,24.34764995
2028,INDIA,WR,GJ,26.27042895
2029,INDIA,WR,GJ,28.29601554
2030,INDIA,WR,GJ,30.4268574
2031,INDIA,WR,GJ,32.66472122
2032,INDIA,WR,GJ,34.9379163
2033,INDIA,WR,GJ,37.18868348
2034,INDIA,WR,GJ,39.41041516
2035,INDIA,WR,GJ,41.57777992
2036,INDIA,WR,GJ,43.70137367
2037,INDIA,WR,GJ,45.84312275
2038,INDIA,WR,GJ,48.0078836
2039,INDIA,WR,GJ,50.15805798
2040,INDIA,WR,GJ,52.26525503
2041,INDIA,WR,GJ,54.29286118
2022,INDIA,WR,MP,17.58464167
2023,INDIA,WR,MP,18.58367685
2024,INDIA,WR,MP,19.58510202
2025,INDIA,WR,MP,21.21793393
2026,INDIA,WR,MP,23.00982827
2027,INDIA,WR,MP,24.88575546
2028,INDIA,WR,MP,26.85102965
2029,INDIA,WR,MP,28.92138357
2030,INDIA,WR,MP,31.099319
2031,INDIA,WR,MP,33.38664167
2032,INDIA,WR,MP,35.71007645
2033,INDIA,WR,MP,38.01058767
2034,INDIA,WR,MP,40.28142167
2035,INDIA,WR,MP,42.49668719
2036,INDIA,WR,MP,44.66721431
2037,INDIA,WR,MP,46.85629803
2038,INDIA,WR,MP,49.06890208
2039,INDIA,WR,MP,51.2665973
2040,INDIA,WR,MP,53.42036534
2041,INDIA,WR,MP,55.49278346
2022,INDIA,WR,CG,11.0801298
2023,INDIA,WR,CG,11.70962454
2024,INDIA,WR,CG,12.34062522
2025,INDIA,WR,CG,13.36947698
2026,INDIA,WR,CG,14.4985544
2027,INDIA,WR,CG,15.68058115
2028,INDIA,WR,CG,16.91890567
2029,INDIA,WR,CG,18.22344123
2030,INDIA,WR,CG,19.59576417
2031,INDIA,WR,CG,21.03701231
