Year,ModelGeography,SubGeography1,SubGeography2,PSC+OPC+PPC+CC+LC3
2022,INDIA,NR,JK,0.041477981
2022,INDIA,NR,HP,0.651893613
2023,INDIA,NR,JK,0.043834467
2024,INDIA,NR,JK,0.04619659
2025,INDIA,NR,JK,0.049147275
2026,INDIA,NR,JK,0.052282236
2027,INDIA,NR,JK,0.055570859
2028,INDIA,NR,JK,0.059030459
2029,INDIA,NR,JK,0.062701776
2030,INDIA,NR,JK,0.066597415
2031,INDIA,NR,JK,0.070730835
2032,INDIA,NR,JK,0.074960801
2033,INDIA,NR,JK,0.079184124
2034,INDIA,NR,JK,0.083411853
2035,INDIA,NR,JK,0.087618679
2036,INDIA,NR,JK,0.091859342
2037,INDIA,NR,JK,0.096301331
2038,INDIA,NR,JK,0.101000098
2039,INDIA,NR,JK,0.105933395
2040,INDIA,NR,JK,0.111112599
2041,INDIA,NR,JK,0.116549681
2023,INDIA,NR,HP,0.688929605
2024,INDIA,NR,HP,0.726054198
2025,INDIA,NR,HP,0.772428991
2026,INDIA,NR,HP,0.821699975
2027,INDIA,NR,HP,0.87338601
2028,INDIA,NR,HP,0.92775922
2029,INDIA,NR,HP,0.98545991
2030,INDIA,NR,HP,1.046686184
2031,INDIA,NR,HP,1.111649563
2032,INDIA,NR,HP,1.178130335
2033,INDIA,NR,HP,1.244506694
2034,INDIA,NR,HP,1.310952301
2035,INDIA,NR,HP,1.377069374
2036,INDIA,NR,HP,1.443718253
2037,INDIA,NR,HP,1.513531307
2038,INDIA,NR,HP,1.587380034
2039,INDIA,NR,HP,1.664914784
2040,INDIA,NR,HP,1.746314365
2041,INDIA,NR,HP,1.831766905
2022,INDIA,NR,PB,0.304715644
2023,INDIA,NR,PB,0.322027436
2024,INDIA,NR,PB,0.339380642
2025,INDIA,NR,PB,0.361057684
2026,INDIA,NR,PB,0.384088496
2027,INDIA,NR,PB,0.40824818
2028,INDIA,NR,PB,0.433663934
2029,INDIA,NR,PB,0.460635057
2030,INDIA,NR,PB,0.489254149
2031,INDIA,NR,PB,0.519620083
2032,INDIA,NR,PB,0.550695293
2033,INDIA,NR,PB,0.581721698
2034,INDIA,NR,PB,0.612780471
2035,INDIA,NR,PB,0.643685677
2036,INDIA,NR,PB,0.674839466
2037,INDIA,NR,PB,0.70747229
2038,INDIA,NR,PB,0.741991516
2039,INDIA,NR,PB,0.778233704
2040,INDIA,NR,PB,0.816282437
2041,INDIA,NR,PB,0.856225651
2022,INDIA,NR,UK,0.169013197
2023,INDIA,NR,UK,0.178615333
2024,INDIA,NR,UK,0.188240441
2025,INDIA,NR,UK,0.200263802
2026,INDIA,NR,UK,0.213038043
2027,INDIA,NR,UK,0.226438423
2028,INDIA,NR,UK,0.240535493
2029,INDIA,NR,UK,0.255495263
2030,INDIA,NR,UK,0.271369093
2031,INDIA,NR,UK,0.288211823
2032,INDIA,NR,UK,0.30544796
2033,INDIA,NR,UK,0.322657027
2034,INDIA,NR,UK,0.339884047
2035,INDIA,NR,UK,0.35702589
2036,INDIA,NR,UK,0.374305612
2037,INDIA,NR,UK,0.392405693
2038,INDIA,NR,UK,0.411552083
2039,INDIA,NR,UK,0.43165413
2040,INDIA,NR,UK,0.452758192
2041,INDIA,NR,UK,0.474913045
2022,INDIA,NR,HR,0.347005335
2023,INDIA,NR,HR,0.366719727
2024,INDIA,NR,HR,0.386481283
2025,INDIA,NR,HR,0.411166754
2026,INDIA,NR,HR,0.437393877
2027,INDIA,NR,HR,0.464906541
2028,INDIA,NR,HR,0.493849598
2029,INDIA,NR,HR,0.524563884
2030,INDIA,NR,HR,0.557154853
2031,INDIA,NR,HR,0.591735095
2032,INDIA,NR,HR,0.627123051
2033,INDIA,NR,HR,0.662455427
2034,INDIA,NR,HR,0.697824665
2035,INDIA,NR,HR,0.733019022
2036,INDIA,NR,HR,0.768496463
2037,INDIA,NR,HR,0.805658204
2038,INDIA,NR,HR,0.84496815
2039,INDIA,NR,HR,0.886240178
2040,INDIA,NR,HR,0.929569471
2041,INDIA,NR,HR,0.975056168
2022,INDIA,NR,DL,0
2023,INDIA,NR,DL,0
2024,INDIA,NR,DL,0
2025,INDIA,NR,DL,0
2026,INDIA,NR,DL,0
2027,INDIA,NR,DL,0
2028,INDIA,NR,DL,0
2029,INDIA,NR,DL,0
2030,INDIA,NR,DL,0
2031,INDIA,NR,DL,0
2032,INDIA,NR,DL,0
2033,INDIA,NR,DL,0
2034,INDIA,NR,DL,0
2035,INDIA,NR,DL,0
2036,INDIA,NR,DL,0
2037,INDIA,NR,DL,0
2038,INDIA,NR,DL,0
2039,INDIA,NR,DL,0
2040,INDIA,NR,DL,0
2041,INDIA,NR,DL,0
2022,INDIA,NR,RJ,3.536779283
2023,INDIA,NR,RJ,3.737714109
2024,INDIA,NR,RJ,3.93912963
2025,INDIA,NR,RJ,4.190731128
2026,INDIA,NR,RJ,4.458045597
2027,INDIA,NR,RJ,4.73846267
2028,INDIA,NR,RJ,5.03345872
2029,INDIA,NR,RJ,5.34650766
2030,INDIA,NR,RJ,5.678684284
2031,INDIA,NR,RJ,6.031136168
2032,INDIA,NR,RJ,6.391820509
2033,INDIA,NR,RJ,6.751938365
2034,INDIA,NR,RJ,7.112431922
2035,INDIA,NR,RJ,7.471143047
2036,INDIA,NR,RJ,7.832739437
2037,INDIA,NR,RJ,8.211502714
2038,INDIA,NR,RJ,8.612161108
2039,INDIA,NR,RJ,9.032817628
2040,INDIA,NR,RJ,9.474442378
2041,INDIA,NR,RJ,9.93805602
2022,INDIA,NR,UP,1.281227501
2023,INDIA,NR,UP,1.354017801
2024,INDIA,NR,UP,1.426982237
2025,INDIA,NR,UP,1.518126957
2026,INDIA,NR,UP,1.614963831
2027,INDIA,NR,UP,1.716547232
2028,INDIA,NR,UP,1.823411987
2029,INDIA,NR,UP,1.93681655
2030,INDIA,NR,UP,2.057150276
2031,INDIA,NR,UP,2.184828881
2032,INDIA,NR,UP,2.315489762
2033,INDIA,NR,UP,2.445945429
2034,INDIA,NR,UP,2.576537197
2035,INDIA,NR,UP,2.706483264
2036,INDIA,NR,UP,2.837474543
2037,INDIA,NR,UP,2.974684667
2038,INDIA,NR,UP,3.119826479
2039,INDIA,NR,UP,3.272212777
2040,INDIA,NR,UP,3.43219499
2041,INDIA,NR,UP,3.60014286
2022,INDIA,WR,GA,0
2023,INDIA,WR,GA,0
2024,INDIA,WR,GA,0
2025,INDIA,WR,GA,0
2026,INDIA,WR,GA,0
2027,INDIA,WR,GA,0
2028,INDIA,WR,GA,0
2029,INDIA,WR,GA,0
2030,INDIA,WR,GA,0
2031,INDIA,WR,GA,0
2032,INDIA,WR,GA,0
2033,INDIA,WR,GA,0
2034,INDIA,WR,GA,0
2035,INDIA,WR,GA,0
2036,INDIA,WR,GA,0
2037,INDIA,WR,GA,0
2038,INDIA,WR,GA,0
2039,INDIA,WR,GA,0
2040,INDIA,WR,GA,0
2041,INDIA,WR,GA,0
2022,INDIA,WR,MH,1.745561759
2023,INDIA,WR,MH,1.844732253
2024,INDIA,WR,MH,1.944139992
2025,INDIA,WR,MH,2.068316797
2026,INDIA,WR,MH,2.20024867
2027,INDIA,WR,MH,2.338647275
2028,INDIA,WR,MH,2.48424127
2029,INDIA,WR,MH,2.638745189
2030,INDIA,WR,MH,2.802689491
2031,INDIA,WR,MH,2.976640558
2032,INDIA,WR,MH,3.154654718
2033,INDIA,WR,MH,3.332389292
2034,INDIA,WR,MH,3.510309291
2035,INDIA,WR,MH,3.687349579
2036,INDIA,WR,MH,3.865813877
2037,INDIA,WR,MH,4.052750815
2038,INDIA,WR,MH,4.250493992
2039,INDIA,WR,MH,4.458107155
2040,INDIA,WR,MH,4.676069096
2041,INDIA,WR,MH,4.904883557
2022,INDIA,WR,GJ,1.852782442
2023,INDIA,WR,GJ,1.958044458
2024,INDIA,WR,GJ,2.063558292
2025,INDIA,WR,GJ,2.195362626
2026,INDIA,WR,GJ,2.33539838
2027,INDIA,WR,GJ,2.482298084
2028,INDIA,WR,GJ,2.636835153
2029,INDIA,WR,GJ,2.800829435
2030,INDIA,WR,GJ,2.974843974
2031,INDIA,WR,GJ,3.159479941
2032,INDIA,WR,GJ,3.348428574
2033,INDIA,WR,GJ,3.537080449
2034,INDIA,WR,GJ,3.725929138
2035,INDIA,WR,GJ,3.913844081
2036,INDIA,WR,GJ,4.103270502
2037,INDIA,WR,GJ,4.301689994
2038,INDIA,WR,GJ,4.511579495
2039,INDIA,WR,GJ,4.731945243
2040,INDIA,WR,GJ,4.96329544
2041,INDIA,WR,GJ,5.20616477
2022,INDIA,WR,MP,1.893730642
2023,INDIA,WR,MP,2.001319046
2024,INDIA,WR,MP,2.109164833
2025,INDIA,WR,MP,2.243882164
2026,INDIA,WR,MP,2.387012837
2027,INDIA,WR,MP,2.53715916
2028,INDIA,WR,MP,2.69511164
2029,INDIA,WR,MP,2.862730347
2030,INDIA,WR,MP,3.040590768
2031,INDIA,WR,MP,3.22930736
2032,INDIA,WR,MP,3.422431932
2033,INDIA,WR,MP,3.615253187
2034,INDIA,WR,MP,3.808275607
2035,INDIA,WR,MP,4.000343643
2036,INDIA,WR,MP,4.193956562
2037,INDIA,WR,MP,4.396761308
2038,INDIA,WR,MP,4.611289561
2039,INDIA,WR,MP,4.836525595
2040,INDIA,WR,MP,5.072988845
2041,INDIA,WR,MP,5.321225811
2022,INDIA,WR,CG,1.193244748
2023,INDIA,WR,CG,1.261036489
2024,INDIA,WR,CG,1.328990408
2025,INDIA,WR,CG,1.413876159
2026,INDIA,WR,CG,1.50406318
2027,INDIA,WR,CG,1.59867078
2028,INDIA,WR,CG,1.698197061
2029,INDIA,WR,CG,1.803814057
2030,INDIA,WR,CG,1.915884384
2031,INDIA,WR,CG,2.034795214
2032,INDIA,WR,CG,2.156483524
2033,INDIA,WR,CG,2.277980713
2034,INDIA,WR,CG,2.399604657
2035,INDIA,WR,CG,2.52062724
2036,INDIA,WR,CG,2.642623259
2037,INDIA,WR,CG,2.770411073
2038,INDIA,WR,CG,2.905585899
2039,INDIA,WR,CG,3.047507727
2040,INDIA,WR,CG,3.196503854
2041,INDIA,WR,CG,3.352918631
2022,INDIA,SR,AP,3.046418191
2023,INDIA,SR,AP,3.219494162
2024,INDIA,SR,AP,3.392984182
2025,INDIA,SR,AP,3.609702082
2026,INDIA,SR,AP,3.83995441
2027,INDIA,SR,AP,4.081492714
2028,INDIA,SR,AP,4.335588676
2029,INDIA,SR,AP,4.605234563
2030,INDIA,SR,AP,4.891356153
2031,INDIA,SR,AP,5.194941914
2032,INDIA,SR,AP,5.505618732
2033,INDIA,SR,AP,5.815807608
2034,INDIA,SR,AP,6.126320094
2035,INDIA,SR,AP,6.435297277
2036,INDIA,SR,AP,6.746759693
2037,INDIA,SR,AP,7.073008871
2038,INDIA,SR,AP,7.418117493
2039,INDIA,SR,AP,7.780451574
2040,INDIA,SR,AP,8.160846721
2041,INDIA,SR,AP,8.560182082
2022,INDIA,SR,KA,2.219841397
2023,INDIA,SR,KA,2.345957112
2024,INDIA,SR,KA,2.472374532
2025,INDIA,SR,KA,2.630290923
2026,INDIA,SR,KA,2.79806948
2027,INDIA,SR,KA,2.974071819
2028,INDIA,SR,KA,3.159224579
2029,INDIA,SR,KA,3.355708142
2030,INDIA,SR,KA,3.564197099
2031,INDIA,SR,KA,3.785411718
2032,INDIA,SR,KA,4.011793396
2033,INDIA,SR,KA,4.237819524
2034,INDIA,SR,KA,4.464081458
2035,INDIA,SR,KA,4.689224658
2036,INDIA,SR,KA,4.91617878
2037,INDIA,SR,KA,5.15390761
2038,INDIA,SR,KA,5.405378799
2039,INDIA,SR,KA,5.669401708
2040,INDIA,SR,KA,5.94658522
2041,INDIA,SR,KA,6.237569947
2022,INDIA,SR,KL,0.039294091
2023,INDIA,SR,KL,0.041526504
2024,INDIA,SR,KL,0.043764257
2025,INDIA,SR,KL,0.046559583
2026,INDIA,SR,KL,0.049529483
2027,INDIA,SR,KL,0.052644954
2028,INDIA,SR,KL,0.0559224
2029,INDIA,SR,KL,0.059400415
2030,INDIA,SR,KL,0.063090942
