ModelGeography,SubGeography1,SubGeography2,Year,EAF+BOF+IF
INDIA,ER,BR,2022,0
INDIA,ER,JH,2022,0.630416641
INDIA,ER,OD,2022,6.566574902
INDIA,ER,SK,2022,0
INDIA,ER,WB,2022,0.355542139
INDIA,NER,AS,2022,0
INDIA,NER,NE,2022,0
INDIA,NR,DL,2022,0
INDIA,NR,HP,2022,0
INDIA,NR,HR,2022,0.715069172
INDIA,NR,JK,2022,0
INDIA,NR,PB,2022,0.390398619
INDIA,NR,RJ,2022,0
INDIA,NR,UK,2022,0
INDIA,NR,UP,2022,0
INDIA,SR,AP,2022,0
INDIA,SR,KA,2022,3.788026226
INDIA,SR,KL,2022,0
INDIA,SR,TN,2022,0.110050556
INDIA,SR,TS,2022,0
INDIA,WR,CG,2022,3.954782246
INDIA,WR,GA,2022,0
INDIA,WR,GJ,2022,7.549849748
INDIA,WR,MH,2022,6.438599883
INDIA,WR,MP,2022,0
INDIA,ER,BR,2023,0
INDIA,ER,JH,2023,0.667864859
INDIA,ER,OD,2023,6.963992075
INDIA,ER,SK,2023,0
INDIA,ER,WB,2023,0.376496836
INDIA,NER,AS,2023,0
INDIA,NER,NE,2023,0
INDIA,NR,DL,2023,0
INDIA,NR,HP,2023,0
INDIA,NR,HR,2023,0.758226799
INDIA,NR,JK,2023,0
INDIA,NR,PB,2023,0.41471155
INDIA,NR,RJ,2023,0
INDIA,NR,UK,2023,0
INDIA,NR,UP,2023,0
INDIA,SR,AP,2023,0
INDIA,SR,KA,2023,4.006477931
INDIA,SR,KL,2023,0
INDIA,SR,TN,2023,0.115435553
INDIA,SR,TS,2023,0
INDIA,WR,CG,2023,4.195262725
INDIA,WR,GA,2023,0
INDIA,WR,GJ,2023,8.003182211
INDIA,WR,MH,2023,6.827390883
INDIA,WR,MP,2023,0
INDIA,ER,BR,2024,0
INDIA,ER,JH,2024,0.709184963
INDIA,ER,OD,2024,7.384764039
INDIA,ER,SK,2024,0
INDIA,ER,WB,2024,0.399636544
INDIA,NER,AS,2024,0
INDIA,NER,NE,2024,0
INDIA,NR,DL,2024,0
INDIA,NR,HP,2024,0
INDIA,NR,HR,2024,0.803777093
INDIA,NR,JK,2024,0
INDIA,NR,PB,2024,0.439424597
INDIA,NR,RJ,2024,0
INDIA,NR,UK,2024,0
INDIA,NR,UP,2024,0
INDIA,SR,AP,2024,0
INDIA,SR,KA,2024,4.237379346
INDIA,SR,KL,2024,0
INDIA,SR,TN,2024,0.123494168
INDIA,SR,TS,2024,0
INDIA,WR,CG,2024,4.448050047
INDIA,WR,GA,2024,0
INDIA,WR,GJ,2024,8.48195631
INDIA,WR,MH,2024,7.240749843
INDIA,WR,MP,2024,0
INDIA,ER,BR,2025,0
INDIA,ER,JH,2025,0.771117598
INDIA,ER,OD,2025,8.038257832
INDIA,ER,SK,2025,0
INDIA,ER,WB,2025,0.434586832
INDIA,NER,AS,2025,0
INDIA,NER,NE,2025,0
INDIA,NR,DL,2025,0
INDIA,NR,HP,2025,0
INDIA,NR,HR,2025,0.875039848
INDIA,NR,JK,2025,0
INDIA,NR,PB,2025,0.478815587
INDIA,NR,RJ,2025,0
INDIA,NR,UK,2025,0
INDIA,NR,UP,2025,0
INDIA,SR,AP,2025,0
INDIA,SR,KA,2025,4.549513762
INDIA,SR,KL,2025,0
INDIA,SR,TN,2025,0.134268997
INDIA,SR,TS,2025,0
INDIA,WR,CG,2025,4.840849366
INDIA,WR,GA,2025,0
INDIA,WR,GJ,2025,9.199834701
INDIA,WR,MH,2025,7.88165791
INDIA,WR,MP,2025,0
INDIA,ER,BR,2026,0
INDIA,ER,JH,2026,0.837061755
INDIA,ER,OD,2026,8.726406797
INDIA,ER,SK,2026,0
INDIA,ER,WB,2026,0.471929587
INDIA,NER,AS,2026,0
INDIA,NER,NE,2026,0
INDIA,NR,DL,2026,0
INDIA,NR,HP,2026,0
INDIA,NR,HR,2026,0.950122692
INDIA,NR,JK,2026,0
INDIA,NR,PB,2026,0.518933018
INDIA,NR,RJ,2026,0
INDIA,NR,UK,2026,0
INDIA,NR,UP,2026,0
INDIA,SR,AP,2026,0
INDIA,SR,KA,2026,4.870530306
INDIA,SR,KL,2026,0
INDIA,SR,TN,2026,0.145089691
INDIA,SR,TS,2026,0
INDIA,WR,CG,2026,5.255387682
INDIA,WR,GA,2026,0
INDIA,WR,GJ,2026,9.952055711
INDIA,WR,MH,2026,8.555999511
INDIA,WR,MP,2026,0
INDIA,ER,BR,2027,0
INDIA,ER,JH,2027,0.908515153
INDIA,ER,OD,2027,9.475948138
INDIA,ER,SK,2027,0
INDIA,ER,WB,2027,0.512659136
INDIA,NER,AS,2027,0
INDIA,NER,NE,2027,0
INDIA,NR,DL,2027,0
INDIA,NR,HP,2027,0
INDIA,NR,HR,2027,1.030900232
INDIA,NR,JK,2027,0
INDIA,NR,PB,2027,0.562687756
INDIA,NR,RJ,2027,0
INDIA,NR,UK,2027,0
INDIA,NR,UP,2027,0
INDIA,SR,AP,2027,0
INDIA,SR,KA,2027,5.138684216
INDIA,SR,KL,2027,0
INDIA,SR,TN,2027,0.158563309
INDIA,SR,TS,2027,0
INDIA,WR,CG,2027,5.707234016
INDIA,WR,GA,2027,0
INDIA,WR,GJ,2027,10.73088222
INDIA,WR,MH,2027,9.291475029
INDIA,WR,MP,2027,0
INDIA,ER,BR,2028,0
INDIA,ER,JH,2028,0.980286769
INDIA,ER,OD,2028,10.2148485
INDIA,ER,SK,2028,0
INDIA,ER,WB,2028,0.552617972
INDIA,NER,AS,2028,0
INDIA,NER,NE,2028,0
INDIA,NR,DL,2028,0
INDIA,NR,HP,2028,0
INDIA,NR,HR,2028,1.11209727
INDIA,NR,JK,2028,0
INDIA,NR,PB,2028,0.60730057
INDIA,NR,RJ,2028,0
INDIA,NR,UK,2028,0
INDIA,NR,UP,2028,0
INDIA,SR,AP,2028,0
INDIA,SR,KA,2028,5.539627723
INDIA,SR,KL,2028,0
INDIA,SR,TN,2028,0.170874452
INDIA,SR,TS,2028,0
INDIA,WR,CG,2028,6.153133603
INDIA,WR,GA,2028,0
INDIA,WR,GJ,2028,11.56819215
INDIA,WR,MH,2028,10.01566742
INDIA,WR,MP,2028,0
INDIA,ER,BR,2029,0
INDIA,ER,JH,2029,1.054404557
INDIA,ER,OD,2029,10.99020188
INDIA,ER,SK,2029,0
INDIA,ER,WB,2029,0.594900817
INDIA,NER,AS,2029,0
INDIA,NER,NE,2029,0
INDIA,NR,DL,2029,0
INDIA,NR,HP,2029,0
INDIA,NR,HR,2029,1.195956047
INDIA,NR,JK,2029,0
INDIA,NR,PB,2029,0.654367737
INDIA,NR,RJ,2029,0
INDIA,NR,UK,2029,0
INDIA,NR,UP,2029,0
INDIA,SR,AP,2029,0
INDIA,SR,KA,2029,5.960721093
INDIA,SR,KL,2029,0
INDIA,SR,TN,2029,0.183593775
INDIA,SR,TS,2029,0
INDIA,WR,CG,2029,6.619761941
INDIA,WR,GA,2029,0
INDIA,WR,GJ,2029,12.44661369
INDIA,WR,MH,2029,10.77583604
INDIA,WR,MP,2029,0
INDIA,ER,BR,2030,0
INDIA,ER,JH,2030,1.132972326
INDIA,ER,OD,2030,11.80409022
INDIA,ER,SK,2030,0
INDIA,ER,WB,2030,0.638566254
INDIA,NER,AS,2030,0
INDIA,NER,NE,2030,0
INDIA,NR,DL,2030,0
INDIA,NR,HP,2030,0
INDIA,NR,HR,2030,1.284594334
INDIA,NR,JK,2030,0
INDIA,NR,PB,2030,0.702953605
INDIA,NR,RJ,2030,0
INDIA,NR,UK,2030,0
INDIA,NR,UP,2030,0
INDIA,SR,AP,2030,0
INDIA,SR,KA,2030,6.40132492
INDIA,SR,KL,2030,0
INDIA,SR,TN,2030,0.196739337
INDIA,SR,TS,2030,0
INDIA,WR,CG,2030,7.10977071
INDIA,WR,GA,2030,0
INDIA,WR,GJ,2030,13.36825789
INDIA,WR,MH,2030,11.57404175
INDIA,WR,MP,2030,0
INDIA,ER,BR,2031,0
INDIA,ER,JH,2031,1.23962775
INDIA,ER,OD,2031,12.92070793
INDIA,ER,SK,2031,0
INDIA,ER,WB,2031,0.699754841
INDIA,NER,AS,2031,0
INDIA,NER,NE,2031,0
INDIA,NR,DL,2031,0
INDIA,NR,HP,2031,0
INDIA,NR,HR,2031,1.406595225
INDIA,NR,JK,2031,0
INDIA,NR,PB,2031,0.768067494
INDIA,NR,RJ,2031,0
INDIA,NR,UK,2031,0
INDIA,NR,UP,2031,0
INDIA,SR,AP,2031,0
INDIA,SR,KA,2031,6.200812183
INDIA,SR,KL,2031,0
INDIA,SR,TN,2031,0.215294886
INDIA,SR,TS,2031,0
INDIA,WR,CG,2031,7.782329761
INDIA,WR,GA,2031,0
INDIA,WR,GJ,2031,14.22481397
INDIA,WR,MH,2031,12.66898534
INDIA,WR,MP,2031,0
INDIA,ER,BR,2032,0
INDIA,ER,JH,2032,1.391780462
INDIA,ER,OD,2032,14.50466361
INDIA,ER,SK,2032,0
INDIA,ER,WB,2032,0.786095407
INDIA,NER,AS,2032,0
INDIA,NER,NE,2032,0
INDIA,NR,DL,2032,0
INDIA,NR,HP,2032,0
INDIA,NR,HR,2032,1.578891284
INDIA,NR,JK,2032,0
INDIA,NR,PB,2032,0.863249877
INDIA,NR,RJ,2032,0
INDIA,NR,UK,2032,0
INDIA,NR,UP,2032,0
INDIA,SR,AP,2032,0
INDIA,SR,KA,2032,6.803363779
INDIA,SR,KL,2032,0
INDIA,SR,TN,2032,0.242588998
INDIA,SR,TS,2032,0
INDIA,WR,CG,2032,8.73645512
INDIA,WR,GA,2032,0
INDIA,WR,GJ,2032,15.98947018
INDIA,WR,MH,2032,14.25857226
INDIA,WR,MP,2032,0
INDIA,ER,BR,2033,0
INDIA,ER,JH,2033,1.551222722
INDIA,ER,OD,2033,16.1631722
INDIA,ER,SK,2033,0
INDIA,ER,WB,2033,0.874985337
INDIA,NER,AS,2033,0
INDIA,NER,NE,2033,0
INDIA,NR,DL,2033,0
INDIA,NR,HP,2033,0
INDIA,NR,HR,2033,1.759322854
INDIA,NR,JK,2033,0
INDIA,NR,PB,2033,0.961331044
INDIA,NR,RJ,2033,0
