EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,Year,Elasticity
OTHER_ALL,LPG,INDIA,,,2024,1.357012716
OTHER_ALL,LPG,INDIA,,,2025,1.235452945
OTHER_ALL,LPG,INDIA,,,2026,1.148971239
OTHER_ALL,LPG,INDIA,,,2027,1.068543252
OTHER_ALL,LPG,INDIA,,,2028,0.993745224
OTHER_ALL,LPG,INDIA,,,2029,0.924183059
OTHER_ALL,LPG,INDIA,,,2030,0.859490245
OTHER_ALL,LPG,INDIA,,,2031,0.799325928
OTHER_ALL,LPG,INDIA,,,2032,0.743373113
OTHER_ALL,LPG,INDIA,,,2033,0.691336995
OTHER_ALL,LPG,INDIA,,,2034,0.642943405
OTHER_ALL,LPG,INDIA,,,2035,0.597937367
OTHER_ALL,LPG,INDIA,,,2036,0.556081751
OTHER_ALL,LPG,INDIA,,,2037,0.517156028
OTHER_ALL,LPG,INDIA,,,2038,0.480955106
OTHER_ALL,LPG,INDIA,,,2039,0.447288249
OTHER_ALL,LPG,INDIA,,,2040,0.415978072
OTHER_ALL,LPG,INDIA,,,2041,0.386859607
OTHER_ALL,HSD,INDIA,,,2024,0.105993273
OTHER_ALL,HSD,INDIA,,,2025,0.105993273
OTHER_ALL,HSD,INDIA,,,2026,0.105993273
OTHER_ALL,HSD,INDIA,,,2027,0.105993273
OTHER_ALL,HSD,INDIA,,,2028,0.105993273
OTHER_ALL,HSD,INDIA,,,2029,0.105993273
OTHER_ALL,HSD,INDIA,,,2030,0.105993273
OTHER_ALL,HSD,INDIA,,,2031,0.105993273
OTHER_ALL,HSD,INDIA,,,2032,0.105993273
OTHER_ALL,HSD,INDIA,,,2033,0.105993273
OTHER_ALL,HSD,INDIA,,,2034,0.105993273
OTHER_ALL,HSD,INDIA,,,2035,0.105993273
OTHER_ALL,HSD,INDIA,,,2036,0.105993273
OTHER_ALL,HSD,INDIA,,,2037,0.105993273
OTHER_ALL,HSD,INDIA,,,2038,0.105993273
OTHER_ALL,HSD,INDIA,,,2039,0.105993273
OTHER_ALL,HSD,INDIA,,,2040,0.105993273
OTHER_ALL,HSD,INDIA,,,2041,0.105993273
OTHER_ALL,PP_OTHER,INDIA,,,2024,-0.411611897
OTHER_ALL,PP_OTHER,INDIA,,,2025,-0.428241018
OTHER_ALL,PP_OTHER,INDIA,,,2026,-0.436805838
