ModelGeography,SubGeography1,SubGeography2,ConsumerType1,NumHH,Year,UsagePenetration
INDIA,ER,BR,RURAL,22412860,2024,0.43810396
INDIA,ER,BR,RURAL,22798326,2025,0.484272321
INDIA,ER,BR,RURAL,23185523,2026,0.535248188
INDIA,ER,BR,RURAL,23566367,2027,0.582092052
INDIA,ER,BR,RURAL,23943207,2028,0.632944821
INDIA,ER,BR,RURAL,24322097,2029,0.688182564
INDIA,ER,BR,RURAL,24703044,2030,0.74817891
INDIA,ER,BR,RURAL,25085853,2031,0.8133373
INDIA,ER,BR,RURAL,25444991,2032,0.869871738
INDIA,ER,BR,RURAL,25787002,2033,0.930220454
INDIA,ER,BR,RURAL,26130981,2034,0.986634849
INDIA,ER,BR,RURAL,26476520,2035,1
INDIA,ER,BR,RURAL,26823832,2036,1
INDIA,ER,BR,RURAL,27173344,2037,1
INDIA,ER,BR,RURAL,27537771,2038,1
INDIA,ER,BR,RURAL,27907086,2039,1
INDIA,ER,BR,RURAL,28281354,2040,1
INDIA,ER,BR,RURAL,28660641,2041,1
INDIA,ER,BR,URBAN,3757302,2024,0.874304349
INDIA,ER,BR,URBAN,3881523,2025,0.927761916
INDIA,ER,BR,URBAN,4008916,2026,0.97734104
INDIA,ER,BR,URBAN,4138064,2027,1
INDIA,ER,BR,URBAN,4269234,2028,1
INDIA,ER,BR,URBAN,4403461,2029,1
INDIA,ER,BR,URBAN,4540807,2030,1
INDIA,ER,BR,URBAN,4681591,2031,1
INDIA,ER,BR,URBAN,4820639,2032,1
INDIA,ER,BR,URBAN,4959695,2033,1
INDIA,ER,BR,URBAN,5101661,2034,1
INDIA,ER,BR,URBAN,5247136,2035,1
INDIA,ER,BR,URBAN,5395916,2036,1
INDIA,ER,BR,URBAN,5547510,2037,1
INDIA,ER,BR,URBAN,5706663,2038,1
INDIA,ER,BR,URBAN,5870381,2039,1
INDIA,ER,BR,URBAN,6038797,2040,1
INDIA,ER,BR,URBAN,6212044,2041,1
INDIA,ER,JH,RURAL,6408521,2024,0.241693558
INDIA,ER,JH,RURAL,6548685,2025,0.267627327
INDIA,ER,JH,RURAL,6691241,2026,0.294105024
INDIA,ER,JH,RURAL,6831246,2027,0.323136106
INDIA,ER,JH,RURAL,6969709,2028,0.354976421
INDIA,ER,JH,RURAL,7110235,2029,0.389917942
INDIA,ER,JH,RURAL,7253086,2030,0.428259511
INDIA,ER,JH,RURAL,7397823,2031,0.470327404
INDIA,ER,JH,RURAL,7537989,2032,0.516420828
INDIA,ER,JH,RURAL,7676290,2033,0.558516527
INDIA,ER,JH,RURAL,7816050,2034,0.604000276
INDIA,ER,JH,RURAL,7957774,2035,0.653142012
INDIA,ER,JH,RURAL,8101234,2036,0.706228787
INDIA,ER,JH,RURAL,8247207,2037,0.763572713
INDIA,ER,JH,RURAL,8397965,2038,0.813045695
INDIA,ER,JH,RURAL,8551479,2039,0.865655126
INDIA,ER,JH,RURAL,8707799,2040,0.921597604
