ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,INDIA,ER,BR,2024,2.463187411
LIGHT_ELEC,RURAL,INDIA,ER,BR,2025,2.470302105
LIGHT_ELEC,RURAL,INDIA,ER,BR,2026,2.475533947
LIGHT_ELEC,RURAL,INDIA,ER,BR,2027,2.480776869
LIGHT_ELEC,RURAL,INDIA,ER,BR,2028,2.486030896
LIGHT_ELEC,RURAL,INDIA,ER,BR,2029,2.49129605
LIGHT_ELEC,RURAL,INDIA,ER,BR,2030,2.496572355
LIGHT_ELEC,RURAL,INDIA,ER,BR,2031,2.501859834
LIGHT_ELEC,RURAL,INDIA,ER,BR,2032,2.507158512
LIGHT_ELEC,RURAL,INDIA,ER,BR,2033,2.512468412
LIGHT_ELEC,RURAL,INDIA,ER,BR,2034,2.517789558
LIGHT_ELEC,RURAL,INDIA,ER,BR,2035,2.523121974
LIGHT_ELEC,RURAL,INDIA,ER,BR,2036,2.528465683
LIGHT_ELEC,RURAL,INDIA,ER,BR,2037,2.533820709
LIGHT_ELEC,RURAL,INDIA,ER,BR,2038,2.539187077
LIGHT_ELEC,RURAL,INDIA,ER,BR,2039,2.54456481
LIGHT_ELEC,RURAL,INDIA,ER,BR,2040,2.549953933
LIGHT_ELEC,RURAL,INDIA,ER,BR,2041,2.555354469
LIGHT_ELEC,RURAL,INDIA,ER,JH,2024,2.463187411
LIGHT_ELEC,RURAL,INDIA,ER,JH,2025,2.470302105
LIGHT_ELEC,RURAL,INDIA,ER,JH,2026,2.475533947
LIGHT_ELEC,RURAL,INDIA,ER,JH,2027,2.480776869
LIGHT_ELEC,RURAL,INDIA,ER,JH,2028,2.486030896
LIGHT_ELEC,RURAL,INDIA,ER,JH,2029,2.49129605
LIGHT_ELEC,RURAL,INDIA,ER,JH,2030,2.496572355
LIGHT_ELEC,RURAL,INDIA,ER,JH,2031,2.501859834
LIGHT_ELEC,RURAL,INDIA,ER,JH,2032,2.507158512
LIGHT_ELEC,RURAL,INDIA,ER,JH,2033,2.512468412
LIGHT_ELEC,RURAL,INDIA,ER,JH,2034,2.517789558
LIGHT_ELEC,RURAL,INDIA,ER,JH,2035,2.523121974
LIGHT_ELEC,RURAL,INDIA,ER,JH,2036,2.528465683
LIGHT_ELEC,RURAL,INDIA,ER,JH,2037,2.533820709
LIGHT_ELEC,RURAL,INDIA,ER,JH,2038,2.539187077
LIGHT_ELEC,RURAL,INDIA,ER,JH,2039,2.54456481
LIGHT_ELEC,RURAL,INDIA,ER,JH,2040,2.549953933
LIGHT_ELEC,RURAL,INDIA,ER,JH,2041,2.555354469
LIGHT_ELEC,RURAL,INDIA,ER,OD,2024,2.463187411
LIGHT_ELEC,RURAL,INDIA,ER,OD,2025,2.470302105
LIGHT_ELEC,RURAL,INDIA,ER,OD,2026,2.475533947
LIGHT_ELEC,RURAL,INDIA,ER,OD,2027,2.480776869
LIGHT_ELEC,RURAL,INDIA,ER,OD,2028,2.486030896
LIGHT_ELEC,RURAL,INDIA,ER,OD,2029,2.49129605
LIGHT_ELEC,RURAL,INDIA,ER,OD,2030,2.496572355
LIGHT_ELEC,RURAL,INDIA,ER,OD,2031,2.501859834
LIGHT_ELEC,RURAL,INDIA,ER,OD,2032,2.507158512
LIGHT_ELEC,RURAL,INDIA,ER,OD,2033,2.512468412
LIGHT_ELEC,RURAL,INDIA,ER,OD,2034,2.517789558
LIGHT_ELEC,RURAL,INDIA,ER,OD,2035,2.523121974
LIGHT_ELEC,RURAL,INDIA,ER,OD,2036,2.528465683
LIGHT_ELEC,RURAL,INDIA,ER,OD,2037,2.533820709
LIGHT_ELEC,RURAL,INDIA,ER,OD,2038,2.539187077
LIGHT_ELEC,RURAL,INDIA,ER,OD,2039,2.54456481
LIGHT_ELEC,RURAL,INDIA,ER,OD,2040,2.549953933
LIGHT_ELEC,RURAL,INDIA,ER,OD,2041,2.555354469
LIGHT_ELEC,RURAL,INDIA,ER,WB,2024,2.502994995
LIGHT_ELEC,RURAL,INDIA,ER,WB,2025,2.510224669
LIGHT_ELEC,RURAL,INDIA,ER,WB,2026,2.515541063
LIGHT_ELEC,RURAL,INDIA,ER,WB,2027,2.520868716
LIGHT_ELEC,RURAL,INDIA,ER,WB,2028,2.526207653
LIGHT_ELEC,RURAL,INDIA,ER,WB,2029,2.531557897
LIGHT_ELEC,RURAL,INDIA,ER,WB,2030,2.536919473
LIGHT_ELEC,RURAL,INDIA,ER,WB,2031,2.542292403
LIGHT_ELEC,RURAL,INDIA,ER,WB,2032,2.547676713
LIGHT_ELEC,RURAL,INDIA,ER,WB,2033,2.553072427
LIGHT_ELEC,RURAL,INDIA,ER,WB,2034,2.558479568
LIGHT_ELEC,RURAL,INDIA,ER,WB,2035,2.56389816
LIGHT_ELEC,RURAL,INDIA,ER,WB,2036,2.569328229
LIGHT_ELEC,RURAL,INDIA,ER,WB,2037,2.574769798
LIGHT_ELEC,RURAL,INDIA,ER,WB,2038,2.580222892
LIGHT_ELEC,RURAL,INDIA,ER,WB,2039,2.585687534
LIGHT_ELEC,RURAL,INDIA,ER,WB,2040,2.591163751
LIGHT_ELEC,RURAL,INDIA,ER,WB,2041,2.596651565
LIGHT_ELEC,RURAL,INDIA,ER,SK,2024,2.502994995
LIGHT_ELEC,RURAL,INDIA,ER,SK,2025,2.510224669
LIGHT_ELEC,RURAL,INDIA,ER,SK,2026,2.515541063
LIGHT_ELEC,RURAL,INDIA,ER,SK,2027,2.520868716
LIGHT_ELEC,RURAL,INDIA,ER,SK,2028,2.526207653
LIGHT_ELEC,RURAL,INDIA,ER,SK,2029,2.531557897
LIGHT_ELEC,RURAL,INDIA,ER,SK,2030,2.536919473
LIGHT_ELEC,RURAL,INDIA,ER,SK,2031,2.542292403
LIGHT_ELEC,RURAL,INDIA,ER,SK,2032,2.547676713
LIGHT_ELEC,RURAL,INDIA,ER,SK,2033,2.553072427
LIGHT_ELEC,RURAL,INDIA,ER,SK,2034,2.558479568
LIGHT_ELEC,RURAL,INDIA,ER,SK,2035,2.56389816
LIGHT_ELEC,RURAL,INDIA,ER,SK,2036,2.569328229
LIGHT_ELEC,RURAL,INDIA,ER,SK,2037,2.574769798
LIGHT_ELEC,RURAL,INDIA,ER,SK,2038,2.580222892
LIGHT_ELEC,RURAL,INDIA,ER,SK,2039,2.585687534
LIGHT_ELEC,RURAL,INDIA,ER,SK,2040,2.591163751
LIGHT_ELEC,RURAL,INDIA,ER,SK,2041,2.596651565
LIGHT_ELEC,RURAL,INDIA,WR,CG,2024,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2025,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2026,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2027,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2028,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2029,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2030,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2031,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2032,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2033,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2034,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2035,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2036,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2037,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2038,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2039,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2040,2.444308284
LIGHT_ELEC,RURAL,INDIA,WR,CG,2041,2.444308284
