ModelGeography,SubGeography1,SubGeography2,ConsumerType1,NumHH,Year,UsagePenetration
INDIA,ER,BR,RURAL,22412860,2024,0.34114548
INDIA,ER,BR,RURAL,22798326,2025,0.375137559
INDIA,ER,BR,RURAL,23185523,2026,0.412474295
INDIA,ER,BR,RURAL,23566367,2027,0.453433024
INDIA,ER,BR,RURAL,23943207,2028,0.498378725
INDIA,ER,BR,RURAL,24322097,2029,0.547728098
INDIA,ER,BR,RURAL,24703044,2030,0.592878018
INDIA,ER,BR,RURAL,25085853,2031,0.641698387
INDIA,ER,BR,RURAL,25444991,2032,0.69441581
INDIA,ER,BR,RURAL,25787002,2033,0.751355259
INDIA,ER,BR,RURAL,26130981,2034,0.800594592
INDIA,ER,BR,RURAL,26476520,2035,0.853011281
INDIA,ER,BR,RURAL,26823832,2036,0.908803529
INDIA,ER,BR,RURAL,27173344,2037,0.960762096
INDIA,ER,BR,RURAL,27537771,2038,1
INDIA,ER,BR,RURAL,27907086,2039,1
INDIA,ER,BR,RURAL,28281354,2040,1
INDIA,ER,BR,RURAL,28660641,2041,1
INDIA,ER,BR,URBAN,3757302,2024,0.684066923
INDIA,ER,BR,URBAN,3881523,2025,0.712342327
INDIA,ER,BR,URBAN,4008916,2026,0.746164734
INDIA,ER,BR,URBAN,4138064,2027,0.786813943
INDIA,ER,BR,URBAN,4269234,2028,0.826178256
INDIA,ER,BR,URBAN,4403461,2029,0.873662483
INDIA,ER,BR,URBAN,4540807,2030,0.923823966
INDIA,ER,BR,URBAN,4681591,2031,0.970186557
INDIA,ER,BR,URBAN,4820639,2032,1
INDIA,ER,BR,URBAN,4959695,2033,1
INDIA,ER,BR,URBAN,5101661,2034,1
INDIA,ER,BR,URBAN,5247136,2035,1
INDIA,ER,BR,URBAN,5395916,2036,1
INDIA,ER,BR,URBAN,5547510,2037,1
INDIA,ER,BR,URBAN,5706663,2038,1
INDIA,ER,BR,URBAN,5870381,2039,1
INDIA,ER,BR,URBAN,6038797,2040,1
INDIA,ER,BR,URBAN,6212044,2041,1
INDIA,ER,JH,RURAL,6408521,2024,0.314212541
INDIA,ER,JH,RURAL,6548685,2025,0.342183281
INDIA,ER,JH,RURAL,6691241,2026,0.372609677
INDIA,ER,JH,RURAL,6831246,2027,0.405666178
INDIA,ER,JH,RURAL,6969709,2028,0.441591663
INDIA,ER,JH,RURAL,7110235,2029,0.48065822
INDIA,ER,JH,RURAL,7253086,2030,0.523137291
INDIA,ER,JH,RURAL,7397823,2031,0.561624831
INDIA,ER,JH,RURAL,7537989,2032,0.602848412
INDIA,ER,JH,RURAL,7676290,2033,0.647014005
INDIA,ER,JH,RURAL,7816050,2034,0.6943701
INDIA,ER,JH,RURAL,7957774,2035,0.74514468
INDIA,ER,JH,RURAL,8101234,2036,0.799577559
