ServiceTechCategory,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,TechSplitRatio
FRIDGE,RURAL,INDIA,SR,AP,2024,FR_DIRECTCOOL,0.781332985
FRIDGE,RURAL,INDIA,SR,AP,2025,FR_DIRECTCOOL,0.769558928
FRIDGE,RURAL,INDIA,SR,AP,2026,FR_DIRECTCOOL,0.756141118
FRIDGE,RURAL,INDIA,SR,AP,2024,FR_FROSTFREE,0.218667015
FRIDGE,RURAL,INDIA,SR,AP,2025,FR_FROSTFREE,0.230441072
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2024,CK_LPG,0.983615338
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2025,CK_LPG,0.983198158
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2024,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2025,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2024,CK_BIOGAS,0.012185987
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2025,CK_BIOGAS,0.011515879
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2024,CK_INDUCTION,0.004198675
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2025,CK_INDUCTION,0.005285963
FRIDGE,RURAL,INDIA,SR,AP,2026,FR_FROSTFREE,0.243858882
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2026,CK_LPG,0.982417836
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2026,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2026,CK_BIOGAS,0.010910376
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2026,CK_INDUCTION,0.006671788
FRIDGE,RURAL,INDIA,SR,AP,2027,FR_DIRECTCOOL,0.741540328
FRIDGE,RURAL,INDIA,SR,AP,2027,FR_FROSTFREE,0.258459672
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2027,CK_LPG,0.981303562
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2027,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2027,CK_BIOGAS,0.010297456
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2027,CK_INDUCTION,0.008398982
FRIDGE,RURAL,INDIA,SR,AP,2028,FR_DIRECTCOOL,0.726030075
FRIDGE,RURAL,INDIA,SR,AP,2028,FR_FROSTFREE,0.273969925
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2028,CK_LPG,0.979658743
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2028,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2028,CK_BIOGAS,0.009742425
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2028,CK_INDUCTION,0.010598832
FRIDGE,RURAL,INDIA,SR,AP,2029,FR_DIRECTCOOL,0.709770727
FRIDGE,RURAL,INDIA,SR,AP,2029,FR_FROSTFREE,0.290229273
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2029,CK_LPG,0.977362389
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2029,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2029,CK_BIOGAS,0.009235847
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2029,CK_INDUCTION,0.013401764
FRIDGE,RURAL,INDIA,SR,AP,2030,FR_DIRECTCOOL,0.692986957
FRIDGE,RURAL,INDIA,SR,AP,2030,FR_FROSTFREE,0.307013043
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2030,CK_LPG,0.974260239
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2030,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2030,CK_BIOGAS,0.008768625
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2030,CK_INDUCTION,0.016971137
FRIDGE,RURAL,INDIA,SR,AP,2031,FR_DIRECTCOOL,0.67738529
FRIDGE,RURAL,INDIA,SR,AP,2031,FR_FROSTFREE,0.32261471
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2031,CK_LPG,0.970152544
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2031,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2031,CK_BIOGAS,0.008333765
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2031,CK_INDUCTION,0.021513692
FRIDGE,RURAL,INDIA,SR,AP,2032,FR_DIRECTCOOL,0.661526893
FRIDGE,RURAL,INDIA,SR,AP,2032,FR_FROSTFREE,0.338473107
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2032,CK_LPG,0.965301781
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2032,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2032,CK_BIOGAS,0.007853006
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2032,CK_INDUCTION,0.026845213
FRIDGE,RURAL,INDIA,SR,AP,2033,FR_DIRECTCOOL,0.645503505
FRIDGE,RURAL,INDIA,SR,AP,2033,FR_FROSTFREE,0.354496495
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2033,CK_LPG,0.960475272
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2033,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2033,CK_BIOGAS,0.007399982
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2033,CK_INDUCTION,0.032124746
FRIDGE,RURAL,INDIA,SR,AP,2034,FR_DIRECTCOOL,0.630153903
FRIDGE,RURAL,INDIA,SR,AP,2034,FR_FROSTFREE,0.369846097
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2034,CK_LPG,0.955672896
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2034,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2034,CK_BIOGAS,0.006973092
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2034,CK_INDUCTION,0.037354012
FRIDGE,RURAL,INDIA,SR,AP,2035,FR_DIRECTCOOL,0.618665425
FRIDGE,RURAL,INDIA,SR,AP,2035,FR_FROSTFREE,0.381334575
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2035,CK_LPG,0.950894531
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2035,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2035,CK_BIOGAS,0.006570828
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2035,CK_INDUCTION,0.04253464
FRIDGE,RURAL,INDIA,SR,AP,2036,FR_DIRECTCOOL,0.609108123
FRIDGE,RURAL,INDIA,SR,AP,2036,FR_FROSTFREE,0.390891877
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_LPG,0.946140059
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_BIOGAS,0.00619177
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2036,CK_INDUCTION,0.047668171
FRIDGE,RURAL,INDIA,SR,AP,2037,FR_DIRECTCOOL,0.599106843
FRIDGE,RURAL,INDIA,SR,AP,2037,FR_FROSTFREE,0.400893157
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_LPG,0.941409358
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_BIOGAS,0.00583458
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2037,CK_INDUCTION,0.052756062
FRIDGE,RURAL,INDIA,SR,AP,2038,FR_DIRECTCOOL,0.576734685
FRIDGE,RURAL,INDIA,SR,AP,2038,FR_FROSTFREE,0.423265315
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2038,CK_LPG,0.936702311
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2038,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,SR,AP,2038,CK_BIOGAS,0.005497994
