ModelGeography,Year,RAIL+BUS+IPT4W+AIR
INDIA,2014,992385146000.0001
INDIA,2015,847099312000
INDIA,2016,999447510000
INDIA,2017,1006125787000
INDIA,2018,1030115737000.0001
INDIA,2019,1012574693000
INDIA,2020,915462187000.0001
INDIA,2021,201052098000
INDIA,2022,520623885000
INDIA,2023,638245848377.2998
INDIA,2024,1033174985575.6553
INDIA,2025,1101106240877.2544
INDIA,2026,1156047115908.9658
INDIA,2027,1211397918421.2664
INDIA,2028,1267163692147.9133
INDIA,2029,1323377864514.3972
INDIA,2030,1380105843387.539
INDIA,2031,1440131135514.967
INDIA,2032,1503801227121.8516
INDIA,2033,1571520912720.8618
INDIA,2034,1643763261477.3958
INDIA,2035,1721082752955.6575
INDIA,2036,1804131014253.9905
INDIA,2037,1893675676679.1133
INDIA,2038,1990622973430.7927
INDIA,2039,2096044823697.814
INDIA,2040,2211211297213.199
INDIA,2041,2337629531611.573
