ModelGeography,SubGeography1,SubGeography2,Year,4W+IPT3W+IPT4W+2W+BUS+RAIL
INDIA,ER,BR,2014,13453.125
INDIA,ER,BR,2015,13360.627477968035
INDIA,ER,BR,2016,13268.76592650663
INDIA,ER,BR,2017,13177.5359729736
INDIA,ER,BR,2018,13086.933274791047
INDIA,ER,BR,2019,12996.95351923865
INDIA,ER,BR,2020,13453.125
INDIA,ER,BR,2021,13360.627477968035
INDIA,ER,BR,2022,13268.76592650663
INDIA,ER,BR,2023,13177.5359729736
INDIA,ER,BR,2024,13086.933274791047
INDIA,ER,BR,2025,12835.048612541848
INDIA,ER,BR,2026,12587.484131151812
INDIA,ER,BR,2027,12344.182188336934
INDIA,ER,BR,2028,12106.540738160988
INDIA,ER,BR,2029,11873.028502662848
INDIA,ER,BR,2030,11643.59
INDIA,ER,BR,2031,11321.348589558313
INDIA,ER,BR,2032,11009.024081974698
INDIA,ER,BR,2033,10704.975766437748
INDIA,ER,BR,2034,10410.351756691589
INDIA,ER,BR,2035,10122.236493139742
INDIA,ER,BR,2036,9843.116247569047
INDIA,ER,BR,2037,9571.455005133177
INDIA,ER,BR,2038,9307.070173909668
INDIA,ER,BR,2039,9049.78330421651
INDIA,ER,BR,2040,8800.65
INDIA,ER,BR,2041,8557.021016892106
INDIA,ER,JH,2014,13453.125
INDIA,ER,JH,2015,13360.627477968035
INDIA,ER,JH,2016,13268.76592650663
INDIA,ER,JH,2017,13177.5359729736
INDIA,ER,JH,2018,13086.933274791047
INDIA,ER,JH,2019,12996.95351923865
INDIA,ER,JH,2020,13453.125
INDIA,ER,JH,2021,13360.627477968035
INDIA,ER,JH,2022,13268.76592650663
INDIA,ER,JH,2023,13177.5359729736
INDIA,ER,JH,2024,13086.933274791047
INDIA,ER,JH,2025,12835.048612541848
INDIA,ER,JH,2026,12587.484131151812
INDIA,ER,JH,2027,12344.182188336934
INDIA,ER,JH,2028,12106.540738160988
INDIA,ER,JH,2029,11873.028502662848
INDIA,ER,JH,2030,11643.59
INDIA,ER,JH,2031,11321.348589558313
INDIA,ER,JH,2032,11009.024081974698
