ModelGeography,Year,RAIL+IPT3W+IPT4W+4W+BUS+2W
INDIA,2014,162829539400
INDIA,2015,330099756800
INDIA,2016,157457863500
INDIA,2017,160853287500.00003
INDIA,2018,165394612500
INDIA,2019,163726369499.99997
INDIA,2020,168904976750
INDIA,2021,31588170000
INDIA,2022,71107383000
INDIA,2023,174936926505.88263
INDIA,2024,180185034301.0591
INDIA,2025,188199664626.77023
INDIA,2026,192395239599.89664
INDIA,2027,196403692173.69882
INDIA,2028,200260156483.0183
INDIA,2029,204002248999.6067
INDIA,2030,207813724125.20355
INDIA,2031,211723829826.59775
INDIA,2032,215766301341.2055
INDIA,2033,220110527526.1626
INDIA,2034,224802836472.1211
INDIA,2035,229897314316.83286
INDIA,2036,235457112905.18338
INDIA,2037,241555977965.07187
INDIA,2038,248280034986.82556
INDIA,2039,255729876265.16418
INDIA,2040,264022999891.65698
INDIA,2041,273296660050.4875
