Year,ModelGeography,SubGeography1,SubGeography2,GDP
2023,INDIA,WR,MH,28500725.73
2023,INDIA,SR,KL,7733100.167
2023,INDIA,ER,WB,11796803.13
2023,INDIA,SR,TN,19978891.14
2023,INDIA,NR,RJ,9841184.335
2023,INDIA,SR,KA,17651044.65
2023,INDIA,NR,UK,2662500.387
2023,INDIA,NER,NE,2155002.863
2023,INDIA,NR,UP,16377480.31
2023,INDIA,ER,OD,5936209.005
2023,INDIA,NR,HR,8245268.999
2023,INDIA,WR,GJ,19478888.72
2023,INDIA,WR,CG,3676920.96
2023,INDIA,WR,GA,774737.7922
2023,INDIA,NR,HP,1734214.747
2023,INDIA,NER,AS,3798168.331
2023,INDIA,WR,MP,8629686.233
2023,INDIA,NR,PB,6350948.266
2023,INDIA,NR,JK,1736742.109
2023,INDIA,SR,TS,9449185.283
2023,INDIA,ER,SK,312052.9106
2023,INDIA,ER,JH,3411728.005
2023,INDIA,SR,AP,10209356.01
2023,INDIA,NR,DL,8590193.856
2023,INDIA,ER,BR,6336672.815
2024,INDIA,WR,MP,9147970.941
2024,INDIA,NR,PB,6689530.908
2024,INDIA,NR,RJ,10353092.12
2024,INDIA,SR,KL,8169391.79
2024,INDIA,WR,GA,804280.7971
2024,INDIA,ER,WB,12399275.57
2024,INDIA,SR,AP,10803929.24
2024,INDIA,SR,TN,21127579.9
2024,INDIA,WR,MH,30160768.09
2024,INDIA,WR,CG,3877512.454
2024,INDIA,NR,HR,8764252.415
2024,INDIA,ER,BR,6707141.352
2024,INDIA,NR,HP,1833552.569
2024,INDIA,WR,GJ,20837222.02
2024,INDIA,NR,DL,9085542.694
2024,INDIA,NER,AS,4019907.793
2024,INDIA,NR,JK,1825628.228
2024,INDIA,SR,TS,10029932.35
2024,INDIA,NR,UP,17299930.45
2024,INDIA,SR,KA,18792938.85
2024,INDIA,NER,NE,2278992.526
2024,INDIA,NR,UK,2817831.373
2024,INDIA,ER,JH,3603129.47
2024,INDIA,ER,SK,330634.0661
2024,INDIA,ER,OD,6292662.734
2025,INDIA,NER,NE,2415601.41
2025,INDIA,NR,PB,6968159.02
2025,INDIA,SR,TN,22348057.14
2025,INDIA,NER,AS,4282604.301
2025,INDIA,ER,BR,7114854.312
2025,INDIA,NR,HR,9302873.276
2025,INDIA,SR,KA,20047679.73
2025,INDIA,SR,TS,10670124.87
2025,INDIA,NR,JK,1908906.165
2025,INDIA,NR,DL,9567540.86
2025,INDIA,WR,MP,9703196.375
2025,INDIA,NR,UK,2938628.091
2025,INDIA,WR,GJ,22396782.49
