Year,ModelGeography,SubGeography1,SubGeography2,CC+OPC+PPC+PSC+LC3
2022,INDIA,NR,JK,0.005925426
2022,INDIA,NR,HP,0.093127659
2023,INDIA,NR,JK,0.006262067
2024,INDIA,NR,JK,0.006599513
2025,INDIA,NR,JK,0.00704404
2026,INDIA,NR,JK,0.007518023
2027,INDIA,NR,JK,0.008017878
2028,INDIA,NR,JK,0.008546311
2029,INDIA,NR,JK,0.009109176
2030,INDIA,NR,JK,0.009708681
2031,INDIA,NR,JK,0.010347188
2032,INDIA,NR,JK,0.011020451
2033,INDIA,NR,JK,0.011731942
2034,INDIA,NR,JK,0.01248906
2035,INDIA,NR,JK,0.013294581
2036,INDIA,NR,JK,0.014151703
2037,INDIA,NR,JK,0.015063677
2038,INDIA,NR,JK,0.016042251
2039,INDIA,NR,JK,0.017085711
2040,INDIA,NR,JK,0.018198355
2041,INDIA,NR,JK,0.019384781
2023,INDIA,NR,HP,0.098418515
2024,INDIA,NR,HP,0.103722028
2025,INDIA,NR,HP,0.110708487
2026,INDIA,NR,HP,0.118157897
2027,INDIA,NR,HP,0.126013933
2028,INDIA,NR,HP,0.13431911
2029,INDIA,NR,HP,0.143165452
2030,INDIA,NR,HP,0.152587642
2031,INDIA,NR,HP,0.162622815
2032,INDIA,NR,HP,0.173204229
2033,INDIA,NR,HP,0.184386459
2034,INDIA,NR,HP,0.196285793
2035,INDIA,NR,HP,0.208945869
2036,INDIA,NR,HP,0.222416917
2037,INDIA,NR,HP,0.236750069
2038,INDIA,NR,HP,0.252129947
2039,INDIA,NR,HP,0.2685296
2040,INDIA,NR,HP,0.286016607
2041,INDIA,NR,HP,0.304663207
2022,INDIA,NR,PB,0.043530806
2023,INDIA,NR,PB,0.046003919
2024,INDIA,NR,PB,0.048482949
2025,INDIA,NR,PB,0.05174864
2026,INDIA,NR,PB,0.05523073
2027,INDIA,NR,PB,0.058902888
2028,INDIA,NR,PB,0.06278499
2029,INDIA,NR,PB,0.06692005
2030,INDIA,NR,PB,0.071324278
2031,INDIA,NR,PB,0.076015035
2032,INDIA,NR,PB,0.080961122
2033,INDIA,NR,PB,0.086188049
2034,INDIA,NR,PB,0.091750173
2035,INDIA,NR,PB,0.097667892
2036,INDIA,NR,PB,0.103964685
2037,INDIA,NR,PB,0.110664453
2038,INDIA,NR,PB,0.117853493
2039,INDIA,NR,PB,0.125519208
2040,INDIA,NR,PB,0.133693187
2041,INDIA,NR,PB,0.142409196
2022,INDIA,NR,UK,0.024144742
2023,INDIA,NR,UK,0.025516476
2024,INDIA,NR,UK,0.026891492
2025,INDIA,NR,UK,0.028702836
2026,INDIA,NR,UK,0.030634207
2027,INDIA,NR,UK,0.032671002
2028,INDIA,NR,UK,0.034824244
2029,INDIA,NR,UK,0.037117791
2030,INDIA,NR,UK,0.039560635
2031,INDIA,NR,UK,0.042162404
2032,INDIA,NR,UK,0.044905794
2033,INDIA,NR,UK,0.047804955
2034,INDIA,NR,UK,0.050890036
2035,INDIA,NR,UK,0.05417235
2036,INDIA,NR,UK,0.057664922
2037,INDIA,NR,UK,0.061381007
2038,INDIA,NR,UK,0.06536847
2039,INDIA,NR,UK,0.069620327
2040,INDIA,NR,UK,0.074154095
2041,INDIA,NR,UK,0.078988506
2022,INDIA,NR,HR,0.049572191
2023,INDIA,NR,HR,0.052388532
2024,INDIA,NR,HR,0.055211612
2025,INDIA,NR,HR,0.058930529
2026,INDIA,NR,HR,0.062895877
2027,INDIA,NR,HR,0.067077673
2028,INDIA,NR,HR,0.071498549
2029,INDIA,NR,HR,0.07620749
2030,INDIA,NR,HR,0.081222955
2031,INDIA,NR,HR,0.086564714
2032,INDIA,NR,HR,0.092197239
2033,INDIA,NR,HR,0.098149581
2034,INDIA,NR,HR,0.104483639
2035,INDIA,NR,HR,0.111222644
2036,INDIA,NR,HR,0.118393332
2037,INDIA,NR,HR,0.126022921
2038,INDIA,NR,HR,0.134209685
2039,INDIA,NR,HR,0.14293928
2040,INDIA,NR,HR,0.152247678
2041,INDIA,NR,HR,0.16217333
2022,INDIA,NR,DL,0
2023,INDIA,NR,DL,0
2024,INDIA,NR,DL,0
2025,INDIA,NR,DL,0
2026,INDIA,NR,DL,0
2027,INDIA,NR,DL,0
2028,INDIA,NR,DL,0
2029,INDIA,NR,DL,0
2030,INDIA,NR,DL,0
2031,INDIA,NR,DL,0
2032,INDIA,NR,DL,0
2033,INDIA,NR,DL,0
2034,INDIA,NR,DL,0
2035,INDIA,NR,DL,0
2036,INDIA,NR,DL,0
2037,INDIA,NR,DL,0
2038,INDIA,NR,DL,0
2039,INDIA,NR,DL,0
2040,INDIA,NR,DL,0
2041,INDIA,NR,DL,0
2022,INDIA,NR,RJ,0.505254183
2023,INDIA,NR,RJ,0.533959158
2024,INDIA,NR,RJ,0.562732804
2025,INDIA,NR,RJ,0.600637092
2026,INDIA,NR,RJ,0.641053073
2027,INDIA,NR,RJ,0.683675154
2028,INDIA,NR,RJ,0.728734008
2029,INDIA,NR,RJ,0.776728896
2030,INDIA,NR,RJ,0.827847979
2031,INDIA,NR,RJ,0.882292744
2032,INDIA,NR,RJ,0.939701074
2033,INDIA,NR,RJ,1.000369071
2034,INDIA,NR,RJ,1.064927638
2035,INDIA,NR,RJ,1.133613531
2036,INDIA,NR,RJ,1.206699269
2037,INDIA,NR,RJ,1.284462257
2038,INDIA,NR,RJ,1.367904143
2039,INDIA,NR,RJ,1.456878712
2040,INDIA,NR,RJ,1.551752605
2041,INDIA,NR,RJ,1.652917742
2022,INDIA,NR,UP,0.1830325
2023,INDIA,NR,UP,0.193431114
2024,INDIA,NR,UP,0.203854605
2025,INDIA,NR,UP,0.217585746
2026,INDIA,NR,UP,0.232226769
2027,INDIA,NR,UP,0.24766697
2028,INDIA,NR,UP,0.263989912
2029,INDIA,NR,UP,0.281376457
2030,INDIA,NR,UP,0.299894767
2031,INDIA,NR,UP,0.319617832
2032,INDIA,NR,UP,0.340414474
2033,INDIA,NR,UP,0.362391957
2034,INDIA,NR,UP,0.385778831
