Year,ModelGeography,SubGeography1,SubGeography2,OPC+PPC+PSC+CC+LC3
2022,INDIA,NR,JK,0.159986497
2022,INDIA,NR,HP,2.514446791
2023,INDIA,NR,JK,0.169075801
2024,INDIA,NR,JK,0.178186848
2025,INDIA,NR,JK,0.183668863
2026,INDIA,NR,JK,0.189307297
2027,INDIA,NR,JK,0.194972402
2028,INDIA,NR,JK,0.200697684
2029,INDIA,NR,JK,0.206582136
2030,INDIA,NR,JK,0.212629673
2031,INDIA,NR,JK,0.218844665
2032,INDIA,NR,JK,0.225093502
2033,INDIA,NR,JK,0.231410717
2034,INDIA,NR,JK,0.237899368
2035,INDIA,NR,JK,0.244561556
2036,INDIA,NR,JK,0.251404006
2037,INDIA,NR,JK,0.258430918
2038,INDIA,NR,JK,0.265783958
2039,INDIA,NR,JK,0.273367245
2040,INDIA,NR,JK,0.281187194
2041,INDIA,NR,JK,0.289250604
2023,INDIA,NR,HP,2.657299904
2024,INDIA,NR,HP,2.800494763
2025,INDIA,NR,HP,2.886653509
2026,INDIA,NR,HP,2.975270618
2027,INDIA,NR,HP,3.064306922
2028,INDIA,NR,HP,3.154288989
2029,INDIA,NR,HP,3.246772678
2030,INDIA,NR,HP,3.341819517
2031,INDIA,NR,HP,3.439498173
2032,INDIA,NR,HP,3.537708756
2033,INDIA,NR,HP,3.63699402
2034,INDIA,NR,HP,3.738973672
2035,INDIA,NR,HP,3.84368074
2036,INDIA,NR,HP,3.95122093
2037,INDIA,NR,HP,4.061660216
2038,INDIA,NR,HP,4.177225153
2039,INDIA,NR,HP,4.296408773
2040,INDIA,NR,HP,4.419311943
2041,INDIA,NR,HP,4.546041477
2022,INDIA,NR,PB,1.17533177
2023,INDIA,NR,PB,1.242105823
2024,INDIA,NR,PB,1.309039618
2025,INDIA,NR,PB,1.349312935
2026,INDIA,NR,PB,1.390735368
2027,INDIA,NR,PB,1.432353746
2028,INDIA,NR,PB,1.474414203
2029,INDIA,NR,PB,1.517643998
2030,INDIA,NR,PB,1.562071889
2031,INDIA,NR,PB,1.607729975
2032,INDIA,NR,PB,1.653636701
2033,INDIA,NR,PB,1.700045766
2034,INDIA,NR,PB,1.747714273
2035,INDIA,NR,PB,1.79665766
2036,INDIA,NR,PB,1.846925338
2037,INDIA,NR,PB,1.898548145
2038,INDIA,NR,PB,1.952566844
2039,INDIA,NR,PB,2.008277028
2040,INDIA,NR,PB,2.065725848
2041,INDIA,NR,PB,2.124963231
