Year,ModelGeography,SubGeography1,SubGeography2,PPC+OPC+PSC+CC+LC3
2022,INDIA,NR,JK,0.385152679
2022,INDIA,NR,HP,6.053297831
2023,INDIA,NR,JK,0.407034335
2024,INDIA,NR,JK,0.428968338
2025,INDIA,NR,JK,0.449549233
2026,INDIA,NR,JK,0.472477677
2027,INDIA,NR,JK,0.496137238
2028,INDIA,NR,JK,0.520629803
2029,INDIA,NR,JK,0.546237222
2030,INDIA,NR,JK,0.57300539
2031,INDIA,NR,JK,0.600982796
2032,INDIA,NR,JK,0.629833295
2033,INDIA,NR,JK,0.659672499
2034,INDIA,NR,JK,0.690822339
2035,INDIA,NR,JK,0.723328424
2036,INDIA,NR,JK,0.75725118
2037,INDIA,NR,JK,0.792645153
2038,INDIA,NR,JK,0.829995478
2039,INDIA,NR,JK,0.869064298
2040,INDIA,NR,JK,0.909923736
2041,INDIA,NR,JK,0.952648959
2023,INDIA,NR,HP,6.397203472
2024,INDIA,NR,HP,6.741931837
2025,INDIA,NR,HP,7.065393928
2026,INDIA,NR,HP,7.425751529
2027,INDIA,NR,HP,7.797599842
2028,INDIA,NR,HP,8.182540142
2029,INDIA,NR,HP,8.585002193
2030,INDIA,NR,HP,9.005707284
2031,INDIA,NR,HP,9.4454175
2032,INDIA,NR,HP,9.898849798
2033,INDIA,NR,HP,10.36782119
2034,INDIA,NR,HP,10.85739135
2035,INDIA,NR,HP,11.3682771
2036,INDIA,NR,HP,11.90142813
2037,INDIA,NR,HP,12.4577017
2038,INDIA,NR,HP,13.04472252
2039,INDIA,NR,HP,13.65875227
2040,INDIA,NR,HP,14.30092449
2041,INDIA,NR,HP,14.97242052
2022,INDIA,NR,PB,2.82950241
2023,INDIA,NR,PB,2.990254759
2024,INDIA,NR,PB,3.151391674
2025,INDIA,NR,PB,3.302588062
2026,INDIA,NR,PB,3.471030575
2027,INDIA,NR,PB,3.644844209
2028,INDIA,NR,PB,3.824777452
2029,INDIA,NR,PB,4.012900914
2030,INDIA,NR,PB,4.209551748
2031,INDIA,NR,PB,4.415086178
2032,INDIA,NR,PB,4.627034741
2033,INDIA,NR,PB,4.846246768
2034,INDIA,NR,PB,5.07508731
2035,INDIA,NR,PB,5.313891428
2036,INDIA,NR,PB,5.563103043
2037,INDIA,NR,PB,5.823122861
2038,INDIA,NR,PB,6.097514917
2039,INDIA,NR,PB,6.384531795
2040,INDIA,NR,PB,6.684703354
2041,INDIA,NR,PB,6.998581788
2022,INDIA,NR,UK,1.569408256
2023,INDIA,NR,UK,1.658570952
2024,INDIA,NR,UK,1.747946951
2025,INDIA,NR,UK,1.83180935
2026,INDIA,NR,UK,1.925237463
2027,INDIA,NR,UK,2.021644715
2028,INDIA,NR,UK,2.121446262
2029,INDIA,NR,UK,2.225790585
2030,INDIA,NR,UK,2.33486469
2031,INDIA,NR,UK,2.448866159
2032,INDIA,NR,UK,2.566425283
2033,INDIA,NR,UK,2.688013151
2034,INDIA,NR,UK,2.814941559
2035,INDIA,NR,UK,2.947396351
2036,INDIA,NR,UK,3.085623753
2037,INDIA,NR,UK,3.229846019
2038,INDIA,NR,UK,3.382039972
2039,INDIA,NR,UK,3.541236394
2040,INDIA,NR,UK,3.707729174
2041,INDIA,NR,UK,3.881824592
2022,INDIA,NR,HR,3.222192392
2023,INDIA,NR,HR,3.405254612
2024,INDIA,NR,HR,3.588754771
2025,INDIA,NR,HR,3.760934816
2026,INDIA,NR,HR,3.952754474
2027,INDIA,NR,HR,4.150690679
2028,INDIA,NR,HR,4.355595798
2029,INDIA,NR,HR,4.569827807
2030,INDIA,NR,HR,4.793770653
2031,INDIA,NR,HR,5.027829996
2032,INDIA,NR,HR,5.269193653
2033,INDIA,NR,HR,5.518828826
2034,INDIA,NR,HR,5.7794288
2035,INDIA,NR,HR,6.051375135
2036,INDIA,NR,HR,6.335173363
2037,INDIA,NR,HR,6.631279801
2038,INDIA,NR,HR,6.943753115
2039,INDIA,NR,HR,7.270603375
2040,INDIA,NR,HR,7.612433978
2041,INDIA,NR,HR,7.969873752
2022,INDIA,NR,DL,0
2023,INDIA,NR,DL,0
2024,INDIA,NR,DL,0
2025,INDIA,NR,DL,0
2026,INDIA,NR,DL,0
2027,INDIA,NR,DL,0
2028,INDIA,NR,DL,0
2029,INDIA,NR,DL,0
2030,INDIA,NR,DL,0
2031,INDIA,NR,DL,0
2032,INDIA,NR,DL,0
2033,INDIA,NR,DL,0
2034,INDIA,NR,DL,0
2035,INDIA,NR,DL,0
2036,INDIA,NR,DL,0
2037,INDIA,NR,DL,0
2038,INDIA,NR,DL,0
2039,INDIA,NR,DL,0
2040,INDIA,NR,DL,0
2041,INDIA,NR,DL,0
2022,INDIA,NR,RJ,32.84152191
2023,INDIA,NR,RJ,34.7073453
2024,INDIA,NR,RJ,36.57763228
2025,INDIA,NR,RJ,38.33254137
2026,INDIA,NR,RJ,40.2876231
2027,INDIA,NR,RJ,42.30504647
2028,INDIA,NR,RJ,44.39349903
2029,INDIA,NR,RJ,46.57701397
2030,INDIA,NR,RJ,48.85950458
2031,INDIA,NR,RJ,51.24510547
2032,INDIA,NR,RJ,53.70515405
2033,INDIA,NR,RJ,56.24950834
2034,INDIA,NR,RJ,58.90561905
2035,INDIA,NR,RJ,61.67737519
2036,INDIA,NR,RJ,64.56992926
2037,INDIA,NR,RJ,67.58793219
2038,INDIA,NR,RJ,70.77275107
2039,INDIA,NR,RJ,74.10410398
2040,INDIA,NR,RJ,77.58814089
2041,INDIA,NR,RJ,81.23127101
2022,INDIA,NR,UP,11.89711251
2023,INDIA,NR,UP,12.57302244
2024,INDIA,NR,UP,13.25054935
2025,INDIA,NR,UP,13.88627965
2026,INDIA,NR,UP,14.59452416
2027,INDIA,NR,UP,15.32535243
2028,INDIA,NR,UP,16.08191162
2029,INDIA,NR,UP,16.87290794
2030,INDIA,NR,UP,17.69975901
2031,INDIA,NR,UP,18.56396263
2032,INDIA,NR,UP,19.45513554
2033,INDIA,NR,UP,20.37684889
2034,INDIA,NR,UP,21.33904693
2035,INDIA,NR,UP,22.34313848
2036,INDIA,NR,UP,23.39099008
2037,INDIA,NR,UP,24.48428656
2038,INDIA,NR,UP,25.63801351
2039,INDIA,NR,UP,26.84482361
2040,INDIA,NR,UP,28.10694475
2041,INDIA,NR,UP,29.42669872
2022,INDIA,WR,GA,0
2023,INDIA,WR,GA,0
2024,INDIA,WR,GA,0
2025,INDIA,WR,GA,0
2026,INDIA,WR,GA,0
2027,INDIA,WR,GA,0
2028,INDIA,WR,GA,0
2029,INDIA,WR,GA,0
2030,INDIA,WR,GA,0
2031,INDIA,WR,GA,0
2032,INDIA,WR,GA,0
2033,INDIA,WR,GA,0
2034,INDIA,WR,GA,0
2035,INDIA,WR,GA,0
2036,INDIA,WR,GA,0
2037,INDIA,WR,GA,0
2038,INDIA,WR,GA,0
2039,INDIA,WR,GA,0
2040,INDIA,WR,GA,0
2041,INDIA,WR,GA,0
2022,INDIA,WR,MH,16.20878776
2023,INDIA,WR,MH,17.12965664
2024,INDIA,WR,MH,18.0527285
2025,INDIA,WR,MH,18.91885611
2026,INDIA,WR,MH,19.88377804
2027,INDIA,WR,MH,20.87946842
2028,INDIA,WR,MH,21.91021493
2029,INDIA,WR,MH,22.98787907
2030,INDIA,WR,MH,24.1143922
2031,INDIA,WR,MH,25.29179496
2032,INDIA,WR,MH,26.50594105
2033,INDIA,WR,MH,27.76169584
2034,INDIA,WR,MH,29.07260753
2035,INDIA,WR,MH,30.4405955
2036,INDIA,WR,MH,31.86820276
2037,INDIA,WR,MH,33.35772474
2038,INDIA,WR,MH,34.92957801
2039,INDIA,WR,MH,36.57375249
2040,INDIA,WR,MH,38.29328348
2041,INDIA,WR,MH,40.09133423
2022,INDIA,WR,GJ,17.20440839
2023,INDIA,WR,GJ,18.1818414
2024,INDIA,WR,GJ,19.16161271
2025,INDIA,WR,GJ,20.08094199
2026,INDIA,WR,GJ,21.10513401
2027,INDIA,WR,GJ,22.16198441
2028,INDIA,WR,GJ,23.25604426
2029,INDIA,WR,GJ,24.39990364
2030,INDIA,WR,GJ,25.59561255
2031,INDIA,WR,GJ,26.84533698
2032,INDIA,WR,GJ,28.13406168
2033,INDIA,WR,GJ,29.46695089
2034,INDIA,WR,GJ,30.85838499
2035,INDIA,WR,GJ,32.31040127
2036,INDIA,WR,GJ,33.82569893
2037,INDIA,WR,GJ,35.40671443
2038,INDIA,WR,GJ,37.07511837
2039,INDIA,WR,GJ,38.82028585
2040,INDIA,WR,GJ,40.64543859
2041,INDIA,WR,GJ,42.55393415
2022,INDIA,WR,MP,17.58464167
2023,INDIA,WR,MP,18.58367685
2024,INDIA,WR,MP,19.58510202
2025,INDIA,WR,MP,20.52474932
2026,INDIA,WR,MP,21.57157692
2027,INDIA,WR,MP,22.65178469
2028,INDIA,WR,MP,23.77002428
2029,INDIA,WR,MP,24.939164
2030,INDIA,WR,MP,26.16129919
2031,INDIA,WR,MP,27.43864367
2032,INDIA,WR,MP,28.75585037
2033,INDIA,WR,MP,30.11819766
2034,INDIA,WR,MP,31.54038374
2035,INDIA,WR,MP,33.02449092
2036,INDIA,WR,MP,34.57327806
2037,INDIA,WR,MP,36.18923545
2038,INDIA,WR,MP,37.89451266
2039,INDIA,WR,MP,39.67824995
2040,INDIA,WR,MP,41.54374025
2041,INDIA,WR,MP,43.49441532
2022,INDIA,WR,CG,11.0801298
2023,INDIA,WR,CG,11.70962454
2024,INDIA,WR,CG,12.34062522
2025,INDIA,WR,CG,12.9326995
2026,INDIA,WR,CG,13.59230838
2027,INDIA,WR,CG,14.27295019
2028,INDIA,WR,CG,14.97755594
2029,INDIA,WR,CG,15.71423401
2030,INDIA,WR,CG,16.48430466
2031,INDIA,WR,CG,17.28916284
