Year,ModelGeography,SubGeography1,SubGeography2,PSC+OPC+PPC+CC+LC3
2022,INDIA,NR,JK,0.041477981
2022,INDIA,NR,HP,0.651893613
2023,INDIA,NR,JK,0.043834467
2024,INDIA,NR,JK,0.04619659
2025,INDIA,NR,JK,0.048303185
2026,INDIA,NR,JK,0.050502577
2027,INDIA,NR,JK,0.05276249
2028,INDIA,NR,JK,0.055093512
2029,INDIA,NR,JK,0.057525025
2030,INDIA,NR,JK,0.060061182
2031,INDIA,NR,JK,0.062706408
2032,INDIA,NR,JK,0.065425172
2033,INDIA,NR,JK,0.068229367
2034,INDIA,NR,JK,0.071152
2035,INDIA,NR,JK,0.074197278
2036,INDIA,NR,JK,0.07737095
2037,INDIA,NR,JK,0.080678193
2038,INDIA,NR,JK,0.084167885
2039,INDIA,NR,JK,0.087815278
2040,INDIA,NR,JK,0.091627344
2041,INDIA,NR,JK,0.095611424
2023,INDIA,NR,HP,0.688929605
2024,INDIA,NR,HP,0.726054198
2025,INDIA,NR,HP,0.759162747
2026,INDIA,NR,HP,0.793729752
2027,INDIA,NR,HP,0.829247944
2028,INDIA,NR,HP,0.865883724
2029,INDIA,NR,HP,0.904098886
2030,INDIA,NR,HP,0.943958709
2031,INDIA,NR,HP,0.985532714
2032,INDIA,NR,HP,1.02826249
2033,INDIA,NR,HP,1.072334945
2034,INDIA,NR,HP,1.118268867
2035,INDIA,NR,HP,1.166130326
2036,INDIA,NR,HP,1.216009733
2037,INDIA,NR,HP,1.267988403
2038,INDIA,NR,HP,1.322834558
2039,INDIA,NR,HP,1.38015924
2040,INDIA,NR,HP,1.440072032
2041,INDIA,NR,HP,1.502688307
2022,INDIA,NR,PB,0.304715644
2023,INDIA,NR,PB,0.322027436
2024,INDIA,NR,PB,0.339380642
2025,INDIA,NR,PB,0.354856622
2026,INDIA,NR,PB,0.371014331
2027,INDIA,NR,PB,0.387616655
2028,INDIA,NR,PB,0.404741374
2029,INDIA,NR,PB,0.422604347
2030,INDIA,NR,PB,0.441236086
2031,INDIA,NR,PB,0.460669088
2032,INDIA,NR,PB,0.480642333
2033,INDIA,NR,PB,0.50124319
2034,INDIA,NR,PB,0.522714154
2035,INDIA,NR,PB,0.54508611
2036,INDIA,NR,PB,0.568401319
2037,INDIA,NR,PB,0.592697789
2038,INDIA,NR,PB,0.618334613
2039,INDIA,NR,PB,0.645129978
2040,INDIA,NR,PB,0.673135107
2041,INDIA,NR,PB,0.70240393
2022,INDIA,NR,UK,0.169013197
2023,INDIA,NR,UK,0.178615333
2024,INDIA,NR,UK,0.188240441
2025,INDIA,NR,UK,0.196824329
2026,INDIA,NR,UK,0.205786343
2027,INDIA,NR,UK,0.214994967
2028,INDIA,NR,UK,0.224493343
2029,INDIA,NR,UK,0.234401197
2030,INDIA,NR,UK,0.244735454
2031,INDIA,NR,UK,0.255514138
2032,INDIA,NR,UK,0.266592473
2033,INDIA,NR,UK,0.278018919
2034,INDIA,NR,UK,0.289927977
2035,INDIA,NR,UK,0.302336778
2036,INDIA,NR,UK,0.315268762
2037,INDIA,NR,UK,0.328745012
2038,INDIA,NR,UK,0.3429647
2039,INDIA,NR,UK,0.357826984
2040,INDIA,NR,UK,0.373360274
2041,INDIA,NR,UK,0.389594482
2022,INDIA,NR,HR,0.347005335
2023,INDIA,NR,HR,0.366719727
2024,INDIA,NR,HR,0.386481283
2025,INDIA,NR,HR,0.404105084
2026,INDIA,NR,HR,0.422505226
2027,INDIA,NR,HR,0.441411689
2028,INDIA,NR,HR,0.460913047
2029,INDIA,NR,HR,0.481255116
2030,INDIA,NR,HR,0.502472645
2031,INDIA,NR,HR,0.524602638
2032,INDIA,NR,HR,0.547347853
2033,INDIA,NR,HR,0.570807781
2034,INDIA,NR,HR,0.595258574
2035,INDIA,NR,HR,0.620735403
2036,INDIA,NR,HR,0.647286392
2037,INDIA,NR,HR,0.674954826
2038,INDIA,NR,HR,0.704149634
2039,INDIA,NR,HR,0.73466377
2040,INDIA,NR,HR,0.766555566
2041,INDIA,NR,HR,0.799886436
2022,INDIA,NR,DL,0
2023,INDIA,NR,DL,0
2024,INDIA,NR,DL,0
2025,INDIA,NR,DL,0
2026,INDIA,NR,DL,0
2027,INDIA,NR,DL,0
2028,INDIA,NR,DL,0
2029,INDIA,NR,DL,0
2030,INDIA,NR,DL,0
2031,INDIA,NR,DL,0
2032,INDIA,NR,DL,0
2033,INDIA,NR,DL,0
2034,INDIA,NR,DL,0
2035,INDIA,NR,DL,0
2036,INDIA,NR,DL,0
2037,INDIA,NR,DL,0
2038,INDIA,NR,DL,0
2039,INDIA,NR,DL,0
2040,INDIA,NR,DL,0
2041,INDIA,NR,DL,0
2022,INDIA,NR,RJ,3.536779283
2023,INDIA,NR,RJ,3.737714109
2024,INDIA,NR,RJ,3.93912963
2025,INDIA,NR,RJ,4.118756535
2026,INDIA,NR,RJ,4.306296133
2027,INDIA,NR,RJ,4.498996297
2028,INDIA,NR,RJ,4.697759815
2029,INDIA,NR,RJ,4.905092102
2030,INDIA,NR,RJ,5.121347321
2031,INDIA,NR,RJ,5.346902651
2032,INDIA,NR,RJ,5.578728494
2033,INDIA,NR,RJ,5.817838901
2034,INDIA,NR,RJ,6.067048497
2035,INDIA,NR,RJ,6.32671574
2036,INDIA,NR,RJ,6.597331141
2037,INDIA,NR,RJ,6.879335874
2038,INDIA,NR,RJ,7.17689784
2039,INDIA,NR,RJ,7.487906791
2040,INDIA,NR,RJ,7.812957251
2041,INDIA,NR,RJ,8.152675173
2022,INDIA,NR,UP,1.281227501
2023,INDIA,NR,UP,1.354017801
2024,INDIA,NR,UP,1.426982237
2025,INDIA,NR,UP,1.492053567
2026,INDIA,NR,UP,1.559991335
2027,INDIA,NR,UP,1.629798561
2028,INDIA,NR,UP,1.701802286
2029,INDIA,NR,UP,1.776910119
2030,INDIA,NR,UP,1.855250358
2031,INDIA,NR,UP,1.936959639
2032,INDIA,NR,UP,2.020940465
2033,INDIA,NR,UP,2.107560185
2034,INDIA,NR,UP,2.197838419
2035,INDIA,NR,UP,2.291905022
2036,INDIA,NR,UP,2.389937686
2037,INDIA,NR,UP,2.492096229
2038,INDIA,NR,UP,2.599890508
2039,INDIA,NR,UP,2.712556069
2040,INDIA,NR,UP,2.830308282
2041,INDIA,NR,UP,2.953373905
2022,INDIA,WR,GA,0
2023,INDIA,WR,GA,0
2024,INDIA,WR,GA,0
2025,INDIA,WR,GA,0
2026,INDIA,WR,GA,0
2027,INDIA,WR,GA,0
2028,INDIA,WR,GA,0
2029,INDIA,WR,GA,0
2030,INDIA,WR,GA,0
2031,INDIA,WR,GA,0
2032,INDIA,WR,GA,0
2033,INDIA,WR,GA,0
2034,INDIA,WR,GA,0
2035,INDIA,WR,GA,0
2036,INDIA,WR,GA,0
2037,INDIA,WR,GA,0
2038,INDIA,WR,GA,0
2039,INDIA,WR,GA,0
2040,INDIA,WR,GA,0
2041,INDIA,WR,GA,0
2022,INDIA,WR,MH,1.745561759
2023,INDIA,WR,MH,1.844732253
2024,INDIA,WR,MH,1.944139992
2025,INDIA,WR,MH,2.032794055
2026,INDIA,WR,MH,2.125353394
2027,INDIA,WR,MH,2.220459707
2028,INDIA,WR,MH,2.318558561
2029,INDIA,WR,MH,2.420886494
2030,INDIA,WR,MH,2.5276183
2031,INDIA,WR,MH,2.638940134
2032,INDIA,WR,MH,2.753356753
2033,INDIA,WR,MH,2.871368636
2034,INDIA,WR,MH,2.994364929
2035,INDIA,WR,MH,3.122522548
2036,INDIA,WR,MH,3.256083581
2037,INDIA,WR,MH,3.395265768
2038,INDIA,WR,MH,3.54212616
2039,INDIA,WR,MH,3.695623251
2040,INDIA,WR,MH,3.856050466
2041,INDIA,WR,MH,4.023716743
2022,INDIA,WR,GJ,1.852782442
2023,INDIA,WR,GJ,1.958044458
2024,INDIA,WR,GJ,2.063558292
2025,INDIA,WR,GJ,2.157657909
2026,INDIA,WR,GJ,2.255902681
2027,INDIA,WR,GJ,2.356850875
2028,INDIA,WR,GJ,2.460975426
2029,INDIA,WR,GJ,2.569588825
2030,INDIA,WR,GJ,2.682876606
2031,INDIA,WR,GJ,2.801036355
2032,INDIA,WR,GJ,2.922480985
2033,INDIA,WR,GJ,3.047741718
2034,INDIA,WR,GJ,3.178293026
2035,INDIA,WR,GJ,3.314322694
2036,INDIA,WR,GJ,3.456087679
2037,INDIA,WR,GJ,3.603819097
2038,INDIA,WR,GJ,3.75970035
2039,INDIA,WR,GJ,3.92262596
2040,INDIA,WR,GJ,4.092907376
2041,INDIA,WR,GJ,4.270872511
2022,INDIA,WR,MP,1.893730642
2023,INDIA,WR,MP,2.001319046
2024,INDIA,WR,MP,2.109164833
2025,INDIA,WR,MP,2.205344137
2026,INDIA,WR,MP,2.305760209
2027,INDIA,WR,MP,2.408939452
2028,INDIA,WR,MP,2.515365251
2029,INDIA,WR,MP,2.626379107
2030,INDIA,WR,MP,2.742170652
2031,INDIA,WR,MP,2.862941841
2032,INDIA,WR,MP,2.987070509
2033,INDIA,WR,MP,3.115099619
2034,INDIA,WR,MP,3.248536232
2035,INDIA,WR,MP,3.38757228
2036,INDIA,WR,MP,3.532470403
2037,INDIA,WR,MP,3.683466821
2038,INDIA,WR,MP,3.842793193
2039,INDIA,WR,MP,4.00931961
2040,INDIA,WR,MP,4.183364402
2041,INDIA,WR,MP,4.365262731
2022,INDIA,WR,CG,1.193244748
2023,INDIA,WR,CG,1.261036489
2024,INDIA,WR,CG,1.328990408
2025,INDIA,WR,CG,1.389593246
2026,INDIA,WR,CG,1.452865682
2027,INDIA,WR,CG,1.517879199
2028,INDIA,WR,CG,1.58493838
2029,INDIA,WR,CG,1.654888508
2030,INDIA,WR,CG,1.72784907
2031,INDIA,WR,CG,1.803947319
2032,INDIA,WR,CG,1.882161126
2033,INDIA,WR,CG,1.962832611
2034,INDIA,WR,CG,2.046911378
2035,INDIA,WR,CG,2.134518364
2036,INDIA,WR,CG,2.225819059
2037,INDIA,WR,CG,2.320962306
2038,INDIA,WR,CG,2.42135428
2039,INDIA,WR,CG,2.526283021
2040,INDIA,WR,CG,2.635949111
2041,INDIA,WR,CG,2.750563735
2022,INDIA,SR,AP,3.046418191
2023,INDIA,SR,AP,3.219494162
2024,INDIA,SR,AP,3.392984182
2025,INDIA,SR,AP,3.547706495
2026,INDIA,SR,AP,3.709244436
2027,INDIA,SR,AP,3.87522745
2028,INDIA,SR,AP,4.046433156
2029,INDIA,SR,AP,4.225019605
2030,INDIA,SR,AP,4.411291855
2031,INDIA,SR,AP,4.60557479
2032,INDIA,SR,AP,4.805258855
2033,INDIA,SR,AP,5.011217507
2034,INDIA,SR,AP,5.225875133
2035,INDIA,SR,AP,5.449540494
2036,INDIA,SR,AP,5.682636092
2037,INDIA,SR,AP,5.925541933
2038,INDIA,SR,AP,6.181848057
2039,INDIA,SR,AP,6.449736791
2040,INDIA,SR,AP,6.729720232
2041,INDIA,SR,AP,7.022337547
2022,INDIA,SR,KA,2.219841397
2023,INDIA,SR,KA,2.345957112
2024,INDIA,SR,KA,2.472374532
2025,INDIA,SR,KA,2.585116438
2026,INDIA,SR,KA,2.702824706
2027,INDIA,SR,KA,2.823771977
2028,INDIA,SR,KA,2.948524881
2029,INDIA,SR,KA,3.078655928
2030,INDIA,SR,KA,3.214387409
2031,INDIA,SR,KA,3.355956056
2032,INDIA,SR,KA,3.501460359
2033,INDIA,SR,KA,3.651536781
2034,INDIA,SR,KA,3.807951907
2035,INDIA,SR,KA,3.970930722
2036,INDIA,SR,KA,4.140781092
2037,INDIA,SR,KA,4.317779918
2038,INDIA,SR,KA,4.504543161
2039,INDIA,SR,KA,4.699746336
2040,INDIA,SR,KA,4.903762592
2041,INDIA,SR,KA,5.116984806
2022,INDIA,SR,KL,0.039294091
2023,INDIA,SR,KL,0.041526504
2024,INDIA,SR,KL,0.043764257
2025,INDIA,SR,KL,0.045759936
2026,INDIA,SR,KL,0.047843526
2027,INDIA,SR,KL,0.049984451
2028,INDIA,SR,KL,0.05219274
2029,INDIA,SR,KL,0.054496229
2030,INDIA,SR,KL,0.056898854
