Year,ModelGeography,ServiceTechCategory,ServiceTech,TechSplitRatio
2022,INDIA,OPC,OPC_Norm,1
2023,INDIA,OPC,OPC_Norm,1
2022,INDIA,OPC,OPC_CCUS,0
2022,INDIA,PPC,PPC_Norm,1
2022,INDIA,PPC,PPC_CCUS,0
2022,INDIA,PSC,PSC_Norm,1
2022,INDIA,PSC,PSC_CCUS,0
2022,INDIA,CC,CC_Norm,1
2022,INDIA,LC3,LC3_Norm,1
2023,INDIA,OPC,OPC_CCUS,0
2023,INDIA,PPC,PPC_Norm,1
2023,INDIA,PPC,PPC_CCUS,0
2023,INDIA,PSC,PSC_Norm,1
2023,INDIA,PSC,PSC_CCUS,0
2023,INDIA,CC,CC_Norm,1
2023,INDIA,LC3,LC3_Norm,1
2024,INDIA,OPC,OPC_Norm,1
2024,INDIA,OPC,OPC_CCUS,0
2024,INDIA,PPC,PPC_Norm,1
2024,INDIA,PPC,PPC_CCUS,0
2024,INDIA,PSC,PSC_Norm,1
2024,INDIA,PSC,PSC_CCUS,0
2024,INDIA,CC,CC_Norm,1
2024,INDIA,LC3,LC3_Norm,1
2025,INDIA,OPC,OPC_Norm,1
2025,INDIA,OPC,OPC_CCUS,0
2025,INDIA,PPC,PPC_Norm,1
2025,INDIA,PPC,PPC_CCUS,0
2025,INDIA,PSC,PSC_Norm,1
2025,INDIA,PSC,PSC_CCUS,0
2025,INDIA,CC,CC_Norm,1
2025,INDIA,LC3,LC3_Norm,1
2026,INDIA,OPC,OPC_Norm,1
2026,INDIA,OPC,OPC_CCUS,0
2026,INDIA,PPC,PPC_Norm,1
2026,INDIA,PPC,PPC_CCUS,0
2026,INDIA,PSC,PSC_Norm,1
2026,INDIA,PSC,PSC_CCUS,0
2026,INDIA,CC,CC_Norm,1
2026,INDIA,LC3,LC3_Norm,1
2027,INDIA,OPC,OPC_Norm,1
2027,INDIA,OPC,OPC_CCUS,0
2027,INDIA,PPC,PPC_Norm,1
2027,INDIA,PPC,PPC_CCUS,0
2027,INDIA,PSC,PSC_Norm,1
2027,INDIA,PSC,PSC_CCUS,0
2027,INDIA,CC,CC_Norm,1
2027,INDIA,LC3,LC3_Norm,1
2028,INDIA,OPC,OPC_Norm,1
2028,INDIA,OPC,OPC_CCUS,0
2028,INDIA,PPC,PPC_Norm,1
2028,INDIA,PPC,PPC_CCUS,0
2028,INDIA,PSC,PSC_Norm,1
2028,INDIA,PSC,PSC_CCUS,0
2028,INDIA,CC,CC_Norm,1
2028,INDIA,LC3,LC3_Norm,1
2029,INDIA,OPC,OPC_Norm,1
2029,INDIA,OPC,OPC_CCUS,0
2029,INDIA,PPC,PPC_Norm,1
2029,INDIA,PPC,PPC_CCUS,0
2029,INDIA,PSC,PSC_Norm,1
2029,INDIA,PSC,PSC_CCUS,0
2029,INDIA,CC,CC_Norm,1
2029,INDIA,LC3,LC3_Norm,1
2030,INDIA,OPC,OPC_Norm,1
2030,INDIA,OPC,OPC_CCUS,0
2030,INDIA,PPC,PPC_Norm,1
2030,INDIA,PPC,PPC_CCUS,0
2030,INDIA,PSC,PSC_Norm,1
2030,INDIA,PSC,PSC_CCUS,0
2030,INDIA,CC,CC_Norm,1
2030,INDIA,LC3,LC3_Norm,1
2031,INDIA,OPC,OPC_Norm,1
2031,INDIA,OPC,OPC_CCUS,0
2031,INDIA,PPC,PPC_Norm,1
2031,INDIA,PPC,PPC_CCUS,0
2031,INDIA,PSC,PSC_Norm,1
2031,INDIA,PSC,PSC_CCUS,0
2031,INDIA,CC,CC_Norm,1
2031,INDIA,LC3,LC3_Norm,1
2032,INDIA,OPC,OPC_Norm,1
2032,INDIA,OPC,OPC_CCUS,0
2032,INDIA,PPC,PPC_Norm,1
2032,INDIA,PPC,PPC_CCUS,0
2032,INDIA,PSC,PSC_Norm,1
2032,INDIA,PSC,PSC_CCUS,0
2032,INDIA,CC,CC_Norm,1
2032,INDIA,LC3,LC3_Norm,1
2033,INDIA,OPC,OPC_Norm,1
2033,INDIA,OPC,OPC_CCUS,0
2033,INDIA,PPC,PPC_Norm,1
2033,INDIA,PPC,PPC_CCUS,0
2033,INDIA,PSC,PSC_Norm,1
2033,INDIA,PSC,PSC_CCUS,0
2033,INDIA,CC,CC_Norm,1
2033,INDIA,LC3,LC3_Norm,1
2034,INDIA,OPC,OPC_Norm,1
2034,INDIA,OPC,OPC_CCUS,0
2034,INDIA,PPC,PPC_Norm,1
2034,INDIA,PPC,PPC_CCUS,0
2034,INDIA,PSC,PSC_Norm,1
2034,INDIA,PSC,PSC_CCUS,0
2034,INDIA,CC,CC_Norm,1
2034,INDIA,LC3,LC3_Norm,1
2035,INDIA,OPC,OPC_Norm,1
2035,INDIA,OPC,OPC_CCUS,0
2035,INDIA,PPC,PPC_Norm,1
2035,INDIA,PPC,PPC_CCUS,0
2035,INDIA,PSC,PSC_Norm,1
2035,INDIA,PSC,PSC_CCUS,0
2035,INDIA,CC,CC_Norm,1
2035,INDIA,LC3,LC3_Norm,1
2036,INDIA,OPC,OPC_Norm,1
2036,INDIA,OPC,OPC_CCUS,0
2036,INDIA,PPC,PPC_Norm,1
2036,INDIA,PPC,PPC_CCUS,0
2036,INDIA,PSC,PSC_Norm,1
2036,INDIA,PSC,PSC_CCUS,0
2036,INDIA,CC,CC_Norm,1
2036,INDIA,LC3,LC3_Norm,1
2037,INDIA,OPC,OPC_Norm,1
2037,INDIA,OPC,OPC_CCUS,0
2037,INDIA,PPC,PPC_Norm,1
2037,INDIA,PPC,PPC_CCUS,0
2037,INDIA,PSC,PSC_Norm,1
2037,INDIA,PSC,PSC_CCUS,0
2037,INDIA,CC,CC_Norm,1
2037,INDIA,LC3,LC3_Norm,1
2038,INDIA,OPC,OPC_Norm,1
2038,INDIA,OPC,OPC_CCUS,0
2038,INDIA,PPC,PPC_Norm,1
2038,INDIA,PPC,PPC_CCUS,0
2038,INDIA,PSC,PSC_Norm,1
2038,INDIA,PSC,PSC_CCUS,0
2038,INDIA,CC,CC_Norm,1
2038,INDIA,LC3,LC3_Norm,1
2039,INDIA,OPC,OPC_Norm,1
2039,INDIA,OPC,OPC_CCUS,0
2039,INDIA,PPC,PPC_Norm,1
2039,INDIA,PPC,PPC_CCUS,0
2039,INDIA,PSC,PSC_Norm,1
2039,INDIA,PSC,PSC_CCUS,0
2039,INDIA,CC,CC_Norm,1
2039,INDIA,LC3,LC3_Norm,1
2040,INDIA,OPC,OPC_Norm,1
2040,INDIA,OPC,OPC_CCUS,0
2040,INDIA,PPC,PPC_Norm,1
2040,INDIA,PPC,PPC_CCUS,0
2040,INDIA,PSC,PSC_Norm,1
2040,INDIA,PSC,PSC_CCUS,0
2040,INDIA,CC,CC_Norm,1
2040,INDIA,LC3,LC3_Norm,1
2041,INDIA,OPC,OPC_Norm,1
2041,INDIA,OPC,OPC_CCUS,0
2041,INDIA,PPC,PPC_Norm,1
2041,INDIA,PPC,PPC_CCUS,0
2041,INDIA,PSC,PSC_Norm,1
2041,INDIA,PSC,PSC_CCUS,0
2041,INDIA,CC,CC_Norm,1
2041,INDIA,LC3,LC3_Norm,1
