EnergyService,EnergyCarrier,ModelGeography,Year,EnergyDemand
GH2_OTHER_USES,GREEN_H2,INDIA,2024,8.342814617
GH2_OTHER_USES,GREEN_H2,INDIA,2025,13.22257508
GH2_OTHER_USES,GREEN_H2,INDIA,2026,20.95653561
GH2_OTHER_USES,GREEN_H2,INDIA,2027,33.21413434
GH2_OTHER_USES,GREEN_H2,INDIA,2028,52.64127335
GH2_OTHER_USES,GREEN_H2,INDIA,2029,83.4314582
GH2_OTHER_USES,GREEN_H2,INDIA,2030,132.231
GH2_OTHER_USES,GREEN_H2,INDIA,2031,148.45935
GH2_OTHER_USES,GREEN_H2,INDIA,2032,164.6877
GH2_OTHER_USES,GREEN_H2,INDIA,2033,180.91605
GH2_OTHER_USES,GREEN_H2,INDIA,2034,197.1444
GH2_OTHER_USES,GREEN_H2,INDIA,2035,213.37275
GH2_OTHER_USES,GREEN_H2,INDIA,2036,229.6011
GH2_OTHER_USES,GREEN_H2,INDIA,2037,245.82945
GH2_OTHER_USES,GREEN_H2,INDIA,2038,262.0578
GH2_OTHER_USES,GREEN_H2,INDIA,2039,278.28615
GH2_OTHER_USES,GREEN_H2,INDIA,2040,294.5145
GH2_OTHER_USES,GREEN_H2,INDIA,2041,310.74285
