ModelGeography,SubGeography1,SubGeography2,Year,EAF+BOF+IF
INDIA,ER,BR,2022,0
INDIA,ER,JH,2022,0.630416641
INDIA,ER,OD,2022,6.566574902
INDIA,ER,SK,2022,0
INDIA,ER,WB,2022,0.355542139
INDIA,NER,AS,2022,0
INDIA,NER,NE,2022,0
INDIA,NR,DL,2022,0
INDIA,NR,HP,2022,0
INDIA,NR,HR,2022,0.715069172
INDIA,NR,JK,2022,0
INDIA,NR,PB,2022,0.390398619
INDIA,NR,RJ,2022,0
INDIA,NR,UK,2022,0
INDIA,NR,UP,2022,0
INDIA,SR,AP,2022,0
INDIA,SR,KA,2022,3.788026226
INDIA,SR,KL,2022,0
INDIA,SR,TN,2022,0.110050556
INDIA,SR,TS,2022,0
INDIA,WR,CG,2022,3.954782246
INDIA,WR,GA,2022,0
INDIA,WR,GJ,2022,7.549849748
INDIA,WR,MH,2022,6.438599883
INDIA,WR,MP,2022,0
INDIA,ER,BR,2023,0
INDIA,ER,JH,2023,0.667864859
INDIA,ER,OD,2023,6.963992075
INDIA,ER,SK,2023,0
INDIA,ER,WB,2023,0.376496836
INDIA,NER,AS,2023,0
INDIA,NER,NE,2023,0
INDIA,NR,DL,2023,0
INDIA,NR,HP,2023,0
INDIA,NR,HR,2023,0.758226799
INDIA,NR,JK,2023,0
INDIA,NR,PB,2023,0.41471155
INDIA,NR,RJ,2023,0
INDIA,NR,UK,2023,0
INDIA,NR,UP,2023,0
INDIA,SR,AP,2023,0
INDIA,SR,KA,2023,4.006477931
INDIA,SR,KL,2023,0
INDIA,SR,TN,2023,0.115435553
INDIA,SR,TS,2023,0
INDIA,WR,CG,2023,4.195262725
INDIA,WR,GA,2023,0
INDIA,WR,GJ,2023,8.003182211
INDIA,WR,MH,2023,6.827390883
INDIA,WR,MP,2023,0
INDIA,ER,BR,2024,0
INDIA,ER,JH,2024,0.709184963
INDIA,ER,OD,2024,7.384764039
INDIA,ER,SK,2024,0
INDIA,ER,WB,2024,0.399636544
INDIA,NER,AS,2024,0
INDIA,NER,NE,2024,0
INDIA,NR,DL,2024,0
INDIA,NR,HP,2024,0
INDIA,NR,HR,2024,0.803777093
INDIA,NR,JK,2024,0
INDIA,NR,PB,2024,0.439424597
INDIA,NR,RJ,2024,0
INDIA,NR,UK,2024,0
INDIA,NR,UP,2024,0
INDIA,SR,AP,2024,0
INDIA,SR,KA,2024,4.237379346
INDIA,SR,KL,2024,0
INDIA,SR,TN,2024,0.123494168
INDIA,SR,TS,2024,0
INDIA,WR,CG,2024,4.448050047
INDIA,WR,GA,2024,0
INDIA,WR,GJ,2024,8.48195631
INDIA,WR,MH,2024,7.240749843
INDIA,WR,MP,2024,0
INDIA,ER,BR,2025,0
INDIA,ER,JH,2025,0.74991584
INDIA,ER,OD,2025,7.815634535
INDIA,ER,SK,2025,0
INDIA,ER,WB,2025,0.423414494
INDIA,NER,AS,2025,0
INDIA,NER,NE,2025,0
INDIA,NR,DL,2025,0
INDIA,NR,HP,2025,0
INDIA,NR,HR,2025,0.851506859
INDIA,NR,JK,2025,0
INDIA,NR,PB,2025,0.464854263
INDIA,NR,RJ,2025,0
INDIA,NR,UK,2025,0
INDIA,NR,UP,2025,0
INDIA,SR,AP,2025,0
INDIA,SR,KA,2025,4.404655023
INDIA,SR,KL,2025,0
INDIA,SR,TN,2025,0.130666645
INDIA,SR,TS,2025,0
INDIA,WR,CG,2025,4.706693883
INDIA,WR,GA,2025,0
INDIA,WR,GJ,2025,8.935172315
INDIA,WR,MH,2025,7.663578539
INDIA,WR,MP,2025,0
INDIA,ER,BR,2026,0
INDIA,ER,JH,2026,0.79346494
INDIA,ER,OD,2026,8.268455496
INDIA,ER,SK,2026,0
INDIA,ER,WB,2026,0.448218519
INDIA,NER,AS,2026,0
INDIA,NER,NE,2026,0
INDIA,NR,DL,2026,0
INDIA,NR,HP,2026,0
INDIA,NR,HR,2026,0.899299406
INDIA,NR,JK,2026,0
INDIA,NR,PB,2026,0.492411016
INDIA,NR,RJ,2026,0
INDIA,NR,UK,2026,0
INDIA,NR,UP,2026,0
INDIA,SR,AP,2026,0
INDIA,SR,KA,2026,4.578246635
INDIA,SR,KL,2026,0
INDIA,SR,TN,2026,0.13815545
INDIA,SR,TS,2026,0
INDIA,WR,CG,2026,4.979752125
INDIA,WR,GA,2026,0
INDIA,WR,GJ,2026,9.410849164
INDIA,WR,MH,2026,8.106988206
INDIA,WR,MP,2026,0
INDIA,ER,BR,2027,0
INDIA,ER,JH,2027,0.838859055
INDIA,ER,OD,2027,8.750816086
INDIA,ER,SK,2027,0
INDIA,ER,WB,2027,0.473806426
INDIA,NER,AS,2027,0
INDIA,NER,NE,2027,0
INDIA,NR,DL,2027,0
INDIA,NR,HP,2027,0
INDIA,NR,HR,2027,0.952647115
INDIA,NR,JK,2027,0
INDIA,NR,PB,2027,0.520631929
INDIA,NR,RJ,2027,0
INDIA,NR,UK,2027,0
INDIA,NR,UP,2027,0
INDIA,SR,AP,2027,0
INDIA,SR,KA,2027,4.735352507
INDIA,SR,KL,2027,0
INDIA,SR,TN,2027,0.145269339
INDIA,SR,TS,2027,0
INDIA,WR,CG,2027,5.271281845
INDIA,WR,GA,2027,0
INDIA,WR,GJ,2027,9.905460733
INDIA,WR,MH,2027,8.57937543
INDIA,WR,MP,2027,0
INDIA,ER,BR,2028,0
INDIA,ER,JH,2028,0.884775523
INDIA,ER,OD,2028,9.220775887
INDIA,ER,SK,2028,0
INDIA,ER,WB,2028,0.499560456
INDIA,NER,AS,2028,0
INDIA,NER,NE,2028,0
INDIA,NR,DL,2028,0
INDIA,NR,HP,2028,0
INDIA,NR,HR,2028,1.00431843
INDIA,NR,JK,2028,0
INDIA,NR,PB,2028,0.547936874
INDIA,NR,RJ,2028,0
INDIA,NR,UK,2028,0
INDIA,NR,UP,2028,0
INDIA,SR,AP,2028,0
INDIA,SR,KA,2028,4.990325503
INDIA,SR,KL,2028,0
INDIA,SR,TN,2028,0.154126151
INDIA,SR,TS,2028,0
INDIA,WR,CG,2028,5.553535231
INDIA,WR,GA,2028,0
INDIA,WR,GJ,2028,10.43725674
INDIA,WR,MH,2028,9.041662148
INDIA,WR,MP,2028,0
INDIA,ER,BR,2029,0
INDIA,ER,JH,2029,0.933031146
INDIA,ER,OD,2029,9.714693046
INDIA,ER,SK,2029,0
INDIA,ER,WB,2029,0.526070208
INDIA,NER,AS,2029,0
INDIA,NER,NE,2029,0
INDIA,NR,DL,2029,0
INDIA,NR,HP,2029,0
INDIA,NR,HR,2029,1.05750902
INDIA,NR,JK,2029,0
INDIA,NR,PB,2029,0.578071939
INDIA,NR,RJ,2029,0
INDIA,NR,UK,2029,0
INDIA,NR,UP,2029,0
INDIA,SR,AP,2029,0
INDIA,SR,KA,2029,5.257950298
INDIA,SR,KL,2029,0
INDIA,SR,TN,2029,0.162215945
INDIA,SR,TS,2029,0
INDIA,WR,CG,2029,5.851195531
INDIA,WR,GA,2029,0
INDIA,WR,GJ,2029,10.997386
INDIA,WR,MH,2029,9.525634085
INDIA,WR,MP,2029,0
INDIA,ER,BR,2030,0
INDIA,ER,JH,2030,0.981686399
INDIA,ER,OD,2030,10.23219786
INDIA,ER,SK,2030,0
INDIA,ER,WB,2030,0.55336981
INDIA,NER,AS,2030,0
INDIA,NER,NE,2030,0
INDIA,NR,DL,2030,0
INDIA,NR,HP,2030,0
INDIA,NR,HR,2030,1.114287493
INDIA,NR,JK,2030,0
INDIA,NR,PB,2030,0.60907461
INDIA,NR,RJ,2030,0
INDIA,NR,UK,2030,0
INDIA,NR,UP,2030,0
INDIA,SR,AP,2030,0
INDIA,SR,KA,2030,5.537436963
INDIA,SR,KL,2030,0
INDIA,SR,TN,2030,0.170549242
INDIA,SR,TS,2030,0
INDIA,WR,CG,2030,6.162642391
INDIA,WR,GA,2030,0
INDIA,WR,GJ,2030,11.58149579
INDIA,WR,MH,2030,10.03190925
INDIA,WR,MP,2030,0
INDIA,ER,BR,2031,0
INDIA,ER,JH,2031,1.050126057
INDIA,ER,OD,2031,10.94821588
INDIA,ER,SK,2031,0
INDIA,ER,WB,2031,0.592576986
INDIA,NER,AS,2031,0
INDIA,NER,NE,2031,0
INDIA,NR,DL,2031,0
INDIA,NR,HP,2031,0
INDIA,NR,HR,2031,1.191973422
INDIA,NR,JK,2031,0
INDIA,NR,PB,2031,0.650861767
INDIA,NR,RJ,2031,0
INDIA,NR,UK,2031,0
INDIA,NR,UP,2031,0
INDIA,SR,AP,2031,0
INDIA,SR,KA,2031,5.391753673
INDIA,SR,KL,2031,0
INDIA,SR,TN,2031,0.182628656
INDIA,SR,TS,2031,0
INDIA,WR,CG,2031,6.595180248
INDIA,WR,GA,2031,0
INDIA,WR,GJ,2031,12.12254951
INDIA,WR,MH,2031,10.73448997
INDIA,WR,MP,2031,0
INDIA,ER,BR,2032,0
INDIA,ER,JH,2032,1.101396612
INDIA,ER,OD,2032,11.47386615
INDIA,ER,SK,2032,0
INDIA,ER,WB,2032,0.621530837
INDIA,NER,AS,2032,0
INDIA,NER,NE,2032,0
INDIA,NR,DL,2032,0
INDIA,NR,HP,2032,0
INDIA,NR,HR,2032,1.249046449
INDIA,NR,JK,2032,0
INDIA,NR,PB,2032,0.682386204
INDIA,NR,RJ,2032,0
INDIA,NR,UK,2032,0
INDIA,NR,UP,2032,0
INDIA,SR,AP,2032,0
INDIA,SR,KA,2032,5.622956652
INDIA,SR,KL,2032,0
INDIA,SR,TN,2032,0.191547071
INDIA,SR,TS,2032,0
INDIA,WR,CG,2032,6.910656509
INDIA,WR,GA,2032,0
INDIA,WR,GJ,2032,12.72913537
INDIA,WR,MH,2032,11.2643952
INDIA,WR,MP,2032,0
INDIA,ER,BR,2033,0
INDIA,ER,JH,2033,1.152799768
INDIA,ER,OD,2033,12.01858852
INDIA,ER,SK,2033,0
INDIA,ER,WB,2033,0.650816828
INDIA,NER,AS,2033,0
INDIA,NER,NE,2033,0
INDIA,NR,DL,2033,0
INDIA,NR,HP,2033,0
INDIA,NR,HR,2033,1.307807924
INDIA,NR,JK,2033,0
INDIA,NR,PB,2033,0.715472371
INDIA,NR,RJ,2033,0
