ModelGeography,SubGeography1,SubGeography2,Year,IF+EAF+BOF
INDIA,ER,BR,2022,0.529
INDIA,ER,JH,2022,1.399
INDIA,ER,OD,2022,2.66
INDIA,ER,SK,2022,0
INDIA,ER,WB,2022,3.994
INDIA,NER,AS,2022,0.108
INDIA,NER,NE,2022,0.142
INDIA,NR,DL,2022,0.005
INDIA,NR,HP,2022,1.265
INDIA,NR,HR,2022,0.165
INDIA,NR,JK,2022,0.146
INDIA,NR,PB,2022,3.239
INDIA,NR,RJ,2022,0.621
INDIA,NR,UK,2022,0.991
INDIA,NR,UP,2022,1.197
INDIA,SR,AP,2022,1.529
INDIA,SR,KA,2022,0.906
INDIA,SR,KL,2022,0.325
INDIA,SR,TN,2022,1.988
INDIA,SR,TS,2022,1.464
INDIA,WR,CG,2022,5.731
INDIA,WR,GA,2022,0.407
INDIA,WR,GJ,2022,2.167
INDIA,WR,MH,2022,3.663
INDIA,WR,MP,2022,0.569
INDIA,ER,BR,2023,0.539
INDIA,ER,JH,2023,1.427
INDIA,ER,OD,2023,2.713
INDIA,ER,SK,2023,0
INDIA,ER,WB,2023,4.074
INDIA,NER,AS,2023,0.11
INDIA,NER,NE,2023,0.145
INDIA,NR,DL,2023,0.005
INDIA,NR,HP,2023,1.29
INDIA,NR,HR,2023,0.168
INDIA,NR,JK,2023,0.148
INDIA,NR,PB,2023,3.304
INDIA,NR,RJ,2023,0.633
INDIA,NR,UK,2023,1.011
INDIA,NR,UP,2023,1.221
INDIA,SR,AP,2023,1.559
INDIA,SR,KA,2023,0.924
INDIA,SR,KL,2023,0.331
INDIA,SR,TN,2023,2.028
INDIA,SR,TS,2023,1.493
INDIA,WR,CG,2023,5.846
INDIA,WR,GA,2023,0.415
INDIA,WR,GJ,2023,2.211
INDIA,WR,MH,2023,3.736
INDIA,WR,MP,2023,0.58
INDIA,ER,BR,2024,0.55
INDIA,ER,JH,2024,1.455
INDIA,ER,OD,2024,2.768
INDIA,ER,SK,2024,0
INDIA,ER,WB,2024,4.156
INDIA,NER,AS,2024,0.113
INDIA,NER,NE,2024,0.147
INDIA,NR,DL,2024,0.005
INDIA,NR,HP,2024,1.316
INDIA,NR,HR,2024,0.172
INDIA,NR,JK,2024,0.152
INDIA,NR,PB,2024,3.37
INDIA,NR,RJ,2024,0.646
INDIA,NR,UK,2024,1.031
INDIA,NR,UP,2024,1.245
INDIA,SR,AP,2024,1.59
INDIA,SR,KA,2024,0.943
INDIA,SR,KL,2024,0.338
INDIA,SR,TN,2024,2.068
INDIA,SR,TS,2024,1.523
INDIA,WR,CG,2024,5.962
INDIA,WR,GA,2024,0.424
INDIA,WR,GJ,2024,2.255
INDIA,WR,MH,2024,3.811
INDIA,WR,MP,2024,0.592
INDIA,ER,BR,2025,0.567
INDIA,ER,JH,2025,1.5
INDIA,ER,OD,2025,2.851
INDIA,ER,SK,2025,0
INDIA,ER,WB,2025,4.28
INDIA,NER,AS,2025,0.116
INDIA,NER,NE,2025,0.153
INDIA,NR,DL,2025,0.006
INDIA,NR,HP,2025,1.355
INDIA,NR,HR,2025,0.176
INDIA,NR,JK,2025,0.157
INDIA,NR,PB,2025,3.471
INDIA,NR,RJ,2025,0.666
INDIA,NR,UK,2025,1.062
INDIA,NR,UP,2025,1.283
INDIA,SR,AP,2025,1.638
INDIA,SR,KA,2025,0.971
INDIA,SR,KL,2025,0.348
INDIA,SR,TN,2025,2.131
INDIA,SR,TS,2025,1.568
INDIA,WR,CG,2025,6.142
INDIA,WR,GA,2025,0.436
INDIA,WR,GJ,2025,2.322
INDIA,WR,MH,2025,3.925
INDIA,WR,MP,2025,0.61
INDIA,ER,BR,2026,0.583
INDIA,ER,JH,2026,1.545
INDIA,ER,OD,2026,2.936
INDIA,ER,SK,2026,0
INDIA,ER,WB,2026,4.409
INDIA,NER,AS,2026,0.119
INDIA,NER,NE,2026,0.157
INDIA,NR,DL,2026,0.006
INDIA,NR,HP,2026,1.396
INDIA,NR,HR,2026,0.182
INDIA,NR,JK,2026,0.161
INDIA,NR,PB,2026,3.575
INDIA,NR,RJ,2026,0.685
INDIA,NR,UK,2026,1.094
INDIA,NR,UP,2026,1.321
INDIA,SR,AP,2026,1.688
INDIA,SR,KA,2026,1
INDIA,SR,KL,2026,0.359
INDIA,SR,TN,2026,2.194
INDIA,SR,TS,2026,1.616
INDIA,WR,CG,2026,6.325
INDIA,WR,GA,2026,0.449
INDIA,WR,GJ,2026,2.391
INDIA,WR,MH,2026,4.043
INDIA,WR,MP,2026,0.628
INDIA,ER,BR,2027,0.602
INDIA,ER,JH,2027,1.59
INDIA,ER,OD,2027,3.024
INDIA,ER,SK,2027,0
INDIA,ER,WB,2027,4.541
INDIA,NER,AS,2027,0.123
INDIA,NER,NE,2027,0.162
INDIA,NR,DL,2027,0.006
INDIA,NR,HP,2027,1.438
INDIA,NR,HR,2027,0.188
INDIA,NR,JK,2027,0.166
INDIA,NR,PB,2027,3.682
INDIA,NR,RJ,2027,0.706
INDIA,NR,UK,2027,1.127
