ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2024,0.56189604
INDIA,ER,BR,RURAL,2025,0.534437811
INDIA,ER,BR,RURAL,2026,0.505332444
INDIA,ER,BR,RURAL,2027,0.474549261
INDIA,ER,BR,RURAL,2028,0.447404355
INDIA,ER,BR,RURAL,2029,0.418930088
INDIA,ER,BR,RURAL,2030,0.389064621
INDIA,ER,BR,RURAL,2031,0.357744373
INDIA,ER,BR,RURAL,2032,0.324985958
INDIA,ER,BR,RURAL,2033,0.290707689
INDIA,ER,BR,RURAL,2034,0.254781177
INDIA,ER,BR,RURAL,2035,0.217130655
INDIA,ER,BR,RURAL,2036,0.185571941
INDIA,ER,BR,RURAL,2037,0.152828603
INDIA,ER,BR,RURAL,2038,0.118960299
INDIA,ER,BR,RURAL,2039,0.083859168
INDIA,ER,BR,RURAL,2040,0.052031857
INDIA,ER,BR,RURAL,2041,0.019212398
INDIA,ER,BR,URBAN,2024,0.125695651
INDIA,ER,BR,URBAN,2025,0.09390223
INDIA,ER,BR,URBAN,2026,0.065144291
INDIA,ER,BR,URBAN,2027,0.035609628
INDIA,ER,BR,URBAN,2028,0.005258295
INDIA,ER,BR,URBAN,2029,0
INDIA,ER,BR,URBAN,2030,0
INDIA,ER,BR,URBAN,2031,0
INDIA,ER,BR,URBAN,2032,0
INDIA,ER,BR,URBAN,2033,0
INDIA,ER,BR,URBAN,2034,0
INDIA,ER,BR,URBAN,2035,0
INDIA,ER,BR,URBAN,2036,0
INDIA,ER,BR,URBAN,2037,0
INDIA,ER,BR,URBAN,2038,0
INDIA,ER,BR,URBAN,2039,0
INDIA,ER,BR,URBAN,2040,0
INDIA,ER,BR,URBAN,2041,0
INDIA,ER,JH,RURAL,2024,0.758306442
INDIA,ER,JH,RURAL,2025,0.747247964
INDIA,ER,JH,RURAL,2026,0.736610002
INDIA,ER,JH,RURAL,2027,0.725593834
INDIA,ER,JH,RURAL,2028,0.714177023
INDIA,ER,JH,RURAL,2029,0.702326921
INDIA,ER,JH,RURAL,2030,0.690028574
INDIA,ER,JH,RURAL,2031,0.677267118
INDIA,ER,JH,RURAL,2032,0.664073318
INDIA,ER,JH,RURAL,2033,0.650423205
INDIA,ER,JH,RURAL,2034,0.636268805
INDIA,ER,JH,RURAL,2035,0.621592933
INDIA,ER,JH,RURAL,2036,0.606380668
INDIA,ER,JH,RURAL,2037,0.590615333
INDIA,ER,JH,RURAL,2038,0.574346399
INDIA,ER,JH,RURAL,2039,0.557511825
INDIA,ER,JH,RURAL,2040,0.540095211
INDIA,ER,JH,RURAL,2041,0.522080066
INDIA,ER,JH,URBAN,2024,0.236847574
INDIA,ER,JH,URBAN,2025,0.214864037
INDIA,ER,JH,URBAN,2026,0.192325448
INDIA,ER,JH,URBAN,2027,0.169285273
INDIA,ER,JH,URBAN,2028,0.145711943
INDIA,ER,JH,URBAN,2029,0.1215547
INDIA,ER,JH,URBAN,2030,0.096801007
INDIA,ER,JH,URBAN,2031,0.07460943
INDIA,ER,JH,URBAN,2032,0.052031825
INDIA,ER,JH,URBAN,2033,0.02904327
INDIA,ER,JH,URBAN,2034,0.005580738
INDIA,ER,JH,URBAN,2035,0
INDIA,ER,JH,URBAN,2036,0
INDIA,ER,JH,URBAN,2037,0
INDIA,ER,JH,URBAN,2038,0
INDIA,ER,JH,URBAN,2039,0
INDIA,ER,JH,URBAN,2040,0
INDIA,ER,JH,URBAN,2041,0
INDIA,ER,OD,RURAL,2024,0.658368396
INDIA,ER,OD,RURAL,2025,0.636777138
