ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2022,0.003758492
INDIA,ER,BR,RURAL,2023,0.004485051
INDIA,ER,BR,RURAL,2024,0.005291979
INDIA,ER,BR,RURAL,2025,0.006267362
INDIA,ER,BR,RURAL,2026,0.007421245
INDIA,ER,BR,RURAL,2027,0.008784835
INDIA,ER,BR,RURAL,2028,0.010396288
INDIA,ER,BR,RURAL,2029,0.012301221
INDIA,ER,BR,RURAL,2030,0.014552716
INDIA,ER,BR,RURAL,2031,0.017213354
INDIA,ER,BR,RURAL,2032,0.020353505
INDIA,ER,BR,RURAL,2033,0.024059475
INDIA,ER,BR,RURAL,2034,0.028435391
INDIA,ER,BR,RURAL,2035,0.03360156
INDIA,ER,BR,RURAL,2036,0.039699416
INDIA,ER,BR,RURAL,2037,0.046895651
INDIA,ER,BR,RURAL,2038,0.055375897
INDIA,ER,BR,RURAL,2039,0.06537496
INDIA,ER,BR,RURAL,2040,0.077162252
INDIA,ER,BR,RURAL,2041,0.091054458
INDIA,ER,BR,URBAN,2022,0.064931537
INDIA,ER,BR,URBAN,2023,0.072905886
INDIA,ER,BR,URBAN,2024,0.081106333
INDIA,ER,BR,URBAN,2025,0.090504306
INDIA,ER,BR,URBAN,2026,0.100977017
INDIA,ER,BR,URBAN,2027,0.112632889
INDIA,ER,BR,URBAN,2028,0.125607655
INDIA,ER,BR,URBAN,2029,0.140057323
INDIA,ER,BR,URBAN,2030,0.156147449
INDIA,ER,BR,URBAN,2031,0.174061652
INDIA,ER,BR,URBAN,2032,0.193977071
INDIA,ER,BR,URBAN,2033,0.216119504
INDIA,ER,BR,URBAN,2034,0.240755969
INDIA,ER,BR,URBAN,2035,0.268164069
INDIA,ER,BR,URBAN,2036,0.295970256
INDIA,ER,BR,URBAN,2037,0.326620257
INDIA,ER,BR,URBAN,2038,0.360352819
INDIA,ER,BR,URBAN,2039,0.39750778
INDIA,ER,BR,URBAN,2040,0.43842619
INDIA,ER,BR,URBAN,2041,0.483482246
INDIA,ER,JH,RURAL,2022,0.00227416
INDIA,ER,JH,RURAL,2023,0.002551361
INDIA,ER,JH,RURAL,2024,0.002965368
INDIA,ER,JH,RURAL,2025,0.003403523
INDIA,ER,JH,RURAL,2026,0.003905843
INDIA,ER,JH,RURAL,2027,0.004481109
INDIA,ER,JH,RURAL,2028,0.005139967
INDIA,ER,JH,RURAL,2029,0.00589483
INDIA,ER,JH,RURAL,2030,0.006759569
INDIA,ER,JH,RURAL,2031,0.007750025
INDIA,ER,JH,RURAL,2032,0.008883028
INDIA,ER,JH,RURAL,2033,0.01017913
INDIA,ER,JH,RURAL,2034,0.011662648
INDIA,ER,JH,RURAL,2035,0.013360462
INDIA,ER,JH,RURAL,2036,0.015303164
INDIA,ER,JH,RURAL,2037,0.01752572
INDIA,ER,JH,RURAL,2038,0.020064745
INDIA,ER,JH,RURAL,2039,0.022967203
INDIA,ER,JH,RURAL,2040,0.026284491
INDIA,ER,JH,RURAL,2041,0.030075167
INDIA,ER,JH,URBAN,2022,0.088275553
INDIA,ER,JH,URBAN,2023,0.091434217
INDIA,ER,JH,URBAN,2024,0.094827608
INDIA,ER,JH,URBAN,2025,0.098347261
INDIA,ER,JH,URBAN,2026,0.102045581
INDIA,ER,JH,URBAN,2027,0.105946739
INDIA,ER,JH,URBAN,2028,0.110082953
INDIA,ER,JH,URBAN,2029,0.114496977
INDIA,ER,JH,URBAN,2030,0.119244744
INDIA,ER,JH,URBAN,2031,0.124400851
INDIA,ER,JH,URBAN,2032,0.129965247
INDIA,ER,JH,URBAN,2033,0.136130341
INDIA,ER,JH,URBAN,2034,0.14306933
INDIA,ER,JH,URBAN,2035,0.151017586
INDIA,ER,JH,URBAN,2036,0.159849797
INDIA,ER,JH,URBAN,2037,0.169734903
INDIA,ER,JH,URBAN,2038,0.180862711
INDIA,ER,JH,URBAN,2039,0.193506617
INDIA,ER,JH,URBAN,2040,0.207997562
INDIA,ER,JH,URBAN,2041,0.223534268
INDIA,ER,OD,RURAL,2022,0.005021093
INDIA,ER,OD,RURAL,2023,0.006748037
INDIA,ER,OD,RURAL,2024,0.008370788
INDIA,ER,OD,RURAL,2025,0.010319597
INDIA,ER,OD,RURAL,2026,0.012720093
INDIA,ER,OD,RURAL,2027,0.015674483
INDIA,ER,OD,RURAL,2028,0.019310467
INDIA,ER,OD,RURAL,2029,0.02378611
INDIA,ER,OD,RURAL,2030,0.029294479
INDIA,ER,OD,RURAL,2031,0.036072778
INDIA,ER,OD,RURAL,2032,0.044405544
INDIA,ER,OD,RURAL,2033,0.054648464
INDIA,ER,OD,RURAL,2034,0.067243547
INDIA,ER,OD,RURAL,2035,0.082728693
INDIA,ER,OD,RURAL,2036,0.101256822
INDIA,ER,OD,RURAL,2037,0.123915964
INDIA,ER,OD,RURAL,2038,0.15159791
INDIA,ER,OD,RURAL,2039,0.185428194
INDIA,ER,OD,RURAL,2040,0.226764584
INDIA,ER,OD,RURAL,2041,0.277262819
INDIA,ER,OD,URBAN,2022,0.101272343
INDIA,ER,OD,URBAN,2023,0.111696306
INDIA,ER,OD,URBAN,2024,0.125536692
INDIA,ER,OD,URBAN,2025,0.14039453
INDIA,ER,OD,URBAN,2026,0.156990959
INDIA,ER,OD,URBAN,2027,0.175509075
INDIA,ER,OD,URBAN,2028,0.196174215
INDIA,ER,OD,URBAN,2029,0.219244766
INDIA,ER,OD,URBAN,2030,0.242849627
INDIA,ER,OD,URBAN,2031,0.26896738
INDIA,ER,OD,URBAN,2032,0.297831303
INDIA,ER,OD,URBAN,2033,0.329733157
INDIA,ER,OD,URBAN,2034,0.365013711
INDIA,ER,OD,URBAN,2035,0.404027274
INDIA,ER,OD,URBAN,2036,0.447162558
INDIA,ER,OD,URBAN,2037,0.494849379
INDIA,ER,OD,URBAN,2038,0.547496692
INDIA,ER,OD,URBAN,2039,0.600453221
INDIA,ER,OD,URBAN,2040,0.658458413
INDIA,ER,OD,URBAN,2041,0.721986449
INDIA,ER,SK,RURAL,2022,2.32414E-06
INDIA,ER,SK,RURAL,2023,3.9631E-06
INDIA,ER,SK,RURAL,2024,6.64217E-06
INDIA,ER,SK,RURAL,2025,1.13274E-05
INDIA,ER,SK,RURAL,2026,1.9314E-05
INDIA,ER,SK,RURAL,2027,3.29209E-05
INDIA,ER,SK,RURAL,2028,5.60991E-05
INDIA,ER,SK,RURAL,2029,9.55789E-05
INDIA,ER,SK,RURAL,2030,0.000162814
INDIA,ER,SK,RURAL,2031,0.000277295
INDIA,ER,SK,RURAL,2032,0.000472106
INDIA,ER,SK,RURAL,2033,0.000803535
INDIA,ER,SK,RURAL,2034,0.001367391
INDIA,ER,SK,RURAL,2035,0.002326511
INDIA,ER,SK,RURAL,2036,0.003957662
INDIA,ER,SK,RURAL,2037,0.006731204
INDIA,ER,SK,RURAL,2038,0.011444051
INDIA,ER,SK,RURAL,2039,0.01945204
