ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2024,0.952772009
INDIA,ER,BR,RURAL,2025,0.949324323
INDIA,ER,BR,RURAL,2026,0.94563431
INDIA,ER,BR,RURAL,2027,0.94169375
INDIA,ER,BR,RURAL,2028,0.937483716
INDIA,ER,BR,RURAL,2029,0.932981229
INDIA,ER,BR,RURAL,2030,0.928166725
INDIA,ER,BR,RURAL,2031,0.923019541
INDIA,ER,BR,RURAL,2032,0.917531597
INDIA,ER,BR,RURAL,2033,0.911678202
INDIA,ER,BR,RURAL,2034,0.90542544
INDIA,ER,BR,RURAL,2035,0.89874699
INDIA,ER,BR,RURAL,2036,0.891615797
INDIA,ER,BR,RURAL,2037,0.884002717
INDIA,ER,BR,RURAL,2038,0.875900681
INDIA,ER,BR,RURAL,2039,0.867262561
INDIA,ER,BR,RURAL,2040,0.858054944
INDIA,ER,BR,RURAL,2041,0.84824257
INDIA,ER,BR,URBAN,2024,0.717669183
INDIA,ER,BR,URBAN,2025,0.701298885
INDIA,ER,BR,URBAN,2026,0.683727788
INDIA,ER,BR,URBAN,2027,0.66520835
INDIA,ER,BR,URBAN,2028,0.645679402
INDIA,ER,BR,URBAN,2029,0.625064113
INDIA,ER,BR,URBAN,2030,0.603304768
INDIA,ER,BR,URBAN,2031,0.580341441
INDIA,ER,BR,URBAN,2032,0.556172426
INDIA,ER,BR,URBAN,2033,0.53072357
INDIA,ER,BR,URBAN,2034,0.503884563
INDIA,ER,BR,URBAN,2035,0.475582516
INDIA,ER,BR,URBAN,2036,0.45071778
INDIA,ER,BR,URBAN,2037,0.424743565
INDIA,ER,BR,URBAN,2038,0.397693998
INDIA,ER,BR,URBAN,2039,0.369469937
INDIA,ER,BR,URBAN,2040,0.340024899
INDIA,ER,BR,URBAN,2041,0.309311077
INDIA,ER,JH,RURAL,2024,0.615431084
INDIA,ER,JH,RURAL,2025,0.636482743
INDIA,ER,JH,RURAL,2026,0.658176761
INDIA,ER,JH,RURAL,2027,0.680466961
INDIA,ER,JH,RURAL,2028,0.703388746
INDIA,ER,JH,RURAL,2029,0.726996837
