ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,INDIA,ER,BR,2024,2.463187411
LIGHT_ELEC,RURAL,INDIA,ER,BR,2025,2.465559583
LIGHT_ELEC,RURAL,INDIA,ER,BR,2026,2.469831963
LIGHT_ELEC,RURAL,INDIA,ER,BR,2027,2.474111746
LIGHT_ELEC,RURAL,INDIA,ER,BR,2028,2.478398946
LIGHT_ELEC,RURAL,INDIA,ER,BR,2029,2.482693574
LIGHT_ELEC,RURAL,INDIA,ER,BR,2030,2.486995644
LIGHT_ELEC,RURAL,INDIA,ER,BR,2031,2.491305169
LIGHT_ELEC,RURAL,INDIA,ER,BR,2032,2.495622162
LIGHT_ELEC,RURAL,INDIA,ER,BR,2033,2.499946635
LIGHT_ELEC,RURAL,INDIA,ER,BR,2034,2.504278602
LIGHT_ELEC,RURAL,INDIA,ER,BR,2035,2.508618075
LIGHT_ELEC,RURAL,INDIA,ER,BR,2036,2.512965068
LIGHT_ELEC,RURAL,INDIA,ER,BR,2037,2.517319593
LIGHT_ELEC,RURAL,INDIA,ER,BR,2038,2.521681664
LIGHT_ELEC,RURAL,INDIA,ER,BR,2039,2.526051294
LIGHT_ELEC,RURAL,INDIA,ER,BR,2040,2.530428496
LIGHT_ELEC,RURAL,INDIA,ER,BR,2041,2.534813282
LIGHT_ELEC,RURAL,INDIA,ER,JH,2024,2.463187411
LIGHT_ELEC,RURAL,INDIA,ER,JH,2025,2.465559583
LIGHT_ELEC,RURAL,INDIA,ER,JH,2026,2.469831963
LIGHT_ELEC,RURAL,INDIA,ER,JH,2027,2.474111746
LIGHT_ELEC,RURAL,INDIA,ER,JH,2028,2.478398946
LIGHT_ELEC,RURAL,INDIA,ER,JH,2029,2.482693574
LIGHT_ELEC,RURAL,INDIA,ER,JH,2030,2.486995644
LIGHT_ELEC,RURAL,INDIA,ER,JH,2031,2.491305169
LIGHT_ELEC,RURAL,INDIA,ER,JH,2032,2.495622162
LIGHT_ELEC,RURAL,INDIA,ER,JH,2033,2.499946635
LIGHT_ELEC,RURAL,INDIA,ER,JH,2034,2.504278602
LIGHT_ELEC,RURAL,INDIA,ER,JH,2035,2.508618075
LIGHT_ELEC,RURAL,INDIA,ER,JH,2036,2.512965068
LIGHT_ELEC,RURAL,INDIA,ER,JH,2037,2.517319593
LIGHT_ELEC,RURAL,INDIA,ER,JH,2038,2.521681664
LIGHT_ELEC,RURAL,INDIA,ER,JH,2039,2.526051294
LIGHT_ELEC,RURAL,INDIA,ER,JH,2040,2.530428496
LIGHT_ELEC,RURAL,INDIA,ER,JH,2041,2.534813282
LIGHT_ELEC,RURAL,INDIA,ER,OD,2024,2.463187411
LIGHT_ELEC,RURAL,INDIA,ER,OD,2025,2.465559583
LIGHT_ELEC,RURAL,INDIA,ER,OD,2026,2.469831963
LIGHT_ELEC,RURAL,INDIA,ER,OD,2027,2.474111746
LIGHT_ELEC,RURAL,INDIA,ER,OD,2028,2.478398946
LIGHT_ELEC,RURAL,INDIA,ER,OD,2029,2.482693574
LIGHT_ELEC,RURAL,INDIA,ER,OD,2030,2.486995644
LIGHT_ELEC,RURAL,INDIA,ER,OD,2031,2.491305169
LIGHT_ELEC,RURAL,INDIA,ER,OD,2032,2.495622162
LIGHT_ELEC,RURAL,INDIA,ER,OD,2033,2.499946635
LIGHT_ELEC,RURAL,INDIA,ER,OD,2034,2.504278602
LIGHT_ELEC,RURAL,INDIA,ER,OD,2035,2.508618075
LIGHT_ELEC,RURAL,INDIA,ER,OD,2036,2.512965068
LIGHT_ELEC,RURAL,INDIA,ER,OD,2037,2.517319593
LIGHT_ELEC,RURAL,INDIA,ER,OD,2038,2.521681664
LIGHT_ELEC,RURAL,INDIA,ER,OD,2039,2.526051294
LIGHT_ELEC,RURAL,INDIA,ER,OD,2040,2.530428496
LIGHT_ELEC,RURAL,INDIA,ER,OD,2041,2.534813282
LIGHT_ELEC,RURAL,INDIA,ER,WB,2024,2.502994995
LIGHT_ELEC,RURAL,INDIA,ER,WB,2025,2.505405503
LIGHT_ELEC,RURAL,INDIA,ER,WB,2026,2.509746929
LIGHT_ELEC,RURAL,INDIA,ER,WB,2027,2.514095878
LIGHT_ELEC,RURAL,INDIA,ER,WB,2028,2.518452363
