ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2024,0.085770467
INDIA,ER,BR,RURAL,2025,0.091973348
INDIA,ER,BR,RURAL,2026,0.098607994
INDIA,ER,BR,RURAL,2027,0.105688635
INDIA,ER,BR,RURAL,2028,0.113248712
INDIA,ER,BR,RURAL,2029,0.121328872
INDIA,ER,BR,RURAL,2030,0.129963561
INDIA,ER,BR,RURAL,2031,0.139189129
INDIA,ER,BR,RURAL,2032,0.149019318
INDIA,ER,BR,RURAL,2033,0.159497605
INDIA,ER,BR,RURAL,2034,0.170683882
INDIA,ER,BR,RURAL,2035,0.182624348
INDIA,ER,BR,RURAL,2036,0.195366428
INDIA,ER,BR,RURAL,2037,0.208961195
INDIA,ER,BR,RURAL,2038,0.223420234
INDIA,ER,BR,RURAL,2039,0.238826584
INDIA,ER,BR,RURAL,2040,0.255238675
INDIA,ER,BR,RURAL,2041,0.271373551
INDIA,ER,BR,URBAN,2024,0.418278169
INDIA,ER,BR,URBAN,2025,0.442370782
INDIA,ER,BR,URBAN,2026,0.467786663
INDIA,ER,BR,URBAN,2027,0.494539589
INDIA,ER,BR,URBAN,2028,0.522714465
INDIA,ER,BR,URBAN,2029,0.547467758
INDIA,ER,BR,URBAN,2030,0.573327419
INDIA,ER,BR,URBAN,2031,0.600339373
INDIA,ER,BR,URBAN,2032,0.628480089
INDIA,ER,BR,URBAN,2033,0.65781069
INDIA,ER,BR,URBAN,2034,0.688431318
INDIA,ER,BR,URBAN,2035,0.720396058
INDIA,ER,BR,URBAN,2036,0.753756724
INDIA,ER,BR,URBAN,2037,0.781606697
INDIA,ER,BR,URBAN,2038,0.810323349
INDIA,ER,BR,URBAN,2039,0.839992652
INDIA,ER,BR,URBAN,2040,0.870642513
INDIA,ER,BR,URBAN,2041,0.902301197
INDIA,ER,JH,RURAL,2024,0.062728751
INDIA,ER,JH,RURAL,2025,0.065757832
INDIA,ER,JH,RURAL,2026,0.068922203
INDIA,ER,JH,RURAL,2027,0.072218047
INDIA,ER,JH,RURAL,2028,0.075653412
INDIA,ER,JH,RURAL,2029,0.079239571
INDIA,ER,JH,RURAL,2030,0.08298262
INDIA,ER,JH,RURAL,2031,0.086888707
INDIA,ER,JH,RURAL,2032,0.090950017
INDIA,ER,JH,RURAL,2033,0.095175445
INDIA,ER,JH,RURAL,2034,0.0995815
INDIA,ER,JH,RURAL,2035,0.104175365
INDIA,ER,JH,RURAL,2036,0.108963604
INDIA,ER,JH,RURAL,2037,0.113953419
INDIA,ER,JH,RURAL,2038,0.119131049
INDIA,ER,JH,RURAL,2039,0.124518049
INDIA,ER,JH,RURAL,2040,0.130121693
INDIA,ER,JH,RURAL,2041,0.135949373
INDIA,ER,JH,URBAN,2024,0.423001101
INDIA,ER,JH,URBAN,2025,0.438153115
INDIA,ER,JH,URBAN,2026,0.453793605
INDIA,ER,JH,URBAN,2027,0.469890805
INDIA,ER,JH,URBAN,2028,0.486471724
INDIA,ER,JH,URBAN,2029,0.503577517
INDIA,ER,JH,URBAN,2030,0.518282108
INDIA,ER,JH,URBAN,2031,0.533362904
INDIA,ER,JH,URBAN,2032,0.548773836
INDIA,ER,JH,URBAN,2033,0.56453414
INDIA,ER,JH,URBAN,2034,0.58068957
INDIA,ER,JH,URBAN,2035,0.597249055
INDIA,ER,JH,URBAN,2036,0.614218575
INDIA,ER,JH,URBAN,2037,0.631605756
INDIA,ER,JH,URBAN,2038,0.649345732
INDIA,ER,JH,URBAN,2039,0.667496761
INDIA,ER,JH,URBAN,2040,0.686065853
INDIA,ER,JH,URBAN,2041,0.705059794
INDIA,ER,OD,RURAL,2024,0.228185545
INDIA,ER,OD,RURAL,2025,0.246133193
INDIA,ER,OD,RURAL,2026,0.265446507
INDIA,ER,OD,RURAL,2027,0.284590325
INDIA,ER,OD,RURAL,2028,0.30504118
INDIA,ER,OD,RURAL,2029,0.326909083
INDIA,ER,OD,RURAL,2030,0.350288828
INDIA,ER,OD,RURAL,2031,0.375280596
INDIA,ER,OD,RURAL,2032,0.401927679
INDIA,ER,OD,RURAL,2033,0.430349503
INDIA,ER,OD,RURAL,2034,0.460707915
INDIA,ER,OD,RURAL,2035,0.493130687
INDIA,ER,OD,RURAL,2036,0.527749456
INDIA,ER,OD,RURAL,2037,0.558546542
INDIA,ER,OD,RURAL,2038,0.590969184
INDIA,ER,OD,RURAL,2039,0.625163401
INDIA,ER,OD,RURAL,2040,0.661219686
INDIA,ER,OD,RURAL,2041,0.699232442
INDIA,ER,OD,URBAN,2024,0.609474223
INDIA,ER,OD,URBAN,2025,0.638912828
INDIA,ER,OD,URBAN,2026,0.669700065
INDIA,ER,OD,URBAN,2027,0.70183197
INDIA,ER,OD,URBAN,2028,0.735384791
INDIA,ER,OD,URBAN,2029,0.770457386
INDIA,ER,OD,URBAN,2030,0.799783598
INDIA,ER,OD,URBAN,2031,0.830153106
INDIA,ER,OD,URBAN,2032,0.861525404
INDIA,ER,OD,URBAN,2033,0.893949411
INDIA,ER,OD,URBAN,2034,0.927512758
INDIA,ER,OD,URBAN,2035,0.957910896
INDIA,ER,OD,URBAN,2036,0.989227692
INDIA,ER,OD,URBAN,2037,1
INDIA,ER,OD,URBAN,2038,1
INDIA,ER,OD,URBAN,2039,1
INDIA,ER,OD,URBAN,2040,1
INDIA,ER,OD,URBAN,2041,1
INDIA,ER,SK,RURAL,2024,0.418324503
INDIA,ER,SK,RURAL,2025,0.448671027
INDIA,ER,SK,RURAL,2026,0.481156932
INDIA,ER,SK,RURAL,2027,0.515874701
INDIA,ER,SK,RURAL,2028,0.546804559
INDIA,ER,SK,RURAL,2029,0.579525886
INDIA,ER,SK,RURAL,2030,0.614139148
INDIA,ER,SK,RURAL,2031,0.650749406
INDIA,ER,SK,RURAL,2032,0.689394049
INDIA,ER,SK,RURAL,2033,0.73019908
INDIA,ER,SK,RURAL,2034,0.773336321
INDIA,ER,SK,RURAL,2035,0.809815504
INDIA,ER,SK,RURAL,2036,0.847940139
INDIA,ER,SK,RURAL,2037,0.887780093
INDIA,ER,SK,RURAL,2038,0.929316902
INDIA,ER,SK,RURAL,2039,0.967264536
INDIA,ER,SK,RURAL,2040,1
INDIA,ER,SK,RURAL,2041,1
INDIA,ER,SK,URBAN,2024,0.562096997
INDIA,ER,SK,URBAN,2025,0.597184253
INDIA,ER,SK,URBAN,2026,0.634390664
INDIA,ER,SK,URBAN,2027,0.6737787
INDIA,ER,SK,URBAN,2028,0.715492016
INDIA,ER,SK,URBAN,2029,0.759702707
INDIA,ER,SK,URBAN,2030,0.797185081
INDIA,ER,SK,URBAN,2031,0.836441338
INDIA,ER,SK,URBAN,2032,0.87747353
INDIA,ER,SK,URBAN,2033,0.92037715
INDIA,ER,SK,URBAN,2034,0.959677704
INDIA,ER,SK,URBAN,2035,1
INDIA,ER,SK,URBAN,2036,1
INDIA,ER,SK,URBAN,2037,1
INDIA,ER,SK,URBAN,2038,1
INDIA,ER,SK,URBAN,2039,1
INDIA,ER,SK,URBAN,2040,1
INDIA,ER,SK,URBAN,2041,1
INDIA,ER,WB,RURAL,2024,0.156439374
INDIA,ER,WB,RURAL,2025,0.165259183
INDIA,ER,WB,RURAL,2026,0.174551552
INDIA,ER,WB,RURAL,2027,0.184319291
INDIA,ER,WB,RURAL,2028,0.194592328
INDIA,ER,WB,RURAL,2029,0.205408887
INDIA,ER,WB,RURAL,2030,0.216796303
INDIA,ER,WB,RURAL,2031,0.228782823
INDIA,ER,WB,RURAL,2032,0.241364604
INDIA,ER,WB,RURAL,2033,0.254577263
INDIA,ER,WB,RURAL,2034,0.267406571
INDIA,ER,WB,RURAL,2035,0.280846561
INDIA,ER,WB,RURAL,2036,0.294922984
INDIA,ER,WB,RURAL,2037,0.30966357
INDIA,ER,WB,RURAL,2038,0.325049607
INDIA,ER,WB,RURAL,2039,0.341141799
INDIA,ER,WB,RURAL,2040,0.35796969
INDIA,ER,WB,RURAL,2041,0.375563734
INDIA,ER,WB,URBAN,2024,0.612093036
INDIA,ER,WB,URBAN,2025,0.643686974
INDIA,ER,WB,URBAN,2026,0.676823638
INDIA,ER,WB,URBAN,2027,0.711498845
INDIA,ER,WB,URBAN,2028,0.747804603
INDIA,ER,WB,URBAN,2029,0.785860744
INDIA,ER,WB,URBAN,2030,0.817769859
INDIA,ER,WB,URBAN,2031,0.850885681
INDIA,ER,WB,URBAN,2032,0.88515876
INDIA,ER,WB,URBAN,2033,0.920648356
INDIA,ER,WB,URBAN,2034,0.952859842
INDIA,ER,WB,URBAN,2035,0.986109658
INDIA,ER,WB,URBAN,2036,1
INDIA,ER,WB,URBAN,2037,1
INDIA,ER,WB,URBAN,2038,1
INDIA,ER,WB,URBAN,2039,1
INDIA,ER,WB,URBAN,2040,1
INDIA,ER,WB,URBAN,2041,1
INDIA,NER,AS,RURAL,2024,0.12229864
INDIA,NER,AS,RURAL,2025,0.132219609
INDIA,NER,AS,RURAL,2026,0.142922808
INDIA,NER,AS,RURAL,2027,0.154448344
INDIA,NER,AS,RURAL,2028,0.166863786
INDIA,NER,AS,RURAL,2029,0.180248795
INDIA,NER,AS,RURAL,2030,0.194677018
INDIA,NER,AS,RURAL,2031,0.210227141
