ModelGeography,SubGeography1,SubGeography2,Year,HGV+LGV+MGV+RAIL+WATER+AIR
INDIA,ER,BR,2014,875000
INDIA,ER,JH,2014,875000
INDIA,ER,OD,2014,875000
INDIA,ER,WB,2014,875000
INDIA,WR,CG,2014,875000
INDIA,WR,GJ,2014,875000
INDIA,WR,MP,2014,875000
INDIA,WR,MH,2014,875000
INDIA,WR,GA,2014,875000
INDIA,ER,SK,2014,875000
INDIA,NER,AS,2014,875000
INDIA,NER,NE,2014,875000
INDIA,SR,AP,2014,875000
INDIA,SR,KA,2014,875000
INDIA,SR,KL,2014,875000
INDIA,SR,TN,2014,875000
INDIA,SR,TS,2014,875000
INDIA,NR,DL,2014,875000
INDIA,NR,HR,2014,875000
INDIA,NR,HP,2014,875000
INDIA,NR,JK,2014,875000
INDIA,NR,PB,2014,875000
INDIA,NR,RJ,2014,875000
INDIA,NR,UP,2014,875000
INDIA,NR,UK,2014,875000
INDIA,ER,BR,2015,875000
INDIA,ER,JH,2015,875000
INDIA,ER,OD,2015,875000
INDIA,ER,WB,2015,875000
INDIA,WR,CG,2015,875000
INDIA,WR,GJ,2015,875000
INDIA,WR,MP,2015,875000
INDIA,WR,MH,2015,875000
INDIA,WR,GA,2015,875000
INDIA,ER,SK,2015,875000
INDIA,NER,AS,2015,875000
INDIA,NER,NE,2015,875000
INDIA,SR,AP,2015,875000
INDIA,SR,KA,2015,875000
INDIA,SR,KL,2015,875000
INDIA,SR,TN,2015,875000
INDIA,SR,TS,2015,875000
INDIA,NR,DL,2015,875000
INDIA,NR,HR,2015,875000
INDIA,NR,HP,2015,875000
INDIA,NR,JK,2015,875000
INDIA,NR,PB,2015,875000
INDIA,NR,RJ,2015,875000
INDIA,NR,UP,2015,875000
INDIA,NR,UK,2015,875000
INDIA,ER,BR,2016,875000
INDIA,ER,JH,2016,875000
INDIA,ER,OD,2016,875000
INDIA,ER,WB,2016,875000
INDIA,WR,CG,2016,875000
INDIA,WR,GJ,2016,875000
INDIA,WR,MP,2016,875000
INDIA,WR,MH,2016,875000
INDIA,WR,GA,2016,875000
INDIA,ER,SK,2016,875000
INDIA,NER,AS,2016,875000
INDIA,NER,NE,2016,875000
INDIA,SR,AP,2016,875000
INDIA,SR,KA,2016,875000
INDIA,SR,KL,2016,875000
INDIA,SR,TN,2016,875000
INDIA,SR,TS,2016,875000
INDIA,NR,DL,2016,875000
INDIA,NR,HR,2016,875000
INDIA,NR,HP,2016,875000
INDIA,NR,JK,2016,875000
INDIA,NR,PB,2016,875000
INDIA,NR,RJ,2016,875000
INDIA,NR,UP,2016,875000
INDIA,NR,UK,2016,875000
INDIA,ER,BR,2017,875000
INDIA,ER,JH,2017,875000
INDIA,ER,OD,2017,875000
INDIA,ER,WB,2017,875000
INDIA,WR,CG,2017,875000
INDIA,WR,GJ,2017,875000
INDIA,WR,MP,2017,875000
INDIA,WR,MH,2017,875000
INDIA,WR,GA,2017,875000
INDIA,ER,SK,2017,875000
INDIA,NER,AS,2017,875000
INDIA,NER,NE,2017,875000
INDIA,SR,AP,2017,875000
INDIA,SR,KA,2017,875000
INDIA,SR,KL,2017,875000
INDIA,SR,TN,2017,875000
INDIA,SR,TS,2017,875000
INDIA,NR,DL,2017,875000
INDIA,NR,HR,2017,875000
INDIA,NR,HP,2017,875000
INDIA,NR,JK,2017,875000
INDIA,NR,PB,2017,875000
INDIA,NR,RJ,2017,875000
INDIA,NR,UP,2017,875000
INDIA,NR,UK,2017,875000
INDIA,ER,BR,2018,875000
INDIA,ER,JH,2018,875000
INDIA,ER,OD,2018,875000
INDIA,ER,WB,2018,875000
INDIA,WR,CG,2018,875000
INDIA,WR,GJ,2018,875000
INDIA,WR,MP,2018,875000
INDIA,WR,MH,2018,875000
INDIA,WR,GA,2018,875000
INDIA,ER,SK,2018,875000
INDIA,NER,AS,2018,875000
INDIA,NER,NE,2018,875000
INDIA,SR,AP,2018,875000
INDIA,SR,KA,2018,875000
INDIA,SR,KL,2018,875000
INDIA,SR,TN,2018,875000
INDIA,SR,TS,2018,875000
INDIA,NR,DL,2018,875000
INDIA,NR,HR,2018,875000
INDIA,NR,HP,2018,875000
INDIA,NR,JK,2018,875000
INDIA,NR,PB,2018,875000
INDIA,NR,RJ,2018,875000
INDIA,NR,UP,2018,875000
INDIA,NR,UK,2018,875000
INDIA,ER,BR,2019,875000
INDIA,ER,JH,2019,875000
INDIA,ER,OD,2019,875000
INDIA,ER,WB,2019,875000
INDIA,WR,CG,2019,875000
INDIA,WR,GJ,2019,875000
INDIA,WR,MP,2019,875000
INDIA,WR,MH,2019,875000
INDIA,WR,GA,2019,875000
INDIA,ER,SK,2019,875000
INDIA,NER,AS,2019,875000
INDIA,NER,NE,2019,875000
INDIA,SR,AP,2019,875000
INDIA,SR,KA,2019,875000
INDIA,SR,KL,2019,875000
INDIA,SR,TN,2019,875000
INDIA,SR,TS,2019,875000
INDIA,NR,DL,2019,875000
INDIA,NR,HR,2019,875000
INDIA,NR,HP,2019,875000
INDIA,NR,JK,2019,875000
INDIA,NR,PB,2019,875000
INDIA,NR,RJ,2019,875000
INDIA,NR,UP,2019,875000
INDIA,NR,UK,2019,875000
INDIA,ER,BR,2020,875000
INDIA,ER,JH,2020,875000
INDIA,ER,OD,2020,875000
INDIA,ER,WB,2020,875000
INDIA,WR,CG,2020,875000
INDIA,WR,GJ,2020,875000
INDIA,WR,MP,2020,875000
INDIA,WR,MH,2020,875000
INDIA,WR,GA,2020,875000
INDIA,ER,SK,2020,875000
INDIA,NER,AS,2020,875000
INDIA,NER,NE,2020,875000
INDIA,SR,AP,2020,875000
INDIA,SR,KA,2020,875000
INDIA,SR,KL,2020,875000
INDIA,SR,TN,2020,875000
INDIA,SR,TS,2020,875000
INDIA,NR,DL,2020,875000
INDIA,NR,HR,2020,875000
INDIA,NR,HP,2020,875000
INDIA,NR,JK,2020,875000
INDIA,NR,PB,2020,875000
INDIA,NR,RJ,2020,875000
INDIA,NR,UP,2020,875000
