ModelGeography,Year,RAIL+LGV+MGV+HGV+AIR+WATER
INDIA,2014,665810045000
INDIA,2015,681696498000
INDIA,2016,654480608000
INDIA,2017,620174910000
INDIA,2018,692916406999.9999
INDIA,2019,738523061000
INDIA,2020,707665419999.9999
INDIA,2021,720890000000
INDIA,2022,880025000000
INDIA,2023,1563053034769.9895
INDIA,2024,1681058381213.4048
INDIA,2025,1795000499450.3616
INDIA,2026,1930166628053.4058
INDIA,2027,2077114344456.8396
INDIA,2028,2216570429317.6064
INDIA,2029,2348944270599.346
INDIA,2030,2469728284661.7827
INDIA,2031,2574593946726.355
INDIA,2032,2657612591756.9805
INDIA,2033,2717878682296.463
INDIA,2034,2766257062197.5464
INDIA,2035,2801373711937.3525
INDIA,2036,2821935594117.547
INDIA,2037,2827777430422.377
INDIA,2038,2821871184554.988
INDIA,2039,2798939248546.652
INDIA,2040,2732161173163.9927
INDIA,2041,2656424107428.1035
