ModelGeography,Year,RAIL+IPT3W+IPT4W+4W+BUS+2W
INDIA,2014,162829539400
INDIA,2015,330099756800
INDIA,2016,157457863500
INDIA,2017,160853287500.00003
INDIA,2018,165394612500
INDIA,2019,163726369499.99997
INDIA,2020,168904976750
INDIA,2021,31588170000
INDIA,2022,71107383000
INDIA,2023,174936926505.88263
INDIA,2024,180185034301.0591
INDIA,2025,188288665844.5585
INDIA,2026,192657541082.36044
INDIA,2027,196882416855.31656
INDIA,2028,201022537831.8841
INDIA,2029,205142256453.17328
INDIA,2030,209451042160.88593
INDIA,2031,213969109301.80197
INDIA,2032,218796827212.78073
INDIA,2033,224141512746.6119
INDIA,2034,230102650444.27664
INDIA,2035,236799886754.43027
INDIA,2036,244377125384.29416
INDIA,2037,253007465258.5981
INDIA,2038,262899136411.28842
INDIA,2039,274302645217.55838
INDIA,2040,287519383182.08405
INDIA,2041,302911969294.3277
