Year,ModelGeography,SubGeography1,GDP
2020,INDIA,SR,57779677.63
2020,INDIA,NR,51291728.53
2020,INDIA,WR,57362024.7
2020,INDIA,NER,5334913.706
2020,INDIA,ER,24292883.29
2021,INDIA,NER,4981097.717
2021,INDIA,SR,54169763.22
2021,INDIA,ER,22479251.88
2021,INDIA,WR,53803413.99
2021,INDIA,NR,47695294.33
2022,INDIA,NER,5412307.349
2022,INDIA,WR,58724318.23
2022,INDIA,SR,59086793.65
2022,INDIA,NR,51601558.2
2022,INDIA,ER,24201786.38
2023,INDIA,WR,63016354.62
2023,INDIA,NR,54879911.85
2023,INDIA,ER,25614147.31
2023,INDIA,NER,5782341.027
2023,INDIA,SR,63354806.59
2024,INDIA,NR,57933688.33
2024,INDIA,SR,67426098.13
2024,INDIA,NER,6133278.442
2024,INDIA,WR,67130472.45
2024,INDIA,ER,26908102.81
2025,INDIA,NR,61586166.1
2025,INDIA,ER,28465832.34
2025,INDIA,NER,6552642.708
2025,INDIA,WR,72025185.75
2025,INDIA,SR,72260773.75
2026,INDIA,ER,30101909.36
2026,INDIA,WR,77257242.59
2026,INDIA,NR,65442696.76
2026,INDIA,SR,77409612.63
2026,INDIA,NER,6999500.893
2027,INDIA,ER,31757032.21
2027,INDIA,NR,69376389.44
2027,INDIA,NER,7460898.168
2027,INDIA,SR,82727733.19
2027,INDIA,WR,82685747.14
2028,INDIA,ER,33388593.63
2028,INDIA,NR,73294507.53
2028,INDIA,SR,88106473.15
2028,INDIA,WR,88205466.18
2028,INDIA,NER,7927306.255
2029,INDIA,NER,8424229.169
2029,INDIA,SR,93826153.95
2029,INDIA,NR,77428271.36
2029,INDIA,WR,94100708.39
2029,INDIA,ER,35101668.21
2030,INDIA,SR,99907723.52
2030,INDIA,NR,81789199.91
2030,INDIA,WR,100397446.5
2030,INDIA,NER,8953751.211
2030,INDIA,ER,36900186.85
2031,INDIA,NR,86389406.08
2031,INDIA,ER,38788261.44
2031,INDIA,SR,106373368.2
2031,INDIA,WR,107123468.7
2031,INDIA,NER,9518106.488
2032,INDIA,NR,91241626.16
2032,INDIA,SR,113246582.7
2032,INDIA,NER,10119690.32
2032,INDIA,WR,114308506.3
2032,INDIA,ER,40770192.66
2033,INDIA,NR,96359250.6
2033,INDIA,NER,10761071.59
2033,INDIA,ER,42850478.18
2033,INDIA,WR,121984369.1
2033,INDIA,SR,120552243.2
2034,INDIA,NER,11445006.03
2034,INDIA,SR,128316685.5
2034,INDIA,ER,45033821.12
2034,INDIA,WR,130185090.9
2034,INDIA,NR,101756356.2
2035,INDIA,WR,138947085.3
2035,INDIA,ER,47325138.85
2035,INDIA,NR,107447740.1
2035,INDIA,NER,12174450.71
2035,INDIA,SR,136567786
2036,INDIA,SR,145335047.7
2036,INDIA,WR,148309311.4
2036,INDIA,ER,49729572.22
2036,INDIA,NR,113448954.5
2036,INDIA,NER,12952579.54
2037,INDIA,WR,158313451.6
2037,INDIA,ER,52252495.02
2037,INDIA,NER,13782800.18
2037,INDIA,SR,154649690.6
2037,INDIA,NR,119776344.7
2038,INDIA,NER,14668772.24
2038,INDIA,NR,126447086.9
2038,INDIA,WR,169004101.4
2038,INDIA,SR,164544747.1
2038,INDIA,ER,54899523.95
2039,INDIA,NR,133479229
2039,INDIA,SR,175055161.4
2039,INDIA,WR,180428972.4
2039,INDIA,ER,57676528.87
2039,INDIA,NER,15614427.06
2040,INDIA,WR,192639108.8
2040,INDIA,SR,186217895.5
2040,INDIA,ER,60589643.54
2040,INDIA,NR,140891733.5
2040,INDIA,NER,16623989.01
2041,INDIA,NR,148704521.4
2041,INDIA,WR,205689119.4
2041,INDIA,ER,63645276.73
2041,INDIA,NER,17701998.63
2041,INDIA,SR,198072039.5
