ModelGeography,SubGeography1,SubGeography2,Year,CC+OPC+PPC+PSC+LC3
INDIA,NR,JK,2022,0.005925426
INDIA,NR,HP,2022,0.093127659
INDIA,NR,JK,2023,0.006262067
INDIA,NR,JK,2024,0.006599513
INDIA,NR,JK,2025,0.007271781
INDIA,NR,JK,2026,0.008003898
INDIA,NR,JK,2027,0.008799189
INDIA,NR,JK,2028,0.009667931
INDIA,NR,JK,2029,0.010622424
INDIA,NR,JK,2030,0.011671128
INDIA,NR,JK,2031,0.012823342
INDIA,NR,JK,2032,0.014071586
INDIA,NR,JK,2033,0.01540291
INDIA,NR,JK,2034,0.016818126
INDIA,NR,JK,2035,0.018317443
INDIA,NR,JK,2036,0.019916056
INDIA,NR,JK,2037,0.021654134
INDIA,NR,JK,2038,0.02354384
INDIA,NR,JK,2039,0.025598395
INDIA,NR,JK,2040,0.027832172
INDIA,NR,JK,2041,0.030260798
INDIA,NR,HP,2023,0.098418517
INDIA,NR,HP,2024,0.103722028
INDIA,NR,HP,2025,0.114287811
INDIA,NR,HP,2026,0.125794215
INDIA,NR,HP,2027,0.1382935
INDIA,NR,HP,2028,0.151947186
INDIA,NR,HP,2029,0.166948581
INDIA,NR,HP,2030,0.183430674
INDIA,NR,HP,2031,0.201539571
INDIA,NR,HP,2032,0.22115776
INDIA,NR,HP,2033,0.242081661
INDIA,NR,HP,2034,0.264324081
INDIA,NR,HP,2035,0.28788827
INDIA,NR,HP,2036,0.313013058
INDIA,NR,HP,2037,0.340329776
INDIA,NR,HP,2038,0.370029564
INDIA,NR,HP,2039,0.402320217
INDIA,NR,HP,2040,0.437427642
INDIA,NR,HP,2041,0.475597428
INDIA,NR,PB,2022,0.043530806
INDIA,NR,PB,2023,0.04600392
INDIA,NR,PB,2024,0.048482949
INDIA,NR,PB,2025,0.053421729
INDIA,NR,PB,2026,0.058800186
INDIA,NR,PB,2027,0.064642745
INDIA,NR,PB,2028,0.071024909
INDIA,NR,PB,2029,0.078037035
INDIA,NR,PB,2030,0.085741285
INDIA,NR,PB,2031,0.094205955
INDIA,NR,PB,2032,0.103376116
INDIA,NR,PB,2033,0.113156607
INDIA,NR,PB,2034,0.123553416
INDIA,NR,PB,2035,0.134568061
INDIA,NR,PB,2036,0.14631218
INDIA,NR,PB,2037,0.159080876
INDIA,NR,PB,2038,0.172963494
INDIA,NR,PB,2039,0.188057164
INDIA,NR,PB,2040,0.204467482
INDIA,NR,PB,2041,0.222309245
INDIA,NR,UK,2022,0.024144742
INDIA,NR,UK,2023,0.025516477
INDIA,NR,UK,2024,0.026891492
INDIA,NR,UK,2025,0.029630829
INDIA,NR,UK,2026,0.032614037
INDIA,NR,UK,2027,0.035854664
INDIA,NR,UK,2028,0.039394587
INDIA,NR,UK,2029,0.043283924
INDIA,NR,UK,2030,0.047557154
INDIA,NR,UK,2031,0.052252157
INDIA,NR,UK,2032,0.057338467
INDIA,NR,UK,2033,0.062763302
INDIA,NR,UK,2034,0.068529983
INDIA,NR,UK,2035,0.074639352
INDIA,NR,UK,2036,0.08115333
INDIA,NR,UK,2037,0.088235599
INDIA,NR,UK,2038,0.095935714
INDIA,NR,UK,2039,0.104307551
INDIA,NR,UK,2040,0.113409677
INDIA,NR,UK,2041,0.123305767
INDIA,NR,HR,2022,0.049572191
INDIA,NR,HR,2023,0.052388534
INDIA,NR,HR,2024,0.055211612
INDIA,NR,HR,2025,0.060835816
