ModelGeography,SubGeography1,SubGeography2,Year,BOF+EAF+IF
INDIA,ER,BR,2022,0
INDIA,ER,JH,2022,14.38995467
INDIA,ER,OD,2022,11.0330945
INDIA,ER,SK,2022,0
INDIA,ER,WB,2022,3.869816728
INDIA,NER,AS,2022,0
INDIA,NER,NE,2022,0
INDIA,NR,DL,2022,0
INDIA,NR,HP,2022,0
INDIA,NR,HR,2022,0
INDIA,NR,JK,2022,0
INDIA,NR,PB,2022,0
INDIA,NR,RJ,2022,0
INDIA,NR,UK,2022,0
INDIA,NR,UP,2022,0
INDIA,SR,AP,2022,5.434210725
INDIA,SR,KA,2022,9.154174975
INDIA,SR,KL,2022,0
INDIA,SR,TN,2022,0.823365261
INDIA,SR,TS,2022,0
INDIA,WR,CG,2022,5.763556829
INDIA,WR,GA,2022,0
INDIA,WR,GJ,2022,0
INDIA,WR,MH,2022,4.116826307
INDIA,WR,MP,2022,0
INDIA,ER,BR,2023,0
INDIA,ER,JH,2023,13.76316063
INDIA,ER,OD,2023,10.55251773
INDIA,ER,SK,2023,0
INDIA,ER,WB,2023,3.70125622
INDIA,NER,AS,2023,0
INDIA,NER,NE,2023,0
INDIA,NR,DL,2023,0
INDIA,NR,HP,2023,0
INDIA,NR,HR,2023,0
INDIA,NR,JK,2023,0
INDIA,NR,PB,2023,0
INDIA,NR,RJ,2023,0
INDIA,NR,UK,2023,0
INDIA,NR,UP,2023,0
INDIA,SR,AP,2023,5.197508734
INDIA,SR,KA,2023,8.755439713
INDIA,SR,KL,2023,0
INDIA,SR,TN,2023,0.787501323
INDIA,SR,TS,2023,0
INDIA,WR,CG,2023,7.875013234
INDIA,WR,GA,2023,0
INDIA,WR,GJ,2023,0
INDIA,WR,MH,2023,7.875013234
INDIA,WR,MP,2023,0
INDIA,ER,BR,2024,0
INDIA,ER,JH,2024,14.75216439
INDIA,ER,OD,2024,11.31080865
INDIA,ER,SK,2024,0
INDIA,ER,WB,2024,3.96722393
INDIA,NER,AS,2024,0
INDIA,NER,NE,2024,0
INDIA,NR,DL,2024,0
INDIA,NR,HP,2024,0
INDIA,NR,HR,2024,0
INDIA,NR,JK,2024,0
INDIA,NR,PB,2024,0
INDIA,NR,RJ,2024,0
INDIA,NR,UK,2024,0
INDIA,NR,UP,2024,0
INDIA,SR,AP,2024,5.570995305
INDIA,SR,KA,2024,9.384594819
INDIA,SR,KL,2024,0
INDIA,SR,TN,2024,0.844090198
INDIA,SR,TS,2024,0
INDIA,WR,CG,2024,8.440901978
INDIA,WR,GA,2024,0
INDIA,WR,GJ,2024,0
INDIA,WR,MH,2024,8.440901978
INDIA,WR,MP,2024,0
INDIA,ER,BR,2025,0
INDIA,ER,JH,2025,14.85702785
INDIA,ER,OD,2025,13.09139033
INDIA,ER,SK,2025,0
INDIA,ER,WB,2025,3.995424322
INDIA,NER,AS,2025,0
INDIA,NER,NE,2025,0
INDIA,NR,DL,2025,0
INDIA,NR,HP,2025,0
INDIA,NR,HR,2025,0
INDIA,NR,JK,2025,0
INDIA,NR,PB,2025,0
INDIA,NR,RJ,2025,0
INDIA,NR,UK,2025,0
INDIA,NR,UP,2025,0
INDIA,SR,AP,2025,5.610595856
INDIA,SR,KA,2025,15.82698086
INDIA,SR,KL,2025,0
INDIA,SR,TN,2025,0.850090281
INDIA,SR,TS,2025,0
INDIA,WR,CG,2025,8.500902812
INDIA,WR,GA,2025,0
INDIA,WR,GJ,2025,0
INDIA,WR,MH,2025,8.500902812
INDIA,WR,MP,2025,0
INDIA,ER,BR,2026,0
INDIA,ER,JH,2026,14.71580295
INDIA,ER,OD,2026,18.27160978
INDIA,ER,SK,2026,0
INDIA,ER,WB,2026,3.957445436
INDIA,NER,AS,2026,0
INDIA,NER,NE,2026,0
INDIA,NR,DL,2026,0
INDIA,NR,HP,2026,0
INDIA,NR,HR,2026,0
INDIA,NR,JK,2026,0
INDIA,NR,PB,2026,0
INDIA,NR,RJ,2026,0
INDIA,NR,UK,2026,0
INDIA,NR,UP,2026,0
INDIA,SR,AP,2026,5.557263803
INDIA,SR,KA,2026,15.67653598
INDIA,SR,KL,2026,0
INDIA,SR,TN,2026,0.842009667
INDIA,SR,TS,2026,0
INDIA,WR,CG,2026,8.420096671
INDIA,WR,GA,2026,0
INDIA,WR,GJ,2026,5.052058003
INDIA,WR,MH,2026,8.420096671
INDIA,WR,MP,2026,0
INDIA,ER,BR,2027,0
INDIA,ER,JH,2027,18.98566202
INDIA,ER,OD,2027,22.73833589
INDIA,ER,SK,2027,0
INDIA,ER,WB,2027,5.879726407
INDIA,NER,AS,2027,0
INDIA,NER,NE,2027,0
INDIA,NR,DL,2027,0
INDIA,NR,HP,2027,0
INDIA,NR,HR,2027,0
INDIA,NR,JK,2027,0
INDIA,NR,PB,2027,0
INDIA,NR,RJ,2027,0
INDIA,NR,UK,2027,0
INDIA,NR,UP,2027,0
INDIA,SR,AP,2027,5.599739435
INDIA,SR,KA,2027,15.79635588
INDIA,SR,KL,2027,0
INDIA,SR,TN,2027,0.848445369
INDIA,SR,TS,2027,0
INDIA,WR,CG,2027,8.484453689
INDIA,WR,GA,2027,0
INDIA,WR,GJ,2027,5.090672213
INDIA,WR,MH,2027,8.484453689
INDIA,WR,MP,2027,0
INDIA,ER,BR,2028,0
INDIA,ER,JH,2028,19.41481628
INDIA,ER,OD,2028,33.66380084
INDIA,ER,SK,2028,0
INDIA,ER,WB,2028,6.01263247
INDIA,NER,AS,2028,0
INDIA,NER,NE,2028,0
INDIA,NR,DL,2028,0
INDIA,NR,HP,2028,0
INDIA,NR,HR,2028,0
INDIA,NR,JK,2028,0
INDIA,NR,PB,2028,0
INDIA,NR,RJ,2028,0
INDIA,NR,UK,2028,0
INDIA,NR,UP,2028,0
INDIA,SR,AP,2028,5.726316638
INDIA,SR,KA,2028,16.15341866
INDIA,SR,KL,2028,0
INDIA,SR,TN,2028,0.867623733
INDIA,SR,TS,2028,0
INDIA,WR,CG,2028,8.676237331
INDIA,WR,GA,2028,0
INDIA,WR,GJ,2028,5.205742399
INDIA,WR,MH,2028,8.676237331
INDIA,WR,MP,2028,0
INDIA,ER,BR,2029,0
INDIA,ER,JH,2029,22.05301625
INDIA,ER,OD,2029,38.23823706
INDIA,ER,SK,2029,0
INDIA,ER,WB,2029,6.829664505
INDIA,NER,AS,2029,0
INDIA,NER,NE,2029,0
INDIA,NR,DL,2029,0
INDIA,NR,HP,2029,0
INDIA,NR,HR,2029,0
INDIA,NR,JK,2029,0
INDIA,NR,PB,2029,0
INDIA,NR,RJ,2029,0
INDIA,NR,UK,2029,0
INDIA,NR,UP,2029,0
INDIA,SR,AP,2029,6.504442386
INDIA,SR,KA,2029,18.34844066
INDIA,SR,KL,2029,0
INDIA,SR,TN,2029,0.985521574
INDIA,SR,TS,2029,0
INDIA,WR,CG,2029,9.855215736
INDIA,WR,GA,2029,0
INDIA,WR,GJ,2029,5.913129442
INDIA,WR,MH,2029,9.855215736
INDIA,WR,MP,2029,0
INDIA,ER,BR,2030,0
INDIA,ER,JH,2030,25.04971043
INDIA,ER,OD,2030,43.43427469
INDIA,ER,SK,2030,0
INDIA,ER,WB,2030,7.757719681
INDIA,NER,AS,2030,0
INDIA,NER,NE,2030,0
INDIA,NR,DL,2030,0
INDIA,NR,HP,2030,0
INDIA,NR,HR,2030,0
INDIA,NR,JK,2030,0
INDIA,NR,PB,2030,0
INDIA,NR,RJ,2030,0
INDIA,NR,UK,2030,0
INDIA,NR,UP,2030,0
INDIA,SR,AP,2030,7.388304458
INDIA,SR,KA,2030,20.84173521
INDIA,SR,KL,2030,0
INDIA,SR,TN,2030,1.119440069
INDIA,SR,TS,2030,0
INDIA,WR,CG,2030,11.19440069
INDIA,WR,GA,2030,0
INDIA,WR,GJ,2030,6.716640417
INDIA,WR,MH,2030,11.19440069
INDIA,WR,MP,2030,0
INDIA,ER,BR,2031,0
INDIA,ER,JH,2031,28.45361313
INDIA,ER,OD,2031,49.33638064
INDIA,ER,SK,2031,0
INDIA,ER,WB,2031,8.81188448
INDIA,NER,AS,2031,0
INDIA,NER,NE,2031,0
INDIA,NR,DL,2031,0
INDIA,NR,HP,2031,0
INDIA,NR,HR,2031,0
INDIA,NR,JK,2031,0
INDIA,NR,PB,2031,0
INDIA,NR,RJ,2031,0
INDIA,NR,UK,2031,0
INDIA,NR,UP,2031,0
INDIA,SR,AP,2031,8.392270933
INDIA,SR,KA,2031,23.67383337
INDIA,SR,KL,2031,0
INDIA,SR,TN,2031,1.271556202
INDIA,SR,TS,2031,0
INDIA,WR,CG,2031,12.71556202
INDIA,WR,GA,2031,0
INDIA,WR,GJ,2031,7.629337212
INDIA,WR,MH,2031,12.71556202
INDIA,WR,MP,2031,0
INDIA,ER,BR,2032,0
INDIA,ER,JH,2032,29.30722153
INDIA,ER,OD,2032,50.81647205
INDIA,ER,SK,2032,0
INDIA,ER,WB,2032,9.076241014
INDIA,NER,AS,2032,0
INDIA,NER,NE,2032,0
INDIA,NR,DL,2032,0
INDIA,NR,HP,2032,0
INDIA,NR,HR,2032,0
INDIA,NR,JK,2032,0
INDIA,NR,PB,2032,0
INDIA,NR,RJ,2032,0
INDIA,NR,UK,2032,0
INDIA,NR,UP,2032,0
INDIA,SR,AP,2032,8.644039061
INDIA,SR,KA,2032,24.38404837
INDIA,SR,KL,2032,0
INDIA,SR,TN,2032,1.309702888
INDIA,SR,TS,2032,0
INDIA,WR,CG,2032,13.09702888
INDIA,WR,GA,2032,0
INDIA,WR,GJ,2032,7.858217328
INDIA,WR,MH,2032,13.09702888
INDIA,WR,MP,2032,0
INDIA,ER,BR,2033,0
INDIA,ER,JH,2033,30.18643817
INDIA,ER,OD,2033,52.34096622
INDIA,ER,SK,2033,0
INDIA,ER,WB,2033,9.348528244
INDIA,NER,AS,2033,0
INDIA,NER,NE,2033,0
INDIA,NR,DL,2033,0
INDIA,NR,HP,2033,0
INDIA,NR,HR,2033,0
INDIA,NR,JK,2033,0
INDIA,NR,PB,2033,0
INDIA,NR,RJ,2033,0
INDIA,NR,UK,2033,0
INDIA,NR,UP,2033,0
INDIA,SR,AP,2033,8.903360233
INDIA,SR,KA,2033,25.11556982
INDIA,SR,KL,2033,0
INDIA,SR,TN,2033,1.348993975
INDIA,SR,TS,2033,0
INDIA,WR,CG,2033,13.48993975
INDIA,WR,GA,2033,0
INDIA,WR,GJ,2033,8.093963848
INDIA,WR,MH,2033,13.48993975
INDIA,WR,MP,2033,0
