Year,ModelGeography,SubGeography1,SubGeography2,Population,NumHouseholds
2021,INDIA,NR,JK,13661000,2938382
2022,INDIA,NR,JK,13763000,3006720
2023,INDIA,NR,JK,13862000,3076106
2024,INDIA,NR,JK,13961000,3147247
2025,INDIA,NR,JK,14061000,3220182
2026,INDIA,NR,JK,14160000,3294756
2027,INDIA,NR,JK,14256000,3370464
2028,INDIA,NR,JK,14350000,3447544
2029,INDIA,NR,JK,14445000,3526690
2030,INDIA,NR,JK,14539000,3607430
2031,INDIA,NR,JK,14633000,3690334
2032,INDIA,NR,JK,14718000,3772926
2033,INDIA,NR,JK,14796000,3855696
2034,INDIA,NR,JK,14874000,3940525
2035,INDIA,NR,JK,14953000,4027618
2021,INDIA,SR,AP,52669000,16075018
2036,INDIA,NR,JK,15030000,4116409
2022,INDIA,SR,AP,52895000,16359247
2037,INDIA,NR,JK,15108000,4207573
2023,INDIA,SR,AP,53079000,16635236
2038,INDIA,NR,JK,15190468,4302304
2024,INDIA,SR,AP,53263000,16915865
2039,INDIA,NR,JK,15273914,4399679
2025,INDIA,SR,AP,53448000,17201553
2040,INDIA,NR,JK,15358348,4499782
2026,INDIA,SR,AP,53632000,17491734
2041,INDIA,NR,JK,15443787,4602701
2027,INDIA,SR,AP,53763000,17769297
2021,INDIA,NR,HP,7374000,1844443
2028,INDIA,SR,AP,53856000,18038674
2022,INDIA,NR,HP,7415000,1862635
2029,INDIA,SR,AP,53950000,18312619
2023,INDIA,NR,HP,7453000,1880450
2030,INDIA,SR,AP,54043000,18590578
2024,INDIA,NR,HP,7490000,1898372
2031,INDIA,SR,AP,54136000,18872977
2025,INDIA,NR,HP,7527000,1916472
2032,INDIA,SR,AP,54184000,19143929
2026,INDIA,NR,HP,7564000,1935104
2027,INDIA,NR,HP,7595000,1952296
2033,INDIA,SR,AP,54199000,19407214
2028,INDIA,NR,HP,7621000,1968860
2029,INDIA,NR,HP,7648000,1986037
2034,INDIA,SR,AP,54215000,19674732
