Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2021,URBAN,INDIA,NR,JK,4086000,1010173
2022,URBAN,INDIA,NR,JK,4152000,1048422
2023,URBAN,INDIA,NR,JK,4219000,1088103
2024,URBAN,INDIA,NR,JK,4288000,1129527
2025,URBAN,INDIA,NR,JK,4355000,1171687
2026,URBAN,INDIA,NR,JK,4424000,1215682
2027,URBAN,INDIA,NR,JK,4493000,1261023
2028,URBAN,INDIA,NR,JK,4562000,1307746
2029,URBAN,INDIA,NR,JK,4631000,1355890
2030,URBAN,INDIA,NR,JK,4699000,1405195
2031,URBAN,INDIA,NR,JK,4770000,1456904
2032,URBAN,INDIA,NR,JK,4838000,1509246
2033,URBAN,INDIA,NR,JK,4904000,1562522
2034,URBAN,INDIA,NR,JK,4971000,1617711
2021,RURAL,INDIA,SR,AP,34223000,10163761
2022,RURAL,INDIA,SR,AP,34054000,10241047
2023,RURAL,INDIA,SR,AP,33853000,10308922
2024,RURAL,INDIA,SR,AP,33648000,10375647
2025,RURAL,INDIA,SR,AP,33439000,10441168
2026,RURAL,INDIA,SR,AP,33225000,10505111
2027,RURAL,INDIA,SR,AP,32974000,10557162
2028,RURAL,INDIA,SR,AP,32695000,10599777
2029,RURAL,INDIA,SR,AP,32414000,10641133
2030,RURAL,INDIA,SR,AP,32128000,10680186
2031,RURAL,INDIA,SR,AP,31837000,10716849
2032,RURAL,INDIA,SR,AP,31517000,10742855
2035,URBAN,INDIA,NR,JK,5038000,1674546
2033,RURAL,INDIA,SR,AP,31174000,10759875
2036,URBAN,INDIA,NR,JK,5106000,1733409
2034,RURAL,INDIA,SR,AP,30829000,10774919
2037,URBAN,INDIA,NR,JK,5174000,1794024
2035,RURAL,INDIA,SR,AP,30479000,10786863
2038,URBAN,INDIA,NR,JK,5244585,1857353
2036,RURAL,INDIA,SR,AP,30127000,10796679
2039,URBAN,INDIA,NR,JK,5316133,1922918
2037,RURAL,INDIA,SR,AP,29775000,10805029
2040,URBAN,INDIA,NR,JK,5388656,1990797
2038,RURAL,INDIA,SR,AP,29444559,10819796
2041,URBAN,INDIA,NR,JK,5462169,2061072
2039,RURAL,INDIA,SR,AP,29117784,10834583
2021,URBAN,INDIA,NR,HP,756000,280067
2040,RURAL,INDIA,SR,AP,28794636,10849390
2022,URBAN,INDIA,NR,HP,762000,289985
2041,RURAL,INDIA,SR,AP,28475074,10864218
2023,URBAN,INDIA,NR,HP,768000,300236
2024,URBAN,INDIA,NR,HP,774000,310830
2025,URBAN,INDIA,NR,HP,779000,321366
2021,RURAL,INDIA,NER,NE,10269000,2262262
2026,URBAN,INDIA,NR,HP,785000,332670
2022,RURAL,INDIA,NER,NE,10272000,2287695
2027,URBAN,INDIA,NR,HP,789000,343480
2023,RURAL,INDIA,NER,NE,10275000,2313414
2028,URBAN,INDIA,NR,HP,794000,355080
2024,RURAL,INDIA,NER,NE,10271000,2337828
2029,URBAN,INDIA,NR,HP,799000,367056
2025,RURAL,INDIA,NER,NE,10266000,2362270
2030,URBAN,INDIA,NR,HP,803000,378950
2026,RURAL,INDIA,NER,NE,10263000,2387432
2031,URBAN,INDIA,NR,HP,808000,391705
2027,RURAL,INDIA,NER,NE,10250000,2410510
2032,URBAN,INDIA,NR,HP,812000,404375
2028,RURAL,INDIA,NER,NE,10233000,2432856
2033,URBAN,INDIA,NR,HP,815000,416933
2029,RURAL,INDIA,NER,NE,10215000,2455162
2034,URBAN,INDIA,NR,HP,819000,430401
2030,RURAL,INDIA,NER,NE,10191000,2476207
2035,URBAN,INDIA,NR,HP,822000,443754
2031,RURAL,INDIA,NER,NE,10170000,2498155
2036,URBAN,INDIA,NR,HP,826000,458069
2032,RURAL,INDIA,NER,NE,10140000,2518053
2037,URBAN,INDIA,NR,HP,829000,472265
2033,RURAL,INDIA,NER,NE,10099000,2535325
2038,URBAN,INDIA,NR,HP,832553,487219
2034,RURAL,INDIA,NER,NE,10056000,2552166
2039,URBAN,INDIA,NR,HP,836121,502645
2035,RURAL,INDIA,NER,NE,10011000,2568559
2040,URBAN,INDIA,NR,HP,839704,518561
2036,RURAL,INDIA,NER,NE,9966000,2585004
2041,URBAN,INDIA,NR,HP,843303,534980
2037,RURAL,INDIA,NER,NE,9922000,2601765
2021,URBAN,INDIA,NR,PB,13581000,3373837
2038,RURAL,INDIA,NER,NE,9881259,2619446
2022,URBAN,INDIA,NR,PB,13792000,3440798
2039,RURAL,INDIA,NER,NE,9840685,2637247
2023,URBAN,INDIA,NR,PB,13998000,3507014
2040,RURAL,INDIA,NER,NE,9800278,2655170
2024,URBAN,INDIA,NR,PB,14204000,3573731
2041,RURAL,INDIA,NER,NE,9760036,2673214
2025,URBAN,INDIA,NR,PB,14411000,3641203
