ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2022,0.037104321
INDIA,ER,BR,RURAL,2023,0.039693894
INDIA,ER,BR,RURAL,2024,0.041936012
INDIA,ER,BR,RURAL,2025,0.044616105
INDIA,ER,BR,RURAL,2026,0.047371303
INDIA,ER,BR,RURAL,2027,0.050170098
INDIA,ER,BR,RURAL,2028,0.053009634
INDIA,ER,BR,RURAL,2029,0.055893491
INDIA,ER,BR,RURAL,2030,0.058790626
INDIA,ER,BR,RURAL,2031,0.061660762
INDIA,ER,BR,RURAL,2032,0.064553845
INDIA,ER,BR,RURAL,2033,0.067384713
INDIA,ER,BR,RURAL,2034,0.069998319
INDIA,ER,BR,RURAL,2035,0.072289058
INDIA,ER,BR,RURAL,2036,0.074125314
INDIA,ER,BR,RURAL,2037,0.075343879
INDIA,ER,BR,RURAL,2038,0.075683366
INDIA,ER,BR,RURAL,2039,0.074944683
INDIA,ER,BR,RURAL,2040,0.072828328
INDIA,ER,BR,RURAL,2041,0.068969817
INDIA,ER,BR,URBAN,2022,0.18580094
INDIA,ER,BR,URBAN,2023,0.194264549
INDIA,ER,BR,URBAN,2024,0.20096014
INDIA,ER,BR,URBAN,2025,0.208994224
INDIA,ER,BR,URBAN,2026,0.216896954
INDIA,ER,BR,URBAN,2027,0.224538855
INDIA,ER,BR,URBAN,2028,0.231904641
INDIA,ER,BR,URBAN,2029,0.239003755
INDIA,ER,BR,URBAN,2030,0.245727883
INDIA,ER,BR,URBAN,2031,0.251950224
INDIA,ER,BR,URBAN,2032,0.257855145
INDIA,ER,BR,URBAN,2033,0.263185369
INDIA,ER,BR,URBAN,2034,0.267497191
INDIA,ER,BR,URBAN,2035,0.267783583
INDIA,ER,BR,URBAN,2036,0.266526407
INDIA,ER,BR,URBAN,2037,0.263461859
INDIA,ER,BR,URBAN,2038,0.25814998
INDIA,ER,BR,URBAN,2039,0.250373401
INDIA,ER,BR,URBAN,2040,0.239757792
INDIA,ER,BR,URBAN,2041,0.225881977
INDIA,ER,JH,RURAL,2022,0.020489207
INDIA,ER,JH,RURAL,2023,0.020687253
INDIA,ER,JH,RURAL,2024,0.021612247
INDIA,ER,JH,RURAL,2025,0.022707533
INDIA,ER,JH,RURAL,2026,0.023809072
INDIA,ER,JH,RURAL,2027,0.024913351
INDIA,ER,JH,RURAL,2028,0.026015389
INDIA,ER,JH,RURAL,2029,0.027107472
INDIA,ER,JH,RURAL,2030,0.028173813
INDIA,ER,JH,RURAL,2031,0.029197754
INDIA,ER,JH,RURAL,2032,0.030188965
INDIA,ER,JH,RURAL,2033,0.03111071
INDIA,ER,JH,RURAL,2034,0.031908404
INDIA,ER,JH,RURAL,2035,0.032539888
INDIA,ER,JH,RURAL,2036,0.032955358
INDIA,ER,JH,RURAL,2037,0.033094855
INDIA,ER,JH,RURAL,2038,0.032868348
INDIA,ER,JH,RURAL,2039,0.032204647
INDIA,ER,JH,RURAL,2040,0.031001961
INDIA,ER,JH,RURAL,2041,0.029139237
INDIA,ER,JH,URBAN,2022,0.156238995
INDIA,ER,JH,URBAN,2023,0.153155475
INDIA,ER,JH,URBAN,2024,0.150151663
INDIA,ER,JH,URBAN,2025,0.147132343
INDIA,ER,JH,URBAN,2026,0.144075578
INDIA,ER,JH,URBAN,2027,0.140999382
INDIA,ER,JH,URBAN,2028,0.137927933
INDIA,ER,JH,URBAN,2029,0.134892963
INDIA,ER,JH,URBAN,2030,0.131845929
INDIA,ER,JH,URBAN,2031,0.128902854
INDIA,ER,JH,URBAN,2032,0.126151345
INDIA,ER,JH,URBAN,2033,0.123667733
INDIA,ER,JH,URBAN,2034,0.121531755
INDIA,ER,JH,URBAN,2035,0.119871692
INDIA,ER,JH,URBAN,2036,0.118330529
INDIA,ER,JH,URBAN,2037,0.116920903
INDIA,ER,JH,URBAN,2038,0.115607612
INDIA,ER,JH,URBAN,2039,0.114424043
INDIA,ER,JH,URBAN,2040,0.113362003
INDIA,ER,JH,URBAN,2041,0.11142867
INDIA,ER,OD,RURAL,2022,0.090995601
INDIA,ER,OD,RURAL,2023,0.105415513
INDIA,ER,OD,RURAL,2024,0.112568224
INDIA,ER,OD,RURAL,2025,0.120388066
INDIA,ER,OD,RURAL,2026,0.128427729
INDIA,ER,OD,RURAL,2027,0.136674353
INDIA,ER,OD,RURAL,2028,0.14507508
INDIA,ER,OD,RURAL,2029,0.153515514
INDIA,ER,OD,RURAL,2030,0.16185359
INDIA,ER,OD,RURAL,2031,0.169878922
INDIA,ER,OD,RURAL,2032,0.17754698
INDIA,ER,OD,RURAL,2033,0.184470682
INDIA,ER,OD,RURAL,2034,0.190045905
INDIA,ER,OD,RURAL,2035,0.192564277
INDIA,ER,OD,RURAL,2036,0.192393473
INDIA,ER,OD,RURAL,2037,0.188658551
INDIA,ER,OD,RURAL,2038,0.180179601
INDIA,ER,OD,RURAL,2039,0.165598677
INDIA,ER,OD,RURAL,2040,0.143154971
INDIA,ER,OD,RURAL,2041,0.110646106
INDIA,ER,OD,URBAN,2022,0.250754143
INDIA,ER,OD,URBAN,2023,0.255045108
INDIA,ER,OD,URBAN,2024,0.263802827
INDIA,ER,OD,URBAN,2025,0.272910817
INDIA,ER,OD,URBAN,2026,0.281461306
INDIA,ER,OD,URBAN,2027,0.289391306
INDIA,ER,OD,URBAN,2028,0.296576028
INDIA,ER,OD,URBAN,2029,0.302806861
INDIA,ER,OD,URBAN,2030,0.304795248
INDIA,ER,OD,URBAN,2031,0.30527644
INDIA,ER,OD,URBAN,2032,0.304240165
INDIA,ER,OD,URBAN,2033,0.301304211
INDIA,ER,OD,URBAN,2034,0.295936328
INDIA,ER,OD,URBAN,2035,0.28775802
INDIA,ER,OD,URBAN,2036,0.276297873
INDIA,ER,OD,URBAN,2037,0.258369066
INDIA,ER,OD,URBAN,2038,0.236479414
INDIA,ER,OD,URBAN,2039,0.210172281
INDIA,ER,OD,URBAN,2040,0.178895857
INDIA,ER,OD,URBAN,2041,0.141299802
INDIA,ER,SK,RURAL,2022,0.015041388
INDIA,ER,SK,RURAL,2023,0.01660031
INDIA,ER,SK,RURAL,2024,0.018006413
INDIA,ER,SK,RURAL,2025,0.019555221
INDIA,ER,SK,RURAL,2026,0.021270087
INDIA,ER,SK,RURAL,2027,0.023095744
INDIA,ER,SK,RURAL,2028,0.025105704
INDIA,ER,SK,RURAL,2029,0.027219917
INDIA,ER,SK,RURAL,2030,0.029496751
INDIA,ER,SK,RURAL,2031,0.032007276
INDIA,ER,SK,RURAL,2032,0.034681336
INDIA,ER,SK,RURAL,2033,0.037492794
INDIA,ER,SK,RURAL,2034,0.040473427
INDIA,ER,SK,RURAL,2035,0.04334453
INDIA,ER,SK,RURAL,2036,0.046090505
INDIA,ER,SK,RURAL,2037,0.048169441
INDIA,ER,SK,RURAL,2038,0.048654001
INDIA,ER,SK,RURAL,2039,0.046842941
INDIA,ER,SK,RURAL,2040,0.041120566
INDIA,ER,SK,RURAL,2041,0.028834205
INDIA,ER,SK,URBAN,2022,0.052262987
INDIA,ER,SK,URBAN,2023,0.057060687
INDIA,ER,SK,URBAN,2024,0.061341068
