ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2022,0.940329554
INDIA,ER,BR,RURAL,2023,0.955821055
INDIA,ER,BR,RURAL,2024,0.952772009
INDIA,ER,BR,RURAL,2025,0.949087207
INDIA,ER,BR,RURAL,2026,0.945139972
INDIA,ER,BR,RURAL,2027,0.940929994
INDIA,ER,BR,RURAL,2028,0.936416624
INDIA,ER,BR,RURAL,2029,0.931540922
INDIA,ER,BR,RURAL,2030,0.92627301
INDIA,ER,BR,RURAL,2031,0.920580498
INDIA,ER,BR,RURAL,2032,0.914293467
INDIA,ER,BR,RURAL,2033,0.907386805
INDIA,ER,BR,RURAL,2034,0.899907116
INDIA,ER,BR,RURAL,2035,0.891805944
INDIA,ER,BR,RURAL,2036,0.883030677
INDIA,ER,BR,RURAL,2037,0.873524186
INDIA,ER,BR,RURAL,2038,0.863332559
INDIA,ER,BR,RURAL,2039,0.852321865
INDIA,ER,BR,RURAL,2040,0.840426463
INDIA,ER,BR,RURAL,2041,0.827575458
INDIA,ER,BR,URBAN,2022,0.703367235
INDIA,ER,BR,URBAN,2023,0.709731484
INDIA,ER,BR,URBAN,2024,0.717669183
INDIA,ER,BR,URBAN,2025,0.700154829
INDIA,ER,BR,URBAN,2026,0.681374776
INDIA,ER,BR,URBAN,2027,0.661621566
INDIA,ER,BR,URBAN,2028,0.640734844
INDIA,ER,BR,URBAN,2029,0.618479084
INDIA,ER,BR,URBAN,2030,0.594762095
INDIA,ER,BR,URBAN,2031,0.569485344
INDIA,ER,BR,URBAN,2032,0.541953199
INDIA,ER,BR,URBAN,2033,0.512133867
INDIA,ER,BR,URBAN,2034,0.480303248
INDIA,ER,BR,URBAN,2035,0.451986256
INDIA,ER,BR,URBAN,2036,0.422063551
INDIA,ER,BR,URBAN,2037,0.390442168
INDIA,ER,BR,URBAN,2038,0.357374512
INDIA,ER,BR,URBAN,2039,0.322519915
INDIA,ER,BR,URBAN,2040,0.285782217
INDIA,ER,BR,URBAN,2041,0.247060077
INDIA,ER,JH,RURAL,2022,0.571382281
INDIA,ER,JH,RURAL,2023,0.589277161
INDIA,ER,JH,RURAL,2024,0.615431084
INDIA,ER,JH,RURAL,2025,0.646306275
INDIA,ER,JH,RURAL,2026,0.678462594
INDIA,ER,JH,RURAL,2027,0.712072922
INDIA,ER,JH,RURAL,2028,0.747325921
INDIA,ER,JH,RURAL,2029,0.776585105
INDIA,ER,JH,RURAL,2030,0.807027603
INDIA,ER,JH,RURAL,2031,0.838732981
INDIA,ER,JH,RURAL,2032,0.87233008
INDIA,ER,JH,RURAL,2033,0.902956549
INDIA,ER,JH,RURAL,2034,0.93468377
INDIA,ER,JH,RURAL,2035,0.950649729
INDIA,ER,JH,RURAL,2036,0.947327121
INDIA,ER,JH,RURAL,2037,0.943775581
INDIA,ER,JH,RURAL,2038,0.940012008
INDIA,ER,JH,RURAL,2039,0.935998082
INDIA,ER,JH,RURAL,2040,0.931717256
INDIA,ER,JH,RURAL,2041,0.927151908
INDIA,ER,JH,URBAN,2022,0.693302886
INDIA,ER,JH,URBAN,2023,0.693961804
INDIA,ER,JH,URBAN,2024,0.697379727
INDIA,ER,JH,URBAN,2025,0.702424722
INDIA,ER,JH,URBAN,2026,0.708971568
INDIA,ER,JH,URBAN,2027,0.717516717
INDIA,ER,JH,URBAN,2028,0.72873829
INDIA,ER,JH,URBAN,2029,0.743564117
INDIA,ER,JH,URBAN,2030,0.747853574
INDIA,ER,JH,URBAN,2031,0.745238383
INDIA,ER,JH,URBAN,2032,0.74173365
INDIA,ER,JH,URBAN,2033,0.737052368
INDIA,ER,JH,URBAN,2034,0.730843689
INDIA,ER,JH,URBAN,2035,0.722569154
INDIA,ER,JH,URBAN,2036,0.712746151
INDIA,ER,JH,URBAN,2037,0.701032475
INDIA,ER,JH,URBAN,2038,0.687113891
INDIA,ER,JH,URBAN,2039,0.670368906
INDIA,ER,JH,URBAN,2040,0.650089559
INDIA,ER,JH,URBAN,2041,0.628571101
INDIA,ER,OD,RURAL,2022,0.704926267
INDIA,ER,OD,RURAL,2023,0.710043434
INDIA,ER,OD,RURAL,2024,0.733445621
INDIA,ER,OD,RURAL,2025,0.75844132
INDIA,ER,OD,RURAL,2026,0.783829515
INDIA,ER,OD,RURAL,2027,0.805076039
INDIA,ER,OD,RURAL,2028,0.826558611
INDIA,ER,OD,RURAL,2029,0.821597531
INDIA,ER,OD,RURAL,2030,0.807204935
INDIA,ER,OD,RURAL,2031,0.791652342
INDIA,ER,OD,RURAL,2032,0.774566687
INDIA,ER,OD,RURAL,2033,0.755868081
INDIA,ER,OD,RURAL,2034,0.735624186
INDIA,ER,OD,RURAL,2035,0.715370381
INDIA,ER,OD,RURAL,2036,0.693579378
INDIA,ER,OD,RURAL,2037,0.670108744
INDIA,ER,OD,RURAL,2038,0.644940567
INDIA,ER,OD,RURAL,2039,0.617866233
INDIA,ER,OD,RURAL,2040,0.588742524
INDIA,ER,OD,RURAL,2041,0.557415576
INDIA,ER,OD,URBAN,2022,0.608488807
INDIA,ER,OD,URBAN,2023,0.600489713
INDIA,ER,OD,URBAN,2024,0.59661287
INDIA,ER,OD,URBAN,2025,0.585648451
INDIA,ER,OD,URBAN,2026,0.559263648
INDIA,ER,OD,URBAN,2027,0.53128274
INDIA,ER,OD,URBAN,2028,0.501521236
INDIA,ER,OD,URBAN,2029,0.469872184
INDIA,ER,OD,URBAN,2030,0.441802891
INDIA,ER,OD,URBAN,2031,0.412249515
INDIA,ER,OD,URBAN,2032,0.380615915
INDIA,ER,OD,URBAN,2033,0.346897762
INDIA,ER,OD,URBAN,2034,0.311354008
INDIA,ER,OD,URBAN,2035,0.273843267
INDIA,ER,OD,URBAN,2036,0.234315506
INDIA,ER,OD,URBAN,2037,0.200955864
INDIA,ER,OD,URBAN,2038,0.166280868
INDIA,ER,OD,URBAN,2039,0.130119804
INDIA,ER,OD,URBAN,2040,0.092409901
INDIA,ER,OD,URBAN,2041,0.058001319
INDIA,ER,SK,RURAL,2022,0.314267599
INDIA,ER,SK,RURAL,2023,0.342940881
INDIA,ER,SK,RURAL,2024,0.36853053
INDIA,ER,SK,RURAL,2025,0.396477827
INDIA,ER,SK,RURAL,2026,0.427169792
INDIA,ER,SK,RURAL,2027,0.459605369
INDIA,ER,SK,RURAL,2028,0.495100005
INDIA,ER,SK,RURAL,2029,0.525740639
INDIA,ER,SK,RURAL,2030,0.558307777
INDIA,ER,SK,RURAL,2031,0.59389901
INDIA,ER,SK,RURAL,2032,0.631774494
INDIA,ER,SK,RURAL,2033,0.672080836
INDIA,ER,SK,RURAL,2034,0.716126783
INDIA,ER,SK,RURAL,2035,0.751958974
INDIA,ER,SK,RURAL,2036,0.790553291
INDIA,ER,SK,RURAL,2037,0.830039515
INDIA,ER,SK,RURAL,2038,0.86712367
INDIA,ER,SK,RURAL,2039,0.899350235
INDIA,ER,SK,RURAL,2040,0.93166271
INDIA,ER,SK,RURAL,2041,0.927914488
INDIA,ER,SK,URBAN,2022,0.31436858
INDIA,ER,SK,URBAN,2023,0.310160327
INDIA,ER,SK,URBAN,2024,0.306504447
INDIA,ER,SK,URBAN,2025,0.302655773
INDIA,ER,SK,URBAN,2026,0.298620723
INDIA,ER,SK,URBAN,2027,0.294601232
INDIA,ER,SK,URBAN,2028,0.290531819
INDIA,ER,SK,URBAN,2029,0.28668625
INDIA,ER,SK,URBAN,2030,0.283105202
INDIA,ER,SK,URBAN,2031,0.279902718
INDIA,ER,SK,URBAN,2032,0.277455751
INDIA,ER,SK,URBAN,2033,0.276166503
INDIA,ER,SK,URBAN,2034,0.276612438
INDIA,ER,SK,URBAN,2035,0.279562009
INDIA,ER,SK,URBAN,2036,0.284291218
INDIA,ER,SK,URBAN,2037,0.2910345
INDIA,ER,SK,URBAN,2038,0.299557251
INDIA,ER,SK,URBAN,2039,0.310910452
INDIA,ER,SK,URBAN,2040,0.325771527
INDIA,ER,SK,URBAN,2041,0.336214431
INDIA,ER,WB,RURAL,2022,0.918124333
INDIA,ER,WB,RURAL,2023,0.943702745
INDIA,ER,WB,RURAL,2024,0.969630795
INDIA,ER,WB,RURAL,2025,0.986802518
INDIA,ER,WB,RURAL,2026,0.985852434
INDIA,ER,WB,RURAL,2027,0.984836746
INDIA,ER,WB,RURAL,2028,0.983747977
INDIA,ER,WB,RURAL,2029,0.982580883
INDIA,ER,WB,RURAL,2030,0.981329821
INDIA,ER,WB,RURAL,2031,0.979988739
INDIA,ER,WB,RURAL,2032,0.978521236
INDIA,ER,WB,RURAL,2033,0.976923354
INDIA,ER,WB,RURAL,2034,0.975206676
INDIA,ER,WB,RURAL,2035,0.973362373
INDIA,ER,WB,RURAL,2036,0.971380963
INDIA,ER,WB,RURAL,2037,0.969251847
INDIA,ER,WB,RURAL,2038,0.966983622
INDIA,ER,WB,RURAL,2039,0.964552308
INDIA,ER,WB,RURAL,2040,0.961946511
INDIA,ER,WB,RURAL,2041,0.959154058
INDIA,ER,WB,URBAN,2022,0.824202133
INDIA,ER,WB,URBAN,2023,0.822484697
INDIA,ER,WB,URBAN,2024,0.822304053
INDIA,ER,WB,URBAN,2025,0.8079476
INDIA,ER,WB,URBAN,2026,0.792580041
INDIA,ER,WB,URBAN,2027,0.776028315
INDIA,ER,WB,URBAN,2028,0.758153117
INDIA,ER,WB,URBAN,2029,0.738848856
INDIA,ER,WB,URBAN,2030,0.719604784
INDIA,ER,WB,URBAN,2031,0.698940059
INDIA,ER,WB,URBAN,2032,0.676287884
INDIA,ER,WB,URBAN,2033,0.651579384
INDIA,ER,WB,URBAN,2034,0.624986073
INDIA,ER,WB,URBAN,2035,0.59636426
INDIA,ER,WB,URBAN,2036,0.565559302
INDIA,ER,WB,URBAN,2037,0.532398344
INDIA,ER,WB,URBAN,2038,0.497007135
INDIA,ER,WB,URBAN,2039,0.465337412
INDIA,ER,WB,URBAN,2040,0.431732449
INDIA,ER,WB,URBAN,2041,0.396077878
INDIA,NER,AS,RURAL,2022,0.852786282
INDIA,NER,AS,RURAL,2023,0.890991358
INDIA,NER,AS,RURAL,2024,0.925360218
INDIA,NER,AS,RURAL,2025,0.960117158
INDIA,NER,AS,RURAL,2026,0.99308774
INDIA,NER,AS,RURAL,2027,0.992494806
INDIA,NER,AS,RURAL,2028,0.991852657
INDIA,NER,AS,RURAL,2029,0.991154752
INDIA,NER,AS,RURAL,2030,0.990396197
INDIA,NER,AS,RURAL,2031,0.989571661
INDIA,NER,AS,RURAL,2032,0.988660586
INDIA,NER,AS,RURAL,2033,0.987657115
INDIA,NER,AS,RURAL,2034,0.986564664
INDIA,NER,AS,RURAL,2035,0.985374158
INDIA,NER,AS,RURAL,2036,0.984077965
INDIA,NER,AS,RURAL,2037,0.982665315
INDIA,NER,AS,RURAL,2038,0.981134748
INDIA,NER,AS,RURAL,2039,0.979469538
INDIA,NER,AS,RURAL,2040,0.97765789
INDIA,NER,AS,RURAL,2041,0.975686977
INDIA,NER,AS,URBAN,2022,0.886016024
INDIA,NER,AS,URBAN,2023,0.898721636
INDIA,NER,AS,URBAN,2024,0.896137624
INDIA,NER,AS,URBAN,2025,0.886977733
INDIA,NER,AS,URBAN,2026,0.877096419
INDIA,NER,AS,URBAN,2027,0.86641708
INDIA,NER,AS,URBAN,2028,0.854839494
INDIA,NER,AS,URBAN,2029,0.842243804
INDIA,NER,AS,URBAN,2030,0.82853949
INDIA,NER,AS,URBAN,2031,0.81362791
INDIA,NER,AS,URBAN,2032,0.797134389
INDIA,NER,AS,URBAN,2033,0.778949279
INDIA,NER,AS,URBAN,2034,0.759130787
INDIA,NER,AS,URBAN,2035,0.737510694
INDIA,NER,AS,URBAN,2036,0.715759064
INDIA,NER,AS,URBAN,2037,0.692178528
INDIA,NER,AS,URBAN,2038,0.666764893
INDIA,NER,AS,URBAN,2039,0.639261363
INDIA,NER,AS,URBAN,2040,0.609496839
INDIA,NER,AS,URBAN,2041,0.577286219
INDIA,NER,NE,RURAL,2022,0.519097676
INDIA,NER,NE,RURAL,2023,0.550026373
INDIA,NER,NE,RURAL,2024,0.577494879
INDIA,NER,NE,RURAL,2025,0.6090269
INDIA,NER,NE,RURAL,2026,0.641319799
INDIA,NER,NE,RURAL,2027,0.674521348
INDIA,NER,NE,RURAL,2028,0.709408933
INDIA,NER,NE,RURAL,2029,0.746195219
INDIA,NER,NE,RURAL,2030,0.776899106
INDIA,NER,NE,RURAL,2031,0.80885301
INDIA,NER,NE,RURAL,2032,0.842727368
INDIA,NER,NE,RURAL,2033,0.878680593
INDIA,NER,NE,RURAL,2034,0.911162347
INDIA,NER,NE,RURAL,2035,0.944877941
INDIA,NER,NE,RURAL,2036,0.966776388
INDIA,NER,NE,RURAL,2037,0.964302567
INDIA,NER,NE,RURAL,2038,0.961684681
INDIA,NER,NE,RURAL,2039,0.958883172
INDIA,NER,NE,RURAL,2040,0.955885828
INDIA,NER,NE,RURAL,2041,0.952679669
INDIA,NER,NE,URBAN,2022,0.690091415
INDIA,NER,NE,URBAN,2023,0.722237671
INDIA,NER,NE,URBAN,2024,0.74789421
INDIA,NER,NE,URBAN,2025,0.776884648
INDIA,NER,NE,URBAN,2026,0.806063317
INDIA,NER,NE,URBAN,2027,0.83555512
INDIA,NER,NE,URBAN,2028,0.866026138
INDIA,NER,NE,URBAN,2029,0.893088724
INDIA,NER,NE,URBAN,2030,0.920922283
INDIA,NER,NE,URBAN,2031,0.924713761
INDIA,NER,NE,URBAN,2032,0.918855454
INDIA,NER,NE,URBAN,2033,0.912419208
INDIA,NER,NE,URBAN,2034,0.905482999
INDIA,NER,NE,URBAN,2035,0.897982081
INDIA,NER,NE,URBAN,2036,0.889879009
INDIA,NER,NE,URBAN,2037,0.881124975
INDIA,NER,NE,URBAN,2038,0.871817735
INDIA,NER,NE,URBAN,2039,0.861811648
INDIA,NER,NE,URBAN,2040,0.851056782
INDIA,NER,NE,URBAN,2041,0.839499802
INDIA,NR,DL,RURAL,2022,0.18338
INDIA,NR,DL,RURAL,2023,0.183393979
INDIA,NR,DL,RURAL,2024,0.183446134
INDIA,NR,DL,RURAL,2025,0.183523959
INDIA,NR,DL,RURAL,2026,0.183624588
INDIA,NR,DL,RURAL,2027,0.183752339
INDIA,NR,DL,RURAL,2028,0.183916291
INDIA,NR,DL,RURAL,2029,0.181556104
INDIA,NR,DL,RURAL,2030,0.177666001
INDIA,NR,DL,RURAL,2031,0.172555857
INDIA,NR,DL,RURAL,2032,0.165841126
