ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2022,0.07430751
INDIA,ER,BR,RURAL,2023,0.080281489
INDIA,ER,BR,RURAL,2024,0.085770467
INDIA,ER,BR,RURAL,2025,0.092399955
INDIA,ER,BR,RURAL,2026,0.099496798
INDIA,ER,BR,RURAL,2027,0.107060951
INDIA,ER,BR,RURAL,2028,0.11516482
INDIA,ER,BR,RURAL,2029,0.123913466
INDIA,ER,BR,RURAL,2030,0.133359585
INDIA,ER,BR,RURAL,2031,0.143560265
INDIA,ER,BR,RURAL,2032,0.154818753
INDIA,ER,BR,RURAL,2033,0.167178378
INDIA,ER,BR,RURAL,2034,0.180554131
INDIA,ER,BR,RURAL,2035,0.195031161
INDIA,ER,BR,RURAL,2036,0.210701859
INDIA,ER,BR,RURAL,2037,0.227666477
INDIA,ER,BR,RURAL,2038,0.24584098
INDIA,ER,BR,RURAL,2039,0.265462441
INDIA,ER,BR,RURAL,2040,0.285016248
INDIA,ER,BR,RURAL,2041,0.306006185
INDIA,ER,BR,URBAN,2022,0.372805728
INDIA,ER,BR,URBAN,2023,0.396677056
INDIA,ER,BR,URBAN,2024,0.418278169
INDIA,ER,BR,URBAN,2025,0.444027764
INDIA,ER,BR,URBAN,2026,0.471190065
INDIA,ER,BR,URBAN,2027,0.49972063
INDIA,ER,BR,URBAN,2028,0.529847332
INDIA,ER,BR,URBAN,2029,0.556562231
INDIA,ER,BR,URBAN,2030,0.584722084
INDIA,ER,BR,URBAN,2031,0.614407022
INDIA,ER,BR,URBAN,2032,0.646387411
INDIA,ER,BR,URBAN,2033,0.680637081
INDIA,ER,BR,URBAN,2034,0.716781019
INDIA,ER,BR,URBAN,2035,0.754926256
INDIA,ER,BR,URBAN,2036,0.787134024
INDIA,ER,BR,URBAN,2037,0.820784882
INDIA,ER,BR,URBAN,2038,0.855575692
INDIA,ER,BR,URBAN,2039,0.891833976
INDIA,ER,BR,URBAN,2040,0.929621298
INDIA,ER,BR,URBAN,2041,0.964079252
INDIA,ER,JH,RURAL,2022,0.05507002
INDIA,ER,JH,RURAL,2023,0.05903072
INDIA,ER,JH,RURAL,2024,0.062728751
INDIA,ER,JH,RURAL,2025,0.067171321
INDIA,ER,JH,RURAL,2026,0.071889998
INDIA,ER,JH,RURAL,2027,0.076919154
INDIA,ER,JH,RURAL,2028,0.082297618
INDIA,ER,JH,RURAL,2029,0.088066286
INDIA,ER,JH,RURAL,2030,0.094250927
INDIA,ER,JH,RURAL,2031,0.100888801
INDIA,ER,JH,RURAL,2032,0.108138389
INDIA,ER,JH,RURAL,2033,0.116013976
INDIA,ER,JH,RURAL,2034,0.124480456
INDIA,ER,JH,RURAL,2035,0.133578741
INDIA,ER,JH,RURAL,2036,0.143356704
INDIA,ER,JH,RURAL,2037,0.153865889
INDIA,ER,JH,RURAL,2038,0.165063856
INDIA,ER,JH,RURAL,2039,0.17707207
INDIA,ER,JH,RURAL,2040,0.189948812
INDIA,ER,JH,RURAL,2041,0.2037565
INDIA,ER,JH,URBAN,2022,0.401460545
INDIA,ER,JH,URBAN,2023,0.406571901
INDIA,ER,JH,URBAN,2024,0.423001101
INDIA,ER,JH,URBAN,2025,0.44522364
INDIA,ER,JH,URBAN,2026,0.468424234
INDIA,ER,JH,URBAN,2027,0.49273231
INDIA,ER,JH,URBAN,2028,0.518289862
INDIA,ER,JH,URBAN,2029,0.540747512
INDIA,ER,JH,URBAN,2030,0.564222352
INDIA,ER,JH,URBAN,2031,0.58878623
INDIA,ER,JH,URBAN,2032,0.61493982
INDIA,ER,JH,URBAN,2033,0.64262446
INDIA,ER,JH,URBAN,2034,0.671614789
INDIA,ER,JH,URBAN,2035,0.701959422
INDIA,ER,JH,URBAN,2036,0.733722774
INDIA,ER,JH,URBAN,2037,0.766972363
INDIA,ER,JH,URBAN,2038,0.794576223
INDIA,ER,JH,URBAN,2039,0.823162348
INDIA,ER,JH,URBAN,2040,0.852765277
INDIA,ER,JH,URBAN,2041,0.883420688
INDIA,ER,OD,RURAL,2022,0.177346303
INDIA,ER,OD,RURAL,2023,0.210120086
INDIA,ER,OD,RURAL,2024,0.228185545
INDIA,ER,OD,RURAL,2025,0.248639529
INDIA,ER,OD,RURAL,2026,0.270730989
INDIA,ER,OD,RURAL,2027,0.292868467
INDIA,ER,OD,RURAL,2028,0.316819474
INDIA,ER,OD,RURAL,2029,0.34272743
INDIA,ER,OD,RURAL,2030,0.370774548
INDIA,ER,OD,RURAL,2031,0.401114711
INDIA,ER,OD,RURAL,2032,0.434481368
INDIA,ER,OD,RURAL,2033,0.471037765
INDIA,ER,OD,RURAL,2034,0.510658848
INDIA,ER,OD,RURAL,2035,0.546484798
INDIA,ER,OD,RURAL,2036,0.584798769
INDIA,ER,OD,RURAL,2037,0.62581873
INDIA,ER,OD,RURAL,2038,0.669541882
INDIA,ER,OD,RURAL,2039,0.71629563
INDIA,ER,OD,RURAL,2040,0.766288207
INDIA,ER,OD,RURAL,2041,0.809051226
INDIA,ER,OD,URBAN,2022,0.549002284
INDIA,ER,OD,URBAN,2023,0.578908557
INDIA,ER,OD,URBAN,2024,0.609474223
INDIA,ER,OD,URBAN,2025,0.643023844
INDIA,ER,OD,URBAN,2026,0.67810903
INDIA,ER,OD,URBAN,2027,0.714997809
INDIA,ER,OD,URBAN,2028,0.753898781
INDIA,ER,OD,URBAN,2029,0.786710494
INDIA,ER,OD,URBAN,2030,0.820975347
INDIA,ER,OD,URBAN,2031,0.85673001
INDIA,ER,OD,URBAN,2032,0.894659994
INDIA,ER,OD,URBAN,2033,0.934723117
INDIA,ER,OD,URBAN,2034,0.97133788
INDIA,ER,OD,URBAN,2035,1
INDIA,ER,OD,URBAN,2036,1
INDIA,ER,OD,URBAN,2037,1
INDIA,ER,OD,URBAN,2038,1
