ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2024,0.43810396
INDIA,ER,BR,RURAL,2025,0.468673422
INDIA,ER,BR,RURAL,2026,0.501169591
INDIA,ER,BR,RURAL,2027,0.535565307
INDIA,ER,BR,RURAL,2028,0.572162027
INDIA,ER,BR,RURAL,2029,0.611400171
INDIA,ER,BR,RURAL,2030,0.645060538
INDIA,ER,BR,RURAL,2031,0.680694471
INDIA,ER,BR,RURAL,2032,0.719247315
INDIA,ER,BR,RURAL,2033,0.760715822
INDIA,ER,BR,RURAL,2034,0.800276294
INDIA,ER,BR,RURAL,2035,0.841983674
INDIA,ER,BR,RURAL,2036,0.88595696
INDIA,ER,BR,RURAL,2037,0.932321852
INDIA,ER,BR,RURAL,2038,0.972635209
INDIA,ER,BR,RURAL,2039,1
INDIA,ER,BR,RURAL,2040,1
INDIA,ER,BR,RURAL,2041,1
INDIA,ER,BR,URBAN,2024,0.874304349
INDIA,ER,BR,URBAN,2025,0.912531883
INDIA,ER,BR,URBAN,2026,0.945571247
INDIA,ER,BR,URBAN,2027,0.979458446
INDIA,ER,BR,URBAN,2028,1
INDIA,ER,BR,URBAN,2029,1
INDIA,ER,BR,URBAN,2030,1
INDIA,ER,BR,URBAN,2031,1
INDIA,ER,BR,URBAN,2032,1
INDIA,ER,BR,URBAN,2033,1
INDIA,ER,BR,URBAN,2034,1
INDIA,ER,BR,URBAN,2035,1
INDIA,ER,BR,URBAN,2036,1
INDIA,ER,BR,URBAN,2037,1
INDIA,ER,BR,URBAN,2038,1
INDIA,ER,BR,URBAN,2039,1
INDIA,ER,BR,URBAN,2040,1
INDIA,ER,BR,URBAN,2041,1
INDIA,ER,JH,RURAL,2024,0.241693558
INDIA,ER,JH,RURAL,2025,0.260407556
INDIA,ER,JH,RURAL,2026,0.28040727
INDIA,ER,JH,RURAL,2027,0.301853444
INDIA,ER,JH,RURAL,2028,0.321083141
INDIA,ER,JH,RURAL,2029,0.341588077
INDIA,ER,JH,RURAL,2030,0.363443547
INDIA,ER,JH,RURAL,2031,0.386763782
INDIA,ER,JH,RURAL,2032,0.412084078
INDIA,ER,JH,RURAL,2033,0.43942678
INDIA,ER,JH,RURAL,2034,0.468643519
INDIA,ER,JH,RURAL,2035,0.499850631
INDIA,ER,JH,RURAL,2036,0.533185895
INDIA,ER,JH,RURAL,2037,0.568796738
INDIA,ER,JH,RURAL,2038,0.60651108
INDIA,ER,JH,RURAL,2039,0.638670469
INDIA,ER,JH,RURAL,2040,0.672521768
INDIA,ER,JH,RURAL,2041,0.708153203
INDIA,ER,JH,URBAN,2024,0.763152426
INDIA,ER,JH,URBAN,2025,0.799424584
INDIA,ER,JH,URBAN,2026,0.837113037
INDIA,ER,JH,URBAN,2027,0.876414188
INDIA,ER,JH,URBAN,2028,0.917541236
INDIA,ER,JH,URBAN,2029,0.953510132
INDIA,ER,JH,URBAN,2030,0.990959402
INDIA,ER,JH,URBAN,2031,1
INDIA,ER,JH,URBAN,2032,1
INDIA,ER,JH,URBAN,2033,1
INDIA,ER,JH,URBAN,2034,1
INDIA,ER,JH,URBAN,2035,1
INDIA,ER,JH,URBAN,2036,1
INDIA,ER,JH,URBAN,2037,1
INDIA,ER,JH,URBAN,2038,1
INDIA,ER,JH,URBAN,2039,1
INDIA,ER,JH,URBAN,2040,1
INDIA,ER,JH,URBAN,2041,1
INDIA,ER,OD,RURAL,2024,0.341631604
INDIA,ER,OD,RURAL,2025,0.367263286
INDIA,ER,OD,RURAL,2026,0.394575758
INDIA,ER,OD,RURAL,2027,0.423831556
INDIA,ER,OD,RURAL,2028,0.455260937
INDIA,ER,OD,RURAL,2029,0.489018653
INDIA,ER,OD,RURAL,2030,0.525306079
INDIA,ER,OD,RURAL,2031,0.564283384
INDIA,ER,OD,RURAL,2032,0.606846434
INDIA,ER,OD,RURAL,2033,0.643884849
INDIA,ER,OD,RURAL,2034,0.683172872
INDIA,ER,OD,RURAL,2035,0.724894387
INDIA,ER,OD,RURAL,2036,0.769134521
INDIA,ER,OD,RURAL,2037,0.811401013
INDIA,ER,OD,RURAL,2038,0.855813344
INDIA,ER,OD,RURAL,2039,0.902632422
INDIA,ER,OD,RURAL,2040,0.943761409
INDIA,ER,OD,RURAL,2041,0.986741994
INDIA,ER,OD,URBAN,2024,0.827706612
INDIA,ER,OD,URBAN,2025,0.866302789
INDIA,ER,OD,URBAN,2026,0.906343521
INDIA,ER,OD,URBAN,2027,0.941148544
INDIA,ER,OD,URBAN,2028,0.977295212
INDIA,ER,OD,URBAN,2029,1
INDIA,ER,OD,URBAN,2030,1
INDIA,ER,OD,URBAN,2031,1
INDIA,ER,OD,URBAN,2032,1
INDIA,ER,OD,URBAN,2033,1
INDIA,ER,OD,URBAN,2034,1
INDIA,ER,OD,URBAN,2035,1
INDIA,ER,OD,URBAN,2036,1
INDIA,ER,OD,URBAN,2037,1
INDIA,ER,OD,URBAN,2038,1
INDIA,ER,OD,URBAN,2039,1
INDIA,ER,OD,URBAN,2040,1
INDIA,ER,OD,URBAN,2041,1
INDIA,ER,SK,RURAL,2024,0.808142731
INDIA,ER,SK,RURAL,2025,0.845828378
INDIA,ER,SK,RURAL,2026,0.886094189
INDIA,ER,SK,RURAL,2027,0.927472904
INDIA,ER,SK,RURAL,2028,0.964184314
INDIA,ER,SK,RURAL,2029,1
INDIA,ER,SK,RURAL,2030,1
INDIA,ER,SK,RURAL,2031,1
INDIA,ER,SK,RURAL,2032,1
INDIA,ER,SK,RURAL,2033,1
INDIA,ER,SK,RURAL,2034,1
INDIA,ER,SK,RURAL,2035,1
INDIA,ER,SK,RURAL,2036,1
INDIA,ER,SK,RURAL,2037,1
INDIA,ER,SK,RURAL,2038,1
INDIA,ER,SK,RURAL,2039,1
INDIA,ER,SK,RURAL,2040,1
INDIA,ER,SK,RURAL,2041,1
INDIA,ER,SK,URBAN,2024,1
INDIA,ER,SK,URBAN,2025,1
INDIA,ER,SK,URBAN,2026,1
INDIA,ER,SK,URBAN,2027,1
INDIA,ER,SK,URBAN,2028,1
INDIA,ER,SK,URBAN,2029,1
INDIA,ER,SK,URBAN,2030,1
INDIA,ER,SK,URBAN,2031,1
INDIA,ER,SK,URBAN,2032,1
INDIA,ER,SK,URBAN,2033,1
INDIA,ER,SK,URBAN,2034,1
INDIA,ER,SK,URBAN,2035,1
INDIA,ER,SK,URBAN,2036,1
INDIA,ER,SK,URBAN,2037,1
INDIA,ER,SK,URBAN,2038,1
INDIA,ER,SK,URBAN,2039,1
INDIA,ER,SK,URBAN,2040,1
INDIA,ER,SK,URBAN,2041,1
INDIA,ER,WB,RURAL,2024,0.279618079
INDIA,ER,WB,RURAL,2025,0.305944283
INDIA,ER,WB,RURAL,2026,0.329718139
INDIA,ER,WB,RURAL,2027,0.355269127
INDIA,ER,WB,RURAL,2028,0.382804269
INDIA,ER,WB,RURAL,2029,0.412477278
INDIA,ER,WB,RURAL,2030,0.444454395
INDIA,ER,WB,RURAL,2031,0.478914806
INDIA,ER,WB,RURAL,2032,0.516824424
INDIA,ER,WB,RURAL,2033,0.558326009
INDIA,ER,WB,RURAL,2034,0.603158271
INDIA,ER,WB,RURAL,2035,0.641902341
INDIA,ER,WB,RURAL,2036,0.68313337
INDIA,ER,WB,RURAL,2037,0.727019399
INDIA,ER,WB,RURAL,2038,0.773330975
INDIA,ER,WB,RURAL,2039,0.817589386
INDIA,ER,WB,RURAL,2040,0.86429906
INDIA,ER,WB,RURAL,2041,0.913590824
INDIA,ER,WB,URBAN,2024,0.931585485
INDIA,ER,WB,URBAN,2025,0.978312529
INDIA,ER,WB,URBAN,2026,1
INDIA,ER,WB,URBAN,2027,1
INDIA,ER,WB,URBAN,2028,1
INDIA,ER,WB,URBAN,2029,1
INDIA,ER,WB,URBAN,2030,1
INDIA,ER,WB,URBAN,2031,1
INDIA,ER,WB,URBAN,2032,1
INDIA,ER,WB,URBAN,2033,1
INDIA,ER,WB,URBAN,2034,1
INDIA,ER,WB,URBAN,2035,1
INDIA,ER,WB,URBAN,2036,1
INDIA,ER,WB,URBAN,2037,1
INDIA,ER,WB,URBAN,2038,1
INDIA,ER,WB,URBAN,2039,1
INDIA,ER,WB,URBAN,2040,1
INDIA,ER,WB,URBAN,2041,1
INDIA,NER,AS,RURAL,2024,0.450205823
INDIA,NER,AS,RURAL,2025,0.488737231
INDIA,NER,AS,RURAL,2026,0.530203771
INDIA,NER,AS,RURAL,2027,0.574912713
INDIA,NER,AS,RURAL,2028,0.623267637
INDIA,NER,AS,RURAL,2029,0.665254146
INDIA,NER,AS,RURAL,2030,0.71012044
INDIA,NER,AS,RURAL,2031,0.758066537
INDIA,NER,AS,RURAL,2032,0.804941835
INDIA,NER,AS,RURAL,2033,0.855358745
INDIA,NER,AS,RURAL,2034,0.908942256
