ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2024,0.085770467
INDIA,ER,BR,RURAL,2025,0.093419876
INDIA,ER,BR,RURAL,2026,0.101698928
INDIA,ER,BR,RURAL,2027,0.110619969
INDIA,ER,BR,RURAL,2028,0.120281429
INDIA,ER,BR,RURAL,2029,0.130824509
INDIA,ER,BR,RURAL,2030,0.142331768
INDIA,ER,BR,RURAL,2031,0.154893648
INDIA,ER,BR,RURAL,2032,0.168909753
INDIA,ER,BR,RURAL,2033,0.184468849
INDIA,ER,BR,RURAL,2034,0.20149863
INDIA,ER,BR,RURAL,2035,0.220140611
INDIA,ER,BR,RURAL,2036,0.240550114
INDIA,ER,BR,RURAL,2037,0.262897626
INDIA,ER,BR,RURAL,2038,0.287113381
INDIA,ER,BR,RURAL,2039,0.313554414
INDIA,ER,BR,RURAL,2040,0.33761299
INDIA,ER,BR,RURAL,2041,0.363512374
INDIA,ER,BR,URBAN,2024,0.418278169
INDIA,ER,BR,URBAN,2025,0.445100663
INDIA,ER,BR,URBAN,2026,0.473463094
INDIA,ER,BR,URBAN,2027,0.503325799
INDIA,ER,BR,URBAN,2028,0.534934182
INDIA,ER,BR,URBAN,2029,0.568648404
INDIA,ER,BR,URBAN,2030,0.604612611
INDIA,ER,BR,URBAN,2031,0.635307343
INDIA,ER,BR,URBAN,2032,0.668375611
INDIA,ER,BR,URBAN,2033,0.703790354
INDIA,ER,BR,URBAN,2034,0.741163803
INDIA,ER,BR,URBAN,2035,0.780606629
INDIA,ER,BR,URBAN,2036,0.818072933
INDIA,ER,BR,URBAN,2037,0.857418155
INDIA,ER,BR,URBAN,2038,0.898304698
INDIA,ER,BR,URBAN,2039,0.941132423
INDIA,ER,BR,URBAN,2040,0.97851628
INDIA,ER,BR,URBAN,2041,1
INDIA,ER,JH,RURAL,2024,0.062728751
INDIA,ER,JH,RURAL,2025,0.067854793
INDIA,ER,JH,RURAL,2026,0.07335482
INDIA,ER,JH,RURAL,2027,0.079275932
INDIA,ER,JH,RURAL,2028,0.085671998
INDIA,ER,JH,RURAL,2029,0.092601071
INDIA,ER,JH,RURAL,2030,0.100104655
INDIA,ER,JH,RURAL,2031,0.10823943
INDIA,ER,JH,RURAL,2032,0.117213796
INDIA,ER,JH,RURAL,2033,0.127063646
INDIA,ER,JH,RURAL,2034,0.137763105
INDIA,ER,JH,RURAL,2035,0.149381315
INDIA,ER,JH,RURAL,2036,0.161998289
INDIA,ER,JH,RURAL,2037,0.17570109
INDIA,ER,JH,RURAL,2038,0.190455409
INDIA,ER,JH,RURAL,2039,0.206442435
INDIA,ER,JH,RURAL,2040,0.223764625
INDIA,ER,JH,RURAL,2041,0.242532873
INDIA,ER,JH,URBAN,2024,0.423001101
INDIA,ER,JH,URBAN,2025,0.447156035
INDIA,ER,JH,URBAN,2026,0.472483525
INDIA,ER,JH,URBAN,2027,0.499134314
INDIA,ER,JH,URBAN,2028,0.527275203
INDIA,ER,JH,URBAN,2029,0.557075621
INDIA,ER,JH,URBAN,2030,0.588619543
INDIA,ER,JH,URBAN,2031,0.622044799
INDIA,ER,JH,URBAN,2032,0.650877062
INDIA,ER,JH,URBAN,2033,0.681453622
INDIA,ER,JH,URBAN,2034,0.713532237
INDIA,ER,JH,URBAN,2035,0.747172443
INDIA,ER,JH,URBAN,2036,0.78245163
INDIA,ER,JH,URBAN,2037,0.815751129
INDIA,ER,JH,URBAN,2038,0.85021656
INDIA,ER,JH,URBAN,2039,0.886124063
INDIA,ER,JH,URBAN,2040,0.923533368
INDIA,ER,JH,URBAN,2041,0.956011042
INDIA,ER,OD,RURAL,2024,0.228185545
INDIA,ER,OD,RURAL,2025,0.251786296
INDIA,ER,OD,RURAL,2026,0.277599043
INDIA,ER,OD,RURAL,2027,0.305972886
INDIA,ER,OD,RURAL,2028,0.332038194
INDIA,ER,OD,RURAL,2029,0.360322017
INDIA,ER,OD,RURAL,2030,0.391037612
INDIA,ER,OD,RURAL,2031,0.424369146
INDIA,ER,OD,RURAL,2032,0.461141097
INDIA,ER,OD,RURAL,2033,0.501557236
INDIA,ER,OD,RURAL,2034,0.54550329
INDIA,ER,OD,RURAL,2035,0.593341425
INDIA,ER,OD,RURAL,2036,0.645340279
INDIA,ER,OD,RURAL,2037,0.690606846
INDIA,ER,OD,RURAL,2038,0.738856453
INDIA,ER,OD,RURAL,2039,0.790450401
INDIA,ER,OD,RURAL,2040,0.84010167
INDIA,ER,OD,RURAL,2041,0.892844155
INDIA,ER,OD,URBAN,2024,0.609474223
INDIA,ER,OD,URBAN,2025,0.643023844
INDIA,ER,OD,URBAN,2026,0.67810903
INDIA,ER,OD,URBAN,2027,0.714997809
INDIA,ER,OD,URBAN,2028,0.753898781
INDIA,ER,OD,URBAN,2029,0.790811958
INDIA,ER,OD,URBAN,2030,0.829560885
INDIA,ER,OD,URBAN,2031,0.870205533
INDIA,ER,OD,URBAN,2032,0.913547941
INDIA,ER,OD,URBAN,2033,0.951900064
INDIA,ER,OD,URBAN,2034,0.991851079
INDIA,ER,OD,URBAN,2035,1
INDIA,ER,OD,URBAN,2036,1
INDIA,ER,OD,URBAN,2037,1
INDIA,ER,OD,URBAN,2038,1
INDIA,ER,OD,URBAN,2039,1
INDIA,ER,OD,URBAN,2040,1
INDIA,ER,OD,URBAN,2041,1
INDIA,ER,SK,RURAL,2024,0.418324503
INDIA,ER,SK,RURAL,2025,0.444571646
INDIA,ER,SK,RURAL,2026,0.473047502
INDIA,ER,SK,RURAL,2027,0.502769821
INDIA,ER,SK,RURAL,2028,0.534901329
INDIA,ER,SK,RURAL,2029,0.568161279
