ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2024,0.34114548
INDIA,ER,BR,RURAL,2025,0.363652659
INDIA,ER,BR,RURAL,2026,0.387493383
INDIA,ER,BR,RURAL,2027,0.412638563
INDIA,ER,BR,RURAL,2028,0.439299191
INDIA,ER,BR,RURAL,2029,0.467784482
INDIA,ER,BR,RURAL,2030,0.49822275
INDIA,ER,BR,RURAL,2031,0.530751523
INDIA,ER,BR,RURAL,2032,0.566279976
INDIA,ER,BR,RURAL,2033,0.604867968
INDIA,ER,BR,RURAL,2034,0.637914655
INDIA,ER,BR,RURAL,2035,0.672841862
INDIA,ER,BR,RURAL,2036,0.709758877
INDIA,ER,BR,RURAL,2037,0.748781438
INDIA,ER,BR,RURAL,2038,0.789599064
INDIA,ER,BR,RURAL,2039,0.82832977
INDIA,ER,BR,RURAL,2040,0.868952149
INDIA,ER,BR,RURAL,2041,0.911558194
INDIA,ER,BR,URBAN,2024,0.684066923
INDIA,ER,BR,URBAN,2025,0.702821479
INDIA,ER,BR,URBAN,2026,0.725798076
INDIA,ER,BR,URBAN,2027,0.753981615
INDIA,ER,BR,URBAN,2028,0.785464485
INDIA,ER,BR,URBAN,2029,0.818379936
INDIA,ER,BR,URBAN,2030,0.852794486
INDIA,ER,BR,URBAN,2031,0.88877783
INDIA,ER,BR,URBAN,2032,0.92722738
INDIA,ER,BR,URBAN,2033,0.961255581
INDIA,ER,BR,URBAN,2034,0.996610348
INDIA,ER,BR,URBAN,2035,1
INDIA,ER,BR,URBAN,2036,1
INDIA,ER,BR,URBAN,2037,1
INDIA,ER,BR,URBAN,2038,1
INDIA,ER,BR,URBAN,2039,1
INDIA,ER,BR,URBAN,2040,1
INDIA,ER,BR,URBAN,2041,1
INDIA,ER,JH,RURAL,2024,0.314212541
INDIA,ER,JH,RURAL,2025,0.332434109
INDIA,ER,JH,RURAL,2026,0.351556251
INDIA,ER,JH,RURAL,2027,0.37169424
INDIA,ER,JH,RURAL,2028,0.392975832
INDIA,ER,JH,RURAL,2029,0.415531138
INDIA,ER,JH,RURAL,2030,0.439425915
INDIA,ER,JH,RURAL,2031,0.464766907
INDIA,ER,JH,RURAL,2032,0.492113306
INDIA,ER,JH,RURAL,2033,0.521460236
INDIA,ER,JH,RURAL,2034,0.552621021
INDIA,ER,JH,RURAL,2035,0.585694536
INDIA,ER,JH,RURAL,2036,0.620800167
INDIA,ER,JH,RURAL,2037,0.650611912
INDIA,ER,JH,RURAL,2038,0.68162917
INDIA,ER,JH,RURAL,2039,0.714112398
INDIA,ER,JH,RURAL,2040,0.748130264
INDIA,ER,JH,RURAL,2041,0.78375455
INDIA,ER,JH,URBAN,2024,0.792611452
INDIA,ER,JH,URBAN,2025,0.799748563
INDIA,ER,JH,URBAN,2026,0.809748847
INDIA,ER,JH,URBAN,2027,0.823865365
INDIA,ER,JH,URBAN,2028,0.841092447
INDIA,ER,JH,URBAN,2029,0.862249008
INDIA,ER,JH,URBAN,2030,0.888324458
INDIA,ER,JH,URBAN,2031,0.920653327
INDIA,ER,JH,URBAN,2032,0.954838834
INDIA,ER,JH,URBAN,2033,0.990773083
INDIA,ER,JH,URBAN,2034,1
INDIA,ER,JH,URBAN,2035,1
INDIA,ER,JH,URBAN,2036,1
INDIA,ER,JH,URBAN,2037,1
INDIA,ER,JH,URBAN,2038,1
INDIA,ER,JH,URBAN,2039,1
INDIA,ER,JH,URBAN,2040,1
