ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2022,0.003758492
INDIA,ER,BR,RURAL,2023,0.004485051
INDIA,ER,BR,RURAL,2024,0.005291979
INDIA,ER,BR,RURAL,2025,0.006475458
INDIA,ER,BR,RURAL,2026,0.007919477
INDIA,ER,BR,RURAL,2027,0.009677417
INDIA,ER,BR,RURAL,2028,0.011821403
INDIA,ER,BR,RURAL,2029,0.014444588
INDIA,ER,BR,RURAL,2030,0.01765487
INDIA,ER,BR,RURAL,2031,0.021584598
INDIA,ER,BR,RURAL,2032,0.026443592
INDIA,ER,BR,RURAL,2033,0.032445143
INDIA,ER,BR,RURAL,2034,0.039816254
INDIA,ER,BR,RURAL,2035,0.048870951
INDIA,ER,BR,RURAL,2036,0.059995569
INDIA,ER,BR,RURAL,2037,0.073665461
INDIA,ER,BR,RURAL,2038,0.090384011
INDIA,ER,BR,RURAL,2039,0.110894999
INDIA,ER,BR,RURAL,2040,0.136058269
INDIA,ER,BR,RURAL,2041,0.16692852
INDIA,ER,BR,URBAN,2022,0.064931537
INDIA,ER,BR,URBAN,2023,0.072905886
INDIA,ER,BR,URBAN,2024,0.081106333
INDIA,ER,BR,URBAN,2025,0.092924697
INDIA,ER,BR,URBAN,2026,0.105128363
INDIA,ER,BR,URBAN,2027,0.118860591
INDIA,ER,BR,URBAN,2028,0.134351173
INDIA,ER,BR,URBAN,2029,0.151893581
INDIA,ER,BR,URBAN,2030,0.171762875
INDIA,ER,BR,URBAN,2031,0.194271333
INDIA,ER,BR,URBAN,2032,0.220068231
INDIA,ER,BR,URBAN,2033,0.249570469
INDIA,ER,BR,URBAN,2034,0.283067387
INDIA,ER,BR,URBAN,2035,0.321104189
INDIA,ER,BR,URBAN,2036,0.364300978
INDIA,ER,BR,URBAN,2037,0.408070839
INDIA,ER,BR,URBAN,2038,0.456897715
INDIA,ER,BR,URBAN,2039,0.511561635
INDIA,ER,BR,URBAN,2040,0.572759743
INDIA,ER,BR,URBAN,2041,0.637974464
INDIA,ER,JH,RURAL,2022,0.00227416
INDIA,ER,JH,RURAL,2023,0.002551361
INDIA,ER,JH,RURAL,2024,0.002965368
INDIA,ER,JH,RURAL,2025,0.003563517
INDIA,ER,JH,RURAL,2026,0.004279894
INDIA,ER,JH,RURAL,2027,0.005138802
INDIA,ER,JH,RURAL,2028,0.006169881
INDIA,ER,JH,RURAL,2029,0.007409098
INDIA,ER,JH,RURAL,2030,0.008898369
INDIA,ER,JH,RURAL,2031,0.010689109
INDIA,ER,JH,RURAL,2032,0.01285835
INDIA,ER,JH,RURAL,2033,0.015482635
INDIA,ER,JH,RURAL,2034,0.018645256
INDIA,ER,JH,RURAL,2035,0.02245638
INDIA,ER,JH,RURAL,2036,0.027049431
INDIA,ER,JH,RURAL,2037,0.032585373
INDIA,ER,JH,RURAL,2038,0.039233798
INDIA,ER,JH,RURAL,2039,0.047237378
INDIA,ER,JH,RURAL,2040,0.056872065
INDIA,ER,JH,RURAL,2041,0.068469936
INDIA,ER,JH,URBAN,2022,0.088275553
INDIA,ER,JH,URBAN,2023,0.091434217
INDIA,ER,JH,URBAN,2024,0.094827608
INDIA,ER,JH,URBAN,2025,0.09925271
INDIA,ER,JH,URBAN,2026,0.104001412
INDIA,ER,JH,URBAN,2027,0.10915013
INDIA,ER,JH,URBAN,2028,0.114809921
INDIA,ER,JH,URBAN,2029,0.121144124
INDIA,ER,JH,URBAN,2030,0.128390785
INDIA,ER,JH,URBAN,2031,0.136910673
INDIA,ER,JH,URBAN,2032,0.147329158
INDIA,ER,JH,URBAN,2033,0.159574764
INDIA,ER,JH,URBAN,2034,0.174113965
INDIA,ER,JH,URBAN,2035,0.191646579
INDIA,ER,JH,URBAN,2036,0.210961109
INDIA,ER,JH,URBAN,2037,0.234654944
INDIA,ER,JH,URBAN,2038,0.260893292
INDIA,ER,JH,URBAN,2039,0.290058548
INDIA,ER,JH,URBAN,2040,0.322476426
INDIA,ER,JH,URBAN,2041,0.358508753
INDIA,ER,OD,RURAL,2022,0.005021093
INDIA,ER,OD,RURAL,2023,0.006748037
INDIA,ER,OD,RURAL,2024,0.008370788
INDIA,ER,OD,RURAL,2025,0.010650318
INDIA,ER,OD,RURAL,2026,0.013540359
INDIA,ER,OD,RURAL,2027,0.017210237
INDIA,ER,OD,RURAL,2028,0.021875034
INDIA,ER,OD,RURAL,2029,0.02780405
INDIA,ER,OD,RURAL,2030,0.035342272
INDIA,ER,OD,RURAL,2031,0.044923977
INDIA,ER,OD,RURAL,2032,0.057183954
INDIA,ER,OD,RURAL,2033,0.072861838
INDIA,ER,OD,RURAL,2034,0.092835793
INDIA,ER,OD,RURAL,2035,0.118294282
INDIA,ER,OD,RURAL,2036,0.148531486
INDIA,ER,OD,RURAL,2037,0.186504277
INDIA,ER,OD,RURAL,2038,0.234116363
INDIA,ER,OD,RURAL,2039,0.293872021
INDIA,ER,OD,RURAL,2040,0.368865572
INDIA,ER,OD,RURAL,2041,0.462979024
INDIA,ER,OD,URBAN,2022,0.101272343
INDIA,ER,OD,URBAN,2023,0.111696306
INDIA,ER,OD,URBAN,2024,0.125536692
INDIA,ER,OD,URBAN,2025,0.14227404
INDIA,ER,OD,URBAN,2026,0.161153992
INDIA,ER,OD,URBAN,2027,0.182505349
INDIA,ER,OD,URBAN,2028,0.206687356
INDIA,ER,OD,URBAN,2029,0.234072487
INDIA,ER,OD,URBAN,2030,0.265098071
INDIA,ER,OD,URBAN,2031,0.300234655
INDIA,ER,OD,URBAN,2032,0.336086767
INDIA,ER,OD,URBAN,2033,0.376440283
INDIA,ER,OD,URBAN,2034,0.4216329
INDIA,ER,OD,URBAN,2035,0.472272202
INDIA,ER,OD,URBAN,2036,0.52624454
INDIA,ER,OD,URBAN,2037,0.586398186
INDIA,ER,OD,URBAN,2038,0.653306749
INDIA,ER,OD,URBAN,2039,0.727832153
INDIA,ER,OD,URBAN,2040,0.80455517
INDIA,ER,OD,URBAN,2041,0.889347645
INDIA,ER,SK,RURAL,2022,2.32414E-06
INDIA,ER,SK,RURAL,2023,3.9631E-06
INDIA,ER,SK,RURAL,2024,6.64217E-06
INDIA,ER,SK,RURAL,2025,1.14752E-05
INDIA,ER,SK,RURAL,2026,1.98624E-05
INDIA,ER,SK,RURAL,2027,3.43194E-05
INDIA,ER,SK,RURAL,2028,5.9391E-05
INDIA,ER,SK,RURAL,2029,0.000102523
INDIA,ER,SK,RURAL,2030,0.000176999
INDIA,ER,SK,RURAL,2031,0.000306388
INDIA,ER,SK,RURAL,2032,0.000530405
INDIA,ER,SK,RURAL,2033,0.000918284
INDIA,ER,SK,RURAL,2034,0.001593887
INDIA,ER,SK,RURAL,2035,0.002759848
INDIA,ER,SK,RURAL,2036,0.004790824
INDIA,ER,SK,RURAL,2037,0.008296494
INDIA,ER,SK,RURAL,2038,0.01422896
INDIA,ER,SK,RURAL,2039,0.024339361
