ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,RURAL,2022,0.037104321
INDIA,ER,BR,RURAL,2023,0.039693894
INDIA,ER,BR,RURAL,2024,0.041936012
INDIA,ER,BR,RURAL,2025,0.045004228
INDIA,ER,BR,RURAL,2026,0.048165423
INDIA,ER,BR,RURAL,2027,0.051373608
INDIA,ER,BR,RURAL,2028,0.054612007
INDIA,ER,BR,RURAL,2029,0.057866802
INDIA,ER,BR,RURAL,2030,0.061076919
INDIA,ER,BR,RURAL,2031,0.064161349
INDIA,ER,BR,RURAL,2032,0.067134485
INDIA,ER,BR,RURAL,2033,0.069834077
INDIA,ER,BR,RURAL,2034,0.071994132
INDIA,ER,BR,RURAL,2035,0.073381219
INDIA,ER,BR,RURAL,2036,0.073697533
INDIA,ER,BR,RURAL,2037,0.072564975
INDIA,ER,BR,RURAL,2038,0.069442754
INDIA,ER,BR,RURAL,2039,0.063789311
INDIA,ER,BR,RURAL,2040,0.054861507
INDIA,ER,BR,RURAL,2041,0.04173213
INDIA,ER,BR,URBAN,2022,0.18580094
INDIA,ER,BR,URBAN,2023,0.194264549
INDIA,ER,BR,URBAN,2024,0.20096014
INDIA,ER,BR,URBAN,2025,0.211365149
INDIA,ER,BR,URBAN,2026,0.219014018
INDIA,ER,BR,URBAN,2027,0.226214339
INDIA,ER,BR,URBAN,2028,0.23291133
INDIA,ER,BR,URBAN,2029,0.239068067
INDIA,ER,BR,URBAN,2030,0.244515299
INDIA,ER,BR,URBAN,2031,0.249054122
INDIA,ER,BR,URBAN,2032,0.25278995
INDIA,ER,BR,URBAN,2033,0.255353929
INDIA,ER,BR,URBAN,2034,0.256173238
INDIA,ER,BR,URBAN,2035,0.254863798
INDIA,ER,BR,URBAN,2036,0.250978341
INDIA,ER,BR,URBAN,2037,0.240873051
INDIA,ER,BR,URBAN,2038,0.227250471
INDIA,ER,BR,URBAN,2039,0.209693248
INDIA,ER,BR,URBAN,2040,0.187606613
INDIA,ER,BR,URBAN,2041,0.159493616
INDIA,ER,JH,RURAL,2022,0.020489207
INDIA,ER,JH,RURAL,2023,0.020687253
INDIA,ER,JH,RURAL,2024,0.021612247
INDIA,ER,JH,RURAL,2025,0.022861384
INDIA,ER,JH,RURAL,2026,0.024115052
INDIA,ER,JH,RURAL,2027,0.025364258
INDIA,ER,JH,RURAL,2028,0.026596748
INDIA,ER,JH,RURAL,2029,0.027795042
INDIA,ER,JH,RURAL,2030,0.028929537
INDIA,ER,JH,RURAL,2031,0.029966163
INDIA,ER,JH,RURAL,2032,0.030897293
INDIA,ER,JH,RURAL,2033,0.031654931
INDIA,ER,JH,RURAL,2034,0.032143094
INDIA,ER,JH,RURAL,2035,0.032271542
INDIA,ER,JH,RURAL,2036,0.031930033
INDIA,ER,JH,RURAL,2037,0.030982671
INDIA,ER,JH,RURAL,2038,0.029244028
INDIA,ER,JH,RURAL,2039,0.02652737
INDIA,ER,JH,RURAL,2040,0.022585554
INDIA,ER,JH,RURAL,2041,0.017117484
INDIA,ER,JH,URBAN,2022,0.156238995
INDIA,ER,JH,URBAN,2023,0.153155475
INDIA,ER,JH,URBAN,2024,0.150151663
INDIA,ER,JH,URBAN,2025,0.14643915
INDIA,ER,JH,URBAN,2026,0.142682871
INDIA,ER,JH,URBAN,2027,0.138923358
INDIA,ER,JH,URBAN,2028,0.135218492
INDIA,ER,JH,URBAN,2029,0.131649521
INDIA,ER,JH,URBAN,2030,0.128324367
INDIA,ER,JH,URBAN,2031,0.125395678
INDIA,ER,JH,URBAN,2032,0.123137702
INDIA,ER,JH,URBAN,2033,0.121125883
INDIA,ER,JH,URBAN,2034,0.119358027
INDIA,ER,JH,URBAN,2035,0.117872894
INDIA,ER,JH,URBAN,2036,0.115508799
INDIA,ER,JH,URBAN,2037,0.113301046
INDIA,ER,JH,URBAN,2038,0.109797136
INDIA,ER,JH,URBAN,2039,0.104842221
INDIA,ER,JH,URBAN,2040,0.098205771
INDIA,ER,JH,URBAN,2041,0.089627188
INDIA,ER,OD,RURAL,2022,0.090995601
INDIA,ER,OD,RURAL,2023,0.105415513
INDIA,ER,OD,RURAL,2024,0.112568224
INDIA,ER,OD,RURAL,2025,0.12167128
INDIA,ER,OD,RURAL,2026,0.131125629
INDIA,ER,OD,RURAL,2027,0.140911362
INDIA,ER,OD,RURAL,2028,0.15095577
INDIA,ER,OD,RURAL,2029,0.16110317
INDIA,ER,OD,RURAL,2030,0.171149639
INDIA,ER,OD,RURAL,2031,0.180788132
INDIA,ER,OD,RURAL,2032,0.189885427
INDIA,ER,OD,RURAL,2033,0.197853558
INDIA,ER,OD,RURAL,2034,0.203781429
INDIA,ER,OD,RURAL,2035,0.20672771
INDIA,ER,OD,RURAL,2036,0.202410723
INDIA,ER,OD,RURAL,2037,0.192438782
INDIA,ER,OD,RURAL,2038,0.174941751
INDIA,ER,OD,RURAL,2039,0.14767765
INDIA,ER,OD,RURAL,2040,0.107738261
INDIA,ER,OD,RURAL,2041,0.051442114
INDIA,ER,OD,URBAN,2022,0.250754143
INDIA,ER,OD,URBAN,2023,0.255045108
INDIA,ER,OD,URBAN,2024,0.263802827
INDIA,ER,OD,URBAN,2025,0.273119677
INDIA,ER,OD,URBAN,2026,0.281793022
INDIA,ER,OD,URBAN,2027,0.28973464
INDIA,ER,OD,URBAN,2028,0.296787197
INDIA,ER,OD,URBAN,2029,0.302700234
INDIA,ER,OD,URBAN,2030,0.30720106
INDIA,ER,OD,URBAN,2031,0.309939475
INDIA,ER,OD,URBAN,2032,0.306927836
INDIA,ER,OD,URBAN,2033,0.301578876
INDIA,ER,OD,URBAN,2034,0.293286066
INDIA,ER,OD,URBAN,2035,0.281588601
INDIA,ER,OD,URBAN,2036,0.264548491
INDIA,ER,OD,URBAN,2037,0.243155125
INDIA,ER,OD,URBAN,2038,0.216745391
INDIA,ER,OD,URBAN,2039,0.184674047
INDIA,ER,OD,URBAN,2040,0.145036439
INDIA,ER,OD,URBAN,2041,0.098816405
INDIA,ER,SK,RURAL,2022,0.015041388
INDIA,ER,SK,RURAL,2023,0.01660031
INDIA,ER,SK,RURAL,2024,0.018006413
INDIA,ER,SK,RURAL,2025,0.019793864
INDIA,ER,SK,RURAL,2026,0.021797198
INDIA,ER,SK,RURAL,2027,0.023956567
INDIA,ER,SK,RURAL,2028,0.026362909
INDIA,ER,SK,RURAL,2029,0.028925146
INDIA,ER,SK,RURAL,2030,0.031716771
INDIA,ER,SK,RURAL,2031,0.034829497
INDIA,ER,SK,RURAL,2032,0.038180194
INDIA,ER,SK,RURAL,2033,0.041734004
INDIA,ER,SK,RURAL,2034,0.045521838
INDIA,ER,SK,RURAL,2035,0.049160382
INDIA,ER,SK,RURAL,2036,0.052568589
INDIA,ER,SK,RURAL,2037,0.054920262
INDIA,ER,SK,RURAL,2038,0.054771801
INDIA,ER,SK,RURAL,2039,0.05077673
INDIA,ER,SK,RURAL,2040,0.040039102
INDIA,ER,SK,RURAL,2041,0.0176729
INDIA,ER,SK,URBAN,2022,0.052262987
INDIA,ER,SK,URBAN,2023,0.057060687
INDIA,ER,SK,URBAN,2024,0.061341068
