ModelGeography,Year,RAIL+LGV+MGV+HGV+AIR+WATER
INDIA,2014,665810045000
INDIA,2015,681696498000
INDIA,2016,654480608000
INDIA,2017,620174910000
INDIA,2018,692916406999.9999
INDIA,2019,738523061000
INDIA,2020,707665419999.9999
INDIA,2021,720890000000
INDIA,2022,880025000000
INDIA,2023,1563053034769.9895
INDIA,2024,1681058381213.4048
INDIA,2025,1840712813193.138
INDIA,2026,2011797668981.199
INDIA,2027,2198820992403.4167
INDIA,2028,2382727271179.594
INDIA,2029,2565915751234.782
INDIA,2030,2741320205626.4766
INDIA,2031,2904714093270.1846
INDIA,2032,3054611897505.422
INDIA,2033,3191593672665.325
INDIA,2034,3325167298106.126
INDIA,2035,3456283157944.702
INDIA,2036,3586518427639.0513
INDIA,2037,3720612370023.906
INDIA,2038,3861023485813.597
INDIA,2039,4011130716189.507
INDIA,2040,4171915053108.626
INDIA,2041,4347930879350.38
