ModelGeography,Year,RAIL+BUS+IPT4W+AIR
INDIA,2014,992385146000.0001
INDIA,2015,847099312000
INDIA,2016,999447510000
INDIA,2017,1006125787000
INDIA,2018,1030115737000.0001
INDIA,2019,1012574693000
INDIA,2020,915462187000.0001
INDIA,2021,201052098000
INDIA,2022,520623885000
INDIA,2023,638245848377.2998
INDIA,2024,1033174985575.6553
INDIA,2025,1096493747202.1403
INDIA,2026,1148856625041.5227
INDIA,2027,1200987466514.9404
INDIA,2028,1252793026480.1108
INDIA,2029,1304198218515.9946
INDIA,2030,1355134045953.7598
INDIA,2031,1407990370623.0613
INDIA,2032,1462971264399.2783
INDIA,2033,1520169005931.3574
INDIA,2034,1579708481846.6973
INDIA,2035,1641701986780.6257
INDIA,2036,1706270468676.9119
INDIA,2037,1773539176337.2993
INDIA,2038,1843643229157.2852
INDIA,2039,1916725912952.4114
INDIA,2040,1992937719364.6375
INDIA,2041,2072570044047.2307
